"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","AMT","S1 Modalidades y Marco Teletrabajo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La modalidad mixta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","El teletrabajo admite distintas modalidades segun donde y como se realiza. Cual de las siguientes modalidades de teletrabajo implica combinar trabajo presencial y remoto segun lo indicado en el material del curso de teletrabajo seguro?","A","La modalidad mixta","La modalidad exclusivamente presencial","La modalidad sin ninguna presencia laboral","La modalidad que prohibe el trabajo remoto","","","","","",""
"multiplechoice","AMT","S2 Evaluacion del Puesto Domiciliario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mejorar el diseno del entorno laboral para prevenir riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","La evaluacion del puesto de teletrabajo persigue un objetivo preventivo. Cual es el principal objetivo de evaluar el puesto de trabajo del teletrabajador segun lo indicado en el material del curso de teletrabajo seguro?","C","Aumentar las ventas de la empresa","Reducir el numero de trabajadores","Mejorar el diseno del entorno laboral para prevenir riesgos","Disenar la publicidad del negocio","","","","","",""
"multiplechoice","AMT","S3 Riesgos Psicosociales y Ergonomia","Yes","¡Correcto! Segun el material del curso, lo correcto es: La carga de trabajo excesiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","El teletrabajo puede generar riesgos que afectan el bienestar mental del trabajador. Cual de los siguientes es un riesgo psicosocial en el teletrabajo segun lo indicado en el material del curso de teletrabajo seguro?","B","La correcta iluminacion del puesto","La carga de trabajo excesiva","El uso de una silla ergonomica","El cumplimiento del horario de descanso","","","","","",""
"multiplechoice","AMT","S4 Politica y Formacion Teletrabajo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger la salud mental y el bienestar de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","La politica de teletrabajo busca proteger el bienestar del trabajador remoto. Cual es el principal objetivo de implementar una politica de teletrabajo segun lo indicado en el material del curso de teletrabajo seguro?","D","Aumentar las ventas de la empresa","Reducir el numero de trabajadores","Disenar la publicidad del negocio","Proteger la salud mental y el bienestar de los trabajadores","","","","","",""
"multiplechoice","AMT","S5 SGRT Trazabilidad y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar el bienestar y la salud de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","El Sistema de Gestion de Riesgos en el Teletrabajo persigue un objetivo central. Cual es el objetivo principal del Sistema de Gestion de Riesgos aplicado al teletrabajo segun lo indicado en el material del curso de teletrabajo seguro?","A","Asegurar el bienestar y la salud de los trabajadores","Mejorar solo la eficiencia de los procesos","Minimizar unicamente las perdidas economicas","Aumentar las ventas de la empresa","","","","","",""
"multiplechoice","AMT","S1 Modalidades y Marco Teletrabajo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un documento formal que establece derechos y obligaciones de las partes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","El teletrabajo requiere un instrumento que formalice la relacion laboral remota. Que se entiende por acuerdo de teletrabajo en el contexto del trabajo remoto segun lo indicado en el material del curso de teletrabajo seguro?","C","Un catalogo comercial de la empresa","Un plan de marketing del negocio","Un documento formal que establece derechos y obligaciones de las partes","Un registro de las ventas del mes","","","","","",""
"multiplechoice","AMT","S2 Evaluacion del Puesto Domiciliario","Yes","¡Correcto! Segun el material del curso, lo correcto es: La Ley de Prevencion de Riesgos Laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","La evaluacion del puesto domiciliario se apoya en la normativa de prevencion. Cual es la principal legislacion que regula la evaluacion de riesgos del puesto segun lo indicado en el material del curso de teletrabajo seguro?","B","La Ley de Mercado Laboral","La Ley de Prevencion de Riesgos Laborales","El Codigo Civil","La Ley de Seguridad Social","","","","","",""
"multiplechoice","AMT","S3 Riesgos Psicosociales y Ergonomia","Yes","¡Correcto! Segun el material del curso, lo correcto es: El derecho del trabajador a no atender asuntos laborales fuera de su jornada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","El derecho a la desconexion protege el tiempo de descanso del teletrabajador. Que describe mejor el derecho a la desconexion digital segun lo indicado en el material del curso de teletrabajo seguro para el trabajador?","D","El uso de tecnologia para trabajar mas horas","La prohibicion de usar dispositivos digitales","Una tecnica de gestion del inventario","El derecho del trabajador a no atender asuntos laborales fuera de su jornada","","","","","",""
"multiplechoice","AMT","S4 Politica y Formacion Teletrabajo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Incluir la flexibilidad en la jornada de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","Una politica de teletrabajo bien disenada considera la organizacion del tiempo. Que aspecto debe considerarse al desarrollar una politica de teletrabajo segun lo indicado en el material del curso de teletrabajo seguro?","A","Incluir la flexibilidad en la jornada de trabajo","Establecer sanciones severas sin criterio","Limitar el uso de plataformas digitales","Eliminar la comunicacion con el equipo","","","","","",""
"multiplechoice","AMT","S5 SGRT Trazabilidad y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacidad de seguir y respaldar los documentos de la gestion preventiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AMT.","1","La trazabilidad documental respalda la gestion del teletrabajo. Que se entiende por trazabilidad documental en la gestion del teletrabajo segun lo indicado en el material del curso de teletrabajo seguro?","C","El precio de los productos vendidos","La lista de clientes de la empresa","La capacidad de seguir y respaldar los documentos de la gestion preventiva","El presupuesto de publicidad","","","","","",""
