"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","RPA","S1 IADC RIG PASS y Roles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el cumplimiento de las normativas de seguridad en las plataformas de perforacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","Cual es el proposito principal del estandar IADC RIG PASS dentro del marco de la seguridad aplicada a las operaciones de perforacion en la industria de hidrocarburos segun el contenido tecnico del programa formativo","A","Evaluar el cumplimiento de las normativas de seguridad en las plataformas de perforacion","Fijar el precio del servicio de perforacion","Definir el color reglamentario de la plataforma","Aumentar la velocidad de extraccion de crudo","","","","","",""
"multiplechoice","RPA","S2 Peligros e Identificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La exposicion a vapores toxicos generados durante la operacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","Cual de los siguientes es un peligro comun asociado con el uso de taladros y herramientas de perforacion en las operaciones de la industria de hidrocarburos segun el contenido tecnico del programa formativo aplicado a la seguridad","C","El aumento del precio del servicio de perforacion","El cambio de color de la herramienta con el uso","La exposicion a vapores toxicos generados durante la operacion","La reduccion del peso de la carga perforada","","","","","",""
"multiplechoice","RPA","S3 H2S y Proteccion Respiratoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Significa acido sulfhidrico un gas toxico presente en operaciones petroleras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","Que significa la sigla H2S en el contexto de la seguridad en las operaciones de la industria de hidrocarburos y por que resulta un agente peligroso para el trabajador segun el contenido tecnico del programa formativo","B","Significa un elemento inerte sin ningun riesgo","Significa acido sulfhidrico un gas toxico presente en operaciones petroleras","Significa un compuesto solido no peligroso","Significa un material de construccion comun","","","","","",""
"multiplechoice","RPA","S4 Lodos BOP y Control de Pozos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar estabilidad al pozo durante la perforacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","Cual es el principal objetivo de los lodos de perforacion utilizados durante las operaciones de perforacion de hidrocarburos para mantener las condiciones adecuadas dentro del pozo segun el contenido tecnico del programa formativo","D","Definir el color reglamentario del pozo perforado","Aumentar el precio del servicio de perforacion","Reducir la profundidad total del pozo a perforar","Proporcionar estabilidad al pozo durante la perforacion","","","","","",""
"multiplechoice","RPA","S5 SWA JSA PTW y Emergencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar y controlar los riesgos asociados con una tarea especifica antes de ejecutarla.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","Cual es el proposito principal de una evaluacion de trabajo seguro conocida como SWA dentro de las herramientas de gestion de riesgos aplicadas a las operaciones de la industria de hidrocarburos segun el contenido tecnico del programa formativo","A","Evaluar y controlar los riesgos asociados con una tarea especifica antes de ejecutarla","Definir el color reglamentario de la zona de trabajo","Fijar el precio del servicio de la operacion","Aumentar la velocidad de la tarea sin controles","","","","","",""
"multiplechoice","RPA","S1 IADC RIG PASS y Roles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las practicas de seguridad y la preparacion del personal en el trabajo operativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","En el contexto ecuatoriano que aspecto critico aborda principalmente el estandar IADC RIG PASS respecto a la preparacion del personal que participa en las operaciones de perforacion segun el contenido tecnico del programa formativo","C","El precio del alquiler de la plataforma de perforacion","El color reglamentario de los equipos de perforacion","Las practicas de seguridad y la preparacion del personal en el trabajo operativo","La contabilidad financiera del proyecto petrolero","","","","","",""
"multiplechoice","RPA","S2 Peligros e Identificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Como un peligro fisico por el riesgo de lesiones mecanicas directas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","En la clasificacion basica de peligros como se clasifica un taladro cuyo mal funcionamiento puede causar lesiones fisicas directas al trabajador durante una operacion de perforacion segun el contenido tecnico del programa formativo","B","Como un peligro estetico sin consecuencias reales","Como un peligro fisico por el riesgo de lesiones mecanicas directas","Como un peligro contable del proyecto","Como un peligro de color de la herramienta","","","","","",""
"multiplechoice","RPA","S3 H2S y Proteccion Respiratoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Nauseas junto con otros signos de intoxicacion por el gas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","Cual de los siguientes es un sintoma comun de la exposicion al gas H2S que puede presentar un trabajador durante las operaciones de la industria de hidrocarburos segun el contenido tecnico del programa formativo aplicado a la seguridad","D","Aumento permanente de la fuerza fisica","Mejora repentina de la vision del trabajador","Incremento del apetito sin ninguna molestia","Nauseas junto con otros signos de intoxicacion por el gas","","","","","",""
"multiplechoice","RPA","S4 Lodos BOP y Control de Pozos","Yes","¡Correcto! Segun el material del curso, lo correcto es: El lodo base agua dulce empleado en la perforacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","Cual de los siguientes es un tipo de lodo utilizado en las operaciones de perforacion de hidrocarburos dentro del conjunto de fluidos que sirven para acondicionar el pozo segun el contenido tecnico del programa formativo","A","El lodo base agua dulce empleado en la perforacion","El lodo de color reglamentario sin funcion tecnica","El lodo de aire comprimido sin ningun aditivo","El lodo hecho solo de residuos solidos secos","","","","","",""
"multiplechoice","RPA","S5 SWA JSA PTW y Emergencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una evaluacion de todos los peligros potenciales asociados con la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPA.","1","Que elemento resulta fundamental incluir en un analisis de seguridad del trabajo conocido como JSA al planificar una tarea dentro de las operaciones de la industria de hidrocarburos segun el contenido tecnico del programa formativo","C","El color de los uniformes del personal","El precio de la maquinaria empleada en la tarea","Una evaluacion de todos los peligros potenciales asociados con la tarea","La marca comercial de las herramientas usadas","","","","","",""
