"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","RSA","S1 Roles Rigger Senalero Aparejador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Planificar y ejecutar el levantamiento de las cargas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Cual es la principal funcion de un rigger dentro del ambito de la construccion y las operaciones de izaje segun el contenido tecnico del programa formativo","A","Planificar y ejecutar el levantamiento de las cargas","Operar la maquinaria pesada de excavacion","Disenar la estructura del edificio completo","Supervisar las finanzas de la obra","","","","","",""
"multiplechoice","RSA","S2 Eslingas Grilletes y Ganchos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar un metodo seguro para levantar cargas pesadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Cual es el proposito principal del uso de una eslinga de cadena en trabajos de izaje de cargas pesadas segun el contenido tecnico del programa formativo de aparejamiento","C","Servir unicamente como elemento decorativo de la grua","Reemplazar por completo la funcion del gancho de carga","Proporcionar un metodo seguro para levantar cargas pesadas","Medir el peso exacto de la carga antes del izaje","","","","","",""
"multiplechoice","RSA","S3 Angulos Tension y WLL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un angulo de 60 grados respecto a la horizontal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Cual es el angulo de eslinga recomendado respecto a la horizontal para maximizar la capacidad de carga efectiva del conjunto de eslingas en una operacion de izaje segun el contenido tecnico del programa formativo","B","Un angulo de 15 grados respecto a la horizontal","Un angulo de 60 grados respecto a la horizontal","Un angulo de 5 grados respecto a la horizontal","Un angulo de 90 grados respecto a la carga","","","","","",""
"multiplechoice","RSA","S4 Centro de Gravedad y Cargas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Afecta la estabilidad del objeto durante el izaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Cual es la funcion principal del centro de gravedad de un objeto dentro de un sistema de izaje y por que su ubicacion resulta determinante para la seguridad de la maniobra segun el contenido tecnico del programa formativo","D","Determina el color reglamentario de la carga","Define la marca del gancho que debe usarse","Establece la hora en que se realiza el izaje","Afecta la estabilidad del objeto durante el izaje","","","","","",""
"multiplechoice","RSA","S5 Senales y Plan de Izaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Brazo en alto con la palma de la mano hacia adelante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Cual es la senal manual utilizada para indicar un alto inmediato de todas las operaciones durante la manipulacion y el movimiento de cargas en una maniobra de izaje segun el contenido tecnico del programa formativo","A","Brazo en alto con la palma de la mano hacia adelante","Ambos brazos extendidos hacia los costados","Girar la mano en circulos sobre la cabeza","Senalar el suelo con el dedo indice","","","","","",""
"multiplechoice","RSA","S1 Roles Rigger Senalero Aparejador","Yes","¡Correcto! Segun el material del curso, lo correcto es: El aparejador se centra en el diseno de la configuracion de las cargas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Que aspecto describe mejor la diferencia funcional entre el rol del aparejador y el del rigger dentro de una operacion de izaje segun el programa formativo","C","Ambos roles cumplen exactamente la misma funcion","El aparejador solo opera la gruas de la obra","El aparejador se centra en el diseno de la configuracion de las cargas","El rigger unicamente firma los documentos","","","","","",""
"multiplechoice","RSA","S2 Eslingas Grilletes y Ganchos","Yes","¡Correcto! Segun el material del curso, lo correcto es: El cable de construccion 6x37 por su flexibilidad y resistencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Que tipo de cable de acero resulta mas adecuado para trabajos que exigen alta resistencia y un uso de carga frecuente en operaciones de izaje segun el programa formativo","B","El cable 1x7 usado solo en tensores fijos","El cable de construccion 6x37 por su flexibilidad y resistencia","Un cable de fibra natural sin alma metalica","Cualquier cable sin importar su configuracion interna","","","","","",""
"multiplechoice","RSA","S3 Angulos Tension y WLL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una carga total de 1500 kilogramos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Si la tension calculada por cada pierna de una eslinga es de 500 kilogramos y la configuracion emplea tres piernas cual es la carga total soportada por el conjunto segun el contenido tecnico del programa formativo","D","Una carga total de 500 kilogramos","Una carga total de 166 kilogramos","Una carga total de 5000 kilogramos","Una carga total de 1500 kilogramos","","","","","",""
"multiplechoice","RSA","S4 Centro de Gravedad y Cargas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Se puede producir un deslizamiento de la carga.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","En una configuracion de izaje que emplea eslingas tipo choker que sucede si se coloca una carga excesiva sobre la eslinga por encima de su capacidad de trabajo segun el contenido tecnico del programa formativo","A","Se puede producir un deslizamiento de la carga","La carga se vuelve automaticamente mas estable","La capacidad de la eslinga aumenta con la carga","El centro de gravedad desaparece durante el izaje","","","","","",""
"multiplechoice","RSA","S5 Senales y Plan de Izaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una indicacion de alerta ante cualquier tipo de riesgo inminente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RSA.","1","Que representa una senal de emergencia dentro del entorno laboral de una obra donde se ejecutan maniobras de izaje y por que debe ser reconocida por todo el personal segun el contenido tecnico del programa formativo","C","Una senal opcional que puede ignorarse sin consecuencias","Una indicacion para acelerar el ritmo de trabajo","Una indicacion de alerta ante cualquier tipo de riesgo inminente","Un aviso exclusivo para el operador de la grua","","","","","",""
