"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","BCI","S1 Rol de Brigadas y Normativa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establece los requisitos minimos para organizar y actuar ante emergencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","Conforme al material, cual es la importancia del reglamento aplicable dentro de la planificacion de la respuesta de una brigada de emergencia en el entorno empresarial?","A","Establece los requisitos minimos para organizar y actuar ante emergencias","Determina el valor de mercado de la empresa","Fija el numero de clientes atendidos por dia","Regula el color de los productos fabricados","","","","","",""
"multiplechoice","BCI","S2 Clases de Fuego y Extintores","Yes","¡Correcto! Segun el material del curso, lo correcto es: Puede dispersar el liquido en llamas y extender el incendio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","Conforme al material, que consecuencia puede tener el uso de un extintor de agua sobre un fuego de clase B de liquidos inflamables durante la respuesta de la brigada de emergencia?","C","Apaga de inmediato el fuego sin ningun riesgo","Reduce automaticamente la clase del fuego","Puede dispersar el liquido en llamas y extender el incendio","Neutraliza por completo el liquido inflamable","","","","","",""
"multiplechoice","BCI","S3 Tecnica PASS y Uso de Equipos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una secuencia de pasos para operar el extintor de forma efectiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","Conforme al material del curso, que significa el acronimo PASS dentro del contexto del uso correcto de un extintor portatil por parte de la brigada de emergencia empresarial?","B","El nombre comercial del fabricante del extintor","Una secuencia de pasos para operar el extintor de forma efectiva","El codigo de color de la senalizacion de escape","El tipo de agente extintor contenido en el equipo","","","","","",""
"multiplechoice","BCI","S4 Evacuacion y Rutas de Escape","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque preparan a los ocupantes para actuar con rapidez en una emergencia real.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","Conforme al material del curso, por que es importante realizar simulacros de evacuacion de manera periodica dentro del plan de emergencia de la empresa gestionado por la brigada?","D","Porque reemplazan la necesidad de senalizar las rutas","Porque eliminan la posibilidad de que ocurra un incendio","Porque definen el color de las salidas de emergencia","Porque preparan a los ocupantes para actuar con rapidez en una emergencia real","","","","","",""
"multiplechoice","BCI","S5 Respuesta SCBA y Triaje Basico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Usar el equipo SCBA y evaluar los riesgos del ambiente antes de entrar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","Conforme al material, que combinacion de proteccion respiratoria y evaluacion previa debe considerar el brigadista antes de ingresar a un espacio afectado por humo durante la emergencia?","A","Usar el equipo SCBA y evaluar los riesgos del ambiente antes de entrar","Ingresar sin proteccion confiando en la ventilacion","Usar solo una mascarilla comun sin suministro de aire","Entrar rapidamente sin evaluar los riesgos presentes","","","","","",""
"multiplechoice","BCI","S1 Rol de Brigadas y Normativa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar los riesgos y actuar antes de que se agraven.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","De acuerdo con el curso, que responsabilidad tiene la brigada de emergencia respecto a la deteccion temprana de situaciones peligrosas en las instalaciones de la empresa?","C","Ignorar los riesgos hasta que causen danos","Reportar los riesgos solo al final del ano","Identificar los riesgos y actuar antes de que se agraven","Delegar la deteccion a personal externo unicamente","","","","","",""
"multiplechoice","BCI","S2 Clases de Fuego y Extintores","Yes","¡Correcto! Segun el material del curso, lo correcto es: Orientar la seleccion del agente extintor correcto para cada incendio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","De acuerdo con el curso, que finalidad cumple la clasificacion de los fuegos en clases dentro de la formacion de los integrantes de la brigada de emergencia empresarial?","B","Determinar el color de la ropa de los brigadistas","Orientar la seleccion del agente extintor correcto para cada incendio","Fijar el horario de las practicas de la brigada","Establecer el precio de los equipos contra incendios","","","","","",""
"multiplechoice","BCI","S3 Tecnica PASS y Uso de Equipos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para atacar el fuego con eficacia sin exponerse al calor y las llamas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","De acuerdo con el curso, por que es importante que el brigadista mantenga una distancia operativa adecuada al aplicar el agente extintor sobre la base de un fuego incipiente?","D","Para consumir el agente extintor lo mas rapido posible","Para bloquear la ruta de escape del recinto","Para acercar su cuerpo al foco del incendio","Para atacar el fuego con eficacia sin exponerse al calor y las llamas","","","","","",""
"multiplechoice","BCI","S4 Evacuacion y Rutas de Escape","Yes","¡Correcto! Segun el material del curso, lo correcto es: Brindarles asistencia especifica para que salgan con seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","De acuerdo con el curso, que debe hacer el brigadista con las personas con movilidad reducida durante la evacuacion de un edificio afectado por una emergencia en la empresa?","A","Brindarles asistencia especifica para que salgan con seguridad","Dejarlas al final sin ninguna asistencia","Pedirles que evacuen solas por rutas alternas","Trasladarlas al foco del incendio para protegerlas","","","","","",""
"multiplechoice","BCI","S5 Respuesta SCBA y Triaje Basico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es una victima fallecida o sin posibilidad de recuperacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BCI.","1","De acuerdo con el material del curso, que caracteriza a una victima clasificada en la categoria negra dentro del sistema de colores utilizado por la brigada de emergencia?","C","Es una victima leve que puede esperar atencion","Es una victima critica que requiere atencion inmediata","Es una victima fallecida o sin posibilidad de recuperacion","Es una victima que solo necesita observacion breve","","","","","",""
