"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! El muestreo del producto final analiza una fraccion destructiva del lote y no puede garantizar la inocuidad de todas las unidades producidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","Segun el material, por que el analisis por muestreo del producto final resulta insuficiente para garantizar la inocuidad de un lote completo?","B","Porque es incompatible con las normas del Codex Alimentarius","Porque analiza solo una fraccion del lote y no asegura la seguridad de todas las unidades","Porque requiere equipos de laboratorio inexistentes","Porque solo se aplica a productos refrigerados","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! Los programas prerrequisito constituyen la base obligatoria previa e indispensable para que el plan HACCP sea viable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","Conforme al documento, cual es la relacion correcta entre el HACCP y los programas prerrequisito en un sistema de gestion de inocuidad?","C","Los programas prerrequisito sustituyen al plan HACCP","El HACCP debe implementarse antes que cualquier prerrequisito","Los prerrequisitos son la base obligatoria sobre la que se construye el HACCP","Ambos son mutuamente excluyentes en una planta","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! El HACCP se adopto como Anexo del CAC/RCP 1-1969, el codigo de practicas de higiene del Codex Alimentarius.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","Segun el material, que documento del Codex Alimentarius sirve como referencia base de higiene sobre el que se anexa el sistema HACCP?","A","El CAC/RCP 1-1969 (Codigo de practicas de higiene)","La norma ISO 9001 de calidad","El reglamento FSMA 204 de trazabilidad","La norma ISO 45001 de seguridad laboral","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! Tras su adopcion por la FDA, una de las primeras aplicaciones regulatorias del HACCP fue el control de alimentos enlatados de baja acidez.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","De acuerdo con el documento, cual fue una de las primeras aplicaciones regulatorias del HACCP tras su adopcion por la FDA en los anos 70?","B","La certificacion de productos organicos","El control de alimentos enlatados de baja acidez","La inspeccion de mataderos avicolas exclusivamente","El etiquetado nutricional obligatorio","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! El principal objetivo del HACCP es prevenir la contaminacion de los alimentos en todas las etapas de la produccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","Segun el material, cual es el objetivo central del sistema HACCP en la produccion de alimentos conforme a lo desarrollado en el material de estudio de la unidad?","D","Reducir los costos de produccion mediante menos personal","Aumentar la vida util de los productos refrigerados","Sustituir las auditorias externas por autocontrol","Prevenir la contaminacion de los alimentos en todas las etapas de la produccion","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! Los laboratorios del ejercito estadounidense (Natick) colaboraron con la NASA y Pillsbury en el desarrollo del HACCP.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","Conforme al documento, la colaboracion de que institucion militar estadounidense participo junto a la NASA y Pillsbury en el desarrollo del HACCP?","A","Los laboratorios Natick del ejercito estadounidense","La Marina de los Estados Unidos exclusivamente","La Fuerza Aerea a traves de la NASA","El Cuerpo de Marines","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! El enfoque preventivo del HACCP actua sobre el proceso para evitar que el peligro se materialice, en lugar de detectarlo cuando ya ocurrio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","Segun el material, que ventaja aporta el enfoque preventivo del HACCP frente a depender solo del analisis del producto terminado?","C","Elimina la necesidad de mantener registros documentales","Permite prescindir de la calibracion de instrumentos","Actua sobre el proceso para evitar que el peligro se materialice","Reduce el numero de principios necesarios a solo tres","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! El HACCP es reconocido internacionalmente por su adopcion en el Codex Alimentarius y por reguladores como la FDA.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","De acuerdo con el documento, que caracteristica hace que el HACCP sea reconocido internacionalmente como referencia de inocuidad alimentaria tal como se explica en el contenido teorico presentado en el curso?","B","Su exclusividad para la industria de conservas","Su adopcion por el Codex Alimentarius y organismos regulatorios como la FDA","Su aplicacion voluntaria sin ningun sustento normativo","Su enfoque unicamente en la etapa de distribucion","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! La aplicacion sistematica del HACCP busca controlar los peligros significativos en los puntos donde el control es critico para la inocuidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","Segun el material, que se busca lograr al aplicar los principios del HACCP de forma sistematica en una linea de produccion?","A","Controlar los peligros significativos en los puntos donde es critico hacerlo","Incrementar la cantidad de muestras al final de la linea","Reemplazar la capacitacion del personal por automatizacion","Eliminar la trazabilidad para simplificar los registros","","","","","",""
"multiplechoice","SHA","H1 Origen y Marco HACCP","Yes","¡Correcto! El HACCP nacio para alimentos del programa espacial y posteriormente se extendio a la industria alimentaria y a la regulacion internacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SHA.","1","Conforme al documento, cual de las siguientes afirmaciones describe correctamente la evolucion historica del HACCP segun la informacion tecnica desarrollada a lo largo del material?","D","Fue creado por el Codex antes de cualquier aplicacion industrial","Nunca fue adoptado por reguladores estadounidenses","Surgio como norma ISO en el ano 2000","Nacio para alimentos espaciales y luego se extendio a la industria y la regulacion","","","","","",""
