"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ECP","S1 Definicion y Peligros Atmosfericos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Confirmar que la atmosfera es segura para que el trabajador ingrese.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Segun el material del curso, los peligros atmosfericos de los espacios confinados incluyen la deficiencia o el exceso de oxigeno y la presencia de gases, por lo que la evaluacion previa de la atmosfera busca principalmente lograr cual objetivo antes del ingreso?","A","Confirmar que la atmosfera es segura para que el trabajador ingrese","Confirmar que el precio del material es competitivo","Confirmar que la campana de la marca es amplia","Confirmar que la cartera de clientes es amplia","","","","","",""
"multiplechoice","ECP","S2 Monitoreo Ambiental y Ventilacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La certeza de que las mediciones de la atmosfera son confiables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Segun el material del curso, la calibracion y el bump test de los equipos de monitoreo se complementan porque juntos aseguran la confiabilidad de las mediciones, lo cual contribuye principalmente a que el trabajador logre cual condicion antes de ingresar al espacio confinado?","C","La certeza de que los precios de los materiales son bajos","La certeza de que la difusion de la marca es amplia","La certeza de que las mediciones de la atmosfera son confiables","La certeza de que la cartera de clientes es amplia","","","","","",""
"multiplechoice","ECP","S3 Aislamiento de Energia LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: La liberacion inesperada de energia que podria causarle dano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Segun el material del curso, el bloqueo y etiquetado se aplica antes de intervenir equipos en el espacio confinado porque estos pueden contar con energia peligrosa, lo cual busca principalmente proteger al trabajador frente a cual situacion durante la tarea?","B","La liberacion inesperada de precios de los materiales","La liberacion inesperada de energia que podria causarle dano","La liberacion inesperada de campanas de la marca","La liberacion inesperada de clientes de la cartera","","","","","",""
"multiplechoice","ECP","S4 Permisos y Roles del Personal","Yes","¡Correcto! Segun el material del curso, lo correcto es: La vida y la salud del trabajador durante la tarea en el espacio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Segun el material del curso, el permiso de trabajo constituye un instrumento clave de la seguridad porque autoriza la tarea solo bajo condiciones controladas, lo cual contribuye principalmente a proteger cual valor del trabajador que ingresa al espacio confinado?","D","El precio de los materiales de la obra de construccion","La marca de la empresa constructora en el mercado","La cartera de clientes comerciales de la empresa","La vida y la salud del trabajador durante la tarea en el espacio","","","","","",""
"multiplechoice","ECP","S5 Rescate y Emergencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: La seguridad del personal de rescate ante los peligros del espacio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Segun el material del curso, el rescate de no entrada se prefiere cuando es posible porque evita exponer al rescatista a los peligros del espacio confinado, lo cual contribuye principalmente a proteger cual valor durante la operacion de rescate en la emergencia?","A","La seguridad del personal de rescate ante los peligros del espacio","El precio de los materiales de la obra de construccion","La marca de la empresa constructora en el mercado","La cartera de clientes comerciales de la empresa","","","","","",""
"multiplechoice","ECP","S1 Definicion y Peligros Atmosfericos","Yes","¡Correcto! Segun el material del curso, lo correcto es: El riesgo de atmosferas peligrosas y de dificultad para el ingreso y la salida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Conforme al contenido del curso, la identificacion de un lugar como espacio confinado obliga a la empresa a tratarlo con especial cuidado porque estos espacios presentan condiciones que aumentan principalmente cual tipo de riesgo para el trabajador que ingresa?","C","El riesgo de aumento del precio de los materiales","El riesgo de baja difusion de la marca de la empresa","El riesgo de atmosferas peligrosas y de dificultad para el ingreso y la salida","El riesgo de perdida de clientes de la cartera","","","","","",""
"multiplechoice","ECP","S2 Monitoreo Ambiental y Ventilacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una atmosfera controlada y segura durante toda la tarea en el espacio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Conforme al contenido del curso, el monitoreo ambiental del espacio confinado debe realizarse antes y durante la tarea porque la atmosfera puede cambiar, lo cual busca principalmente asegurar que el trabajador cuente con cual condicion a lo largo de su permanencia?","B","Un precio controlado y seguro de los materiales de obra","Una atmosfera controlada y segura durante toda la tarea en el espacio","Una difusion controlada y segura de la marca de la empresa","Una cartera controlada y segura de clientes del negocio","","","","","",""
"multiplechoice","ECP","S3 Aislamiento de Energia LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: La certeza de que la linea no permitira el flujo durante la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Conforme al contenido del curso, el cegado de lineas constituye un metodo de aislamiento util para ciertas fuentes porque interrumpe fisicamente el paso de la sustancia, lo cual contribuye principalmente a lograr cual condicion en la intervencion del trabajador?","D","La certeza de que el precio no subira durante la obra","La certeza de que la campana no cesara durante la marca","La certeza de que el cliente no se retirara de la cartera","La certeza de que la linea no permitira el flujo durante la tarea","","","","","",""
"multiplechoice","ECP","S4 Permisos y Roles del Personal","Yes","¡Correcto! Segun el material del curso, lo correcto es: La alerta y la activacion del rescate de forma oportuna.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Conforme al contenido del curso, el vigia cumple un rol esencial durante la operacion en espacios confinados porque permanece atento fuera del espacio, lo cual le permite activar principalmente cual accion ante una emergencia que afecte al trabajador que ingreso?","A","La alerta y la activacion del rescate de forma oportuna","La alerta y la activacion de la venta de los materiales","La alerta y la activacion de la campana de la marca","La alerta y la activacion de la atencion de clientes","","","","","",""
"multiplechoice","ECP","S5 Rescate y Emergencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un rescate seguro y controlado del trabajador desde el espacio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECP.","1","Conforme al contenido del curso, el tripode y el malacate se complementan en el rescate vertical de un espacio confinado porque juntos permiten mover al trabajador de forma controlada, logrando principalmente cual condicion durante la operacion de rescate?","C","Un rescate seguro y controlado del precio de la obra","Un rescate seguro y controlado de la campana de la marca","Un rescate seguro y controlado del trabajador desde el espacio","Un rescate seguro y controlado de la cartera de clientes","","","","","",""
