"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","IHS","S1 Marco Normativo Hidrosanitario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer requisitos de seguridad y salubridad para el suministro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que rol cumple el codigo sanitario dentro del conjunto de normas que rigen las instalaciones de agua potable en una edificacion segun el programa","A","Establecer requisitos de seguridad y salubridad para el suministro","Definir los precios de los materiales","Regular las redes de comunicacion de datos","Fijar los horarios del personal de obra","","","","","",""
"multiplechoice","IHS","S2 Diseno de Tuberias y Presion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permitir abrir o cerrar el flujo de agua de forma sencilla.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que funcion cumple una valvula de bola dentro del control del paso del agua en una instalacion hidrosanitaria de una edificacion segun el curso","C","Aumentar la temperatura del agua","Medir la presion del sistema","Permitir abrir o cerrar el flujo de agua de forma sencilla","Sustituir el diseno del diametro","","","","","",""
"multiplechoice","IHS","S3 Desague Ventilacion y Pendiente","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evacua los residuos de forma eficiente sin olores ni obstrucciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que caracteriza a un sistema de desague bien disenado que combina una pendiente adecuada con una ventilacion sanitaria correcta en una edificacion","B","Acumula residuos por falta de pendiente","Evacua los residuos de forma eficiente sin olores ni obstrucciones","Genera olores por ausencia de ventilacion","Detiene el flujo del agua residual","","","","","",""
"multiplechoice","IHS","S4 Excavacion y Espacios Confinados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evita el colapso de las paredes protegiendo al trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Como contribuye la instalacion de sistemas de proteccion en una zanja a la seguridad del personal durante los trabajos hidrosanitarios de una edificacion","D","Aumenta el riesgo de derrumbe de la zanja","Elimina la necesidad de monitoreo atmosferico","Reduce la estabilidad del terreno excavado","Evita el colapso de las paredes protegiendo al trabajador","","","","","",""
"multiplechoice","IHS","S5 EPP Ergonomia y Riesgo Biologico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las lesiones musculoesqueleticas por esfuerzos inadecuados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que riesgo se busca controlar al aplicar principios ergonomicos durante la manipulacion de cargas en los trabajos hidrosanitarios de una edificacion","A","Las lesiones musculoesqueleticas por esfuerzos inadecuados","Las quemaduras por trabajos en caliente","La exposicion a gases en espacios confinados","El deslizamiento de las paredes de la zanja","","","","","",""
"multiplechoice","IHS","S1 Marco Normativo Hidrosanitario","Yes","¡Correcto! Segun el material del curso, lo correcto es: La calidad y la seguridad de la instalacion se ven comprometidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que consecuencia sobre la calidad tiene ejecutar una instalacion hidrosanitaria sin seguir la normativa tecnica especifica dentro de una edificacion","C","La calidad de la instalacion mejora","El riesgo de fallas disminuye","La calidad y la seguridad de la instalacion se ven comprometidas","La vida util de la instalacion aumenta","","","","","",""
"multiplechoice","IHS","S2 Diseno de Tuberias y Presion","Yes","¡Correcto! Segun el material del curso, lo correcto es: A mayor numero de usuarios mayor es la demanda de agua.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que relacion existe entre el numero de usuarios conectados y la demanda de agua dentro de un sistema de plomeria de una edificacion segun el curso","B","A mayor numero de usuarios menor demanda","A mayor numero de usuarios mayor es la demanda de agua","El numero de usuarios no afecta la demanda","La demanda depende solo de la temperatura","","","","","",""
"multiplechoice","IHS","S3 Desague Ventilacion y Pendiente","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las obstrucciones y el estancamiento de los residuos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que busca prevenir el diseno correcto de la pendiente en las tuberias de desague dentro de un sistema hidrosanitario de una edificacion segun el curso","D","El flujo adecuado del agua residual","La ventilacion del sistema de desague","La circulacion del aire por los respiraderos","Las obstrucciones y el estancamiento de los residuos","","","","","",""
"multiplechoice","IHS","S4 Excavacion y Espacios Confinados","Yes","¡Correcto! Segun el material del curso, lo correcto es: La ausencia de materiales inflamables en la zona de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que se debe verificar antes de iniciar trabajos en caliente cerca de una excavacion o espacio confinado dentro de una instalacion hidrosanitaria","A","La ausencia de materiales inflamables en la zona de trabajo","La presencia de mayor cantidad de combustible","La retirada de los sistemas de proteccion","El aumento de la profundidad de la zanja","","","","","",""
"multiplechoice","IHS","S5 EPP Ergonomia y Riesgo Biologico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Adaptar la tarea y el entorno a las capacidades de la persona.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que principio orienta la ergonomia aplicada a los trabajos hidrosanitarios respecto a la relacion entre la tarea y las capacidades del trabajador","C","Adaptar la persona a las exigencias de la tarea","Ignorar las capacidades del trabajador","Adaptar la tarea y el entorno a las capacidades de la persona","Priorizar la produccion sobre la salud","","","","","",""
"multiplechoice","IHS","S1 Marco Normativo Hidrosanitario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Define estandares comunes que todos deben cumplir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Como contribuye el marco normativo a la uniformidad de criterios entre los distintos instaladores de sistemas hidrosanitarios que operan dentro del sector de la construccion","B","Permite que cada instalador defina sus reglas","Define estandares comunes que todos deben cumplir","Elimina cualquier estandar de referencia","Aumenta la variabilidad de la calidad","","","","","",""
"multiplechoice","IHS","S2 Diseno de Tuberias y Presion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque una presion adecuada asegura el buen funcionamiento y evita danos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Por que resulta importante mantener la presion del sistema dentro del rango recomendado en una instalacion hidrosanitaria de una edificacion","D","Porque cualquier presion es igualmente valida","Porque la presion alta siempre es preferible","Porque la presion no influye en el sistema","Porque una presion adecuada asegura el buen funcionamiento y evita danos","","","","","",""
"multiplechoice","IHS","S3 Desague Ventilacion y Pendiente","Yes","¡Correcto! Segun el material del curso, lo correcto es: Puede hacer que el agua avance sin arrastrar los solidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que efecto tiene una pendiente excesiva sobre el arrastre de los residuos solidos dentro de una tuberia de desague de una edificacion segun el curso","A","Puede hacer que el agua avance sin arrastrar los solidos","Garantiza siempre un mejor arrastre","Elimina la necesidad de ventilacion","No influye en el arrastre de residuos","","","","","",""
"multiplechoice","IHS","S4 Excavacion y Espacios Confinados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un suelo menos estable exige medidas de proteccion mas robustas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que relacion existe entre el tipo de suelo y la eleccion de las medidas de proteccion durante una excavacion en una instalacion hidrosanitaria","C","El tipo de suelo no influye en las medidas","Todo suelo requiere la misma proteccion","Un suelo menos estable exige medidas de proteccion mas robustas","Un suelo humedo no necesita proteccion","","","","","",""
"multiplechoice","IHS","S5 EPP Ergonomia y Riesgo Biologico","Yes","¡Correcto! Segun el material del curso, lo correcto es: El aumento del riesgo de lesiones musculoesqueleticas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que consecuencia tiene manipular cargas por encima de la capacidad segura del trabajador durante los trabajos hidrosanitarios de una edificacion","B","La mejora de la eficiencia del trabajo","El aumento del riesgo de lesiones musculoesqueleticas","La reduccion del esfuerzo fisico","La eliminacion del riesgo ergonomico","","","","","",""
"multiplechoice","IHS","S1 Marco Normativo Hidrosanitario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar instalaciones seguras y conformes desde el inicio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que finalidad tiene incorporar los estandares de seguridad y calidad del marco normativo desde el diseno de una instalacion hidrosanitaria","D","Corregir las deficiencias solo al final","Aumentar el costo sin aportar seguridad","Prescindir de las inspecciones posteriores","Garantizar instalaciones seguras y conformes desde el inicio","","","","","",""
"multiplechoice","IHS","S2 Diseno de Tuberias y Presion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar que el flujo del agua sea adecuado para la red.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que busca lograr el calculo de la velocidad del fluido mediante la ecuacion de continuidad al disenar una instalacion hidrosanitaria de una edificacion","A","Verificar que el flujo del agua sea adecuado para la red","Definir el color de las tuberias","Establecer el precio de la obra","Fijar la temperatura del suministro","","","","","",""
"multiplechoice","IHS","S3 Desague Ventilacion y Pendiente","Yes","¡Correcto! Segun el material del curso, lo correcto es: La ventilacion sanitaria y el correcto flujo del desague.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que aspecto del sistema de desague se ve comprometido cuando faltan respiraderos que permitan la circulacion del aire dentro de la edificacion","C","La presion del agua potable de la red","La estetica de las areas de servicio","La ventilacion sanitaria y el correcto flujo del desague","El consumo electrico de la edificacion","","","","","",""
"multiplechoice","IHS","S4 Excavacion y Espacios Confinados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Confirma que la atmosfera es segura antes del ingreso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que aporta el monitoreo atmosferico a la seguridad del trabajador que debe ingresar a un espacio confinado dentro de los trabajos hidrosanitarios","B","Aumenta la concentracion de gases nocivos","Confirma que la atmosfera es segura antes del ingreso","Sustituye la funcion del vigia","Reduce la necesidad de ventilacion","","","","","",""
"multiplechoice","IHS","S5 EPP Ergonomia y Riesgo Biologico","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso de guantes junto con una adecuada higiene personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que medida de proteccion personal complementa la prevencion frente a la leptospirosis al manipular aguas contaminadas durante los trabajos hidrosanitarios de una edificacion","D","El uso exclusivo de gafas de soldadura","La ausencia de cualquier proteccion","El contacto directo con el agua residual","El uso de guantes junto con una adecuada higiene personal","","","","","",""
"multiplechoice","IHS","S1 Marco Normativo Hidrosanitario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que la instalacion respete los estandares de seguridad y calidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que aspecto principal de una instalacion hidrosanitaria evalua el cumplimiento del marco normativo aplicable dentro de una edificacion segun el enfoque del programa formativo","A","Que la instalacion respete los estandares de seguridad y calidad","Que la instalacion tenga el menor costo","Que la instalacion sea estetica ante todo","Que la instalacion use materiales al azar","","","","","",""
"multiplechoice","IHS","S2 Diseno de Tuberias y Presion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegura un suministro de agua eficiente y controlado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IHS.","1","Que caracteriza a un diseno hidrosanitario que selecciona correctamente diametros presion y valvulas dentro de una edificacion segun el programa","C","Prioriza la estetica sobre el funcionamiento","Ignora la velocidad del flujo del agua","Asegura un suministro de agua eficiente y controlado","Prescinde del control del paso de agua","","","","","",""
