"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para gestionar y rastrear cada modificacion de un documento a lo largo del tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","En el marco del curso Control de la Informacion Documentada HSE segun ISO 9001, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el proposito principal del control de versiones en la documentacion?","A","Para gestionar y rastrear cada modificacion de un documento a lo largo del tiempo.","Para eliminar versiones antiguas de documentos sin dejar rastro.","Para destacar cambios entre diferentes formatos de documentos.","Para facilitar la impresion de documentos.","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: La categorizacion y organizacion de documentos segun su importancia y funcion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun los contenidos desarrollados en el curso Control de la Informacion Documentada HSE segun ISO 9001, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que elemento es esencial en la jerarquia documental en un sistema de gestion?","C","La ubicacion geografica de los documentos.","La longitud de los documentos para facilitar su revision.","La categorizacion y organizacion de documentos segun su importancia y funcion.","La frecuencia de actualizacion de los documentos.","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Creacion, uso, almacenamiento, destruccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual de los siguientes modelos describe mejor el ciclo de vida de la retencion documental?","B","Desarrollo, revision, aprobacion, mantenimiento.","Creacion, uso, almacenamiento, destruccion.","Recepcion, analisis, distribucion, eliminacion.","Recopilacion, actualizacion, eliminacion.","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificacion de peligros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual de las siguientes habilidades es fundamental para la gestion de riesgos en entornos de alta peligrosidad?","D","Creatividad artistica","Redaccion literaria","Programacion informatica","Identificacion de peligros","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacitacion continua.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: En el contexto de la seguridad industrial, que enfoque es clave para desarrollar una cultura de prevencion efectiva?","B","La imposicion de sanciones","La capacitacion continua","La evaluacion de la competencia laboral","La restriccion de acceso al personal","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementacion de auditorias internas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual de los siguientes aspectos se considera un resultado de aprendizaje clave en la formacion en HSE?","D","El disenio grafico","El manejo de software contable","La negociacion de contratos","Implementacion de auditorias internas","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar un aprendizaje adaptativo y personalizable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","En el marco del curso Control de la Informacion Documentada HSE segun ISO 9001, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo del uso de recursos interactivos en este curso?","A","Facilitar un aprendizaje adaptativo y personalizable","Fomentar la memorizacion a corto plazo","Reemplazar completamente los materiales impresos","Maximizar el numero de horas de estudio","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Integrar la teoria con estudios de casos practicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun los contenidos desarrollados en el curso Control de la Informacion Documentada HSE segun ISO 9001, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que metodologia se sugiere para el autoaprendizaje efectivo en contextos de alto riesgo?","C","Limitar el acceso a recursos adicionales","Estudiar en grupo sin objetivos claros","Integrar la teoria con estudios de casos practicos","Seguir un plan de estudios rigido y estructurado","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los estudiantes asumen la responsabilidad de sus procesos de aprendizaje y establecen metas claras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Con base en el material del curso Control de la Informacion Documentada HSE segun ISO 9001 y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual de las siguientes afirmaciones describe mejor la logica detras del aprendizaje autodirigido?","C","El aprendizaje autodirigido es solo para profesionales experimentados.","Los estudiantes son independientes en su aprendizaje, sin necesidad de guia.","Los estudiantes asumen la responsabilidad de sus procesos de aprendizaje y establecen metas claras.","Los estudiantes necesitan un mentor constantemente presente.","","","","","",""
"multiplechoice","CDOC","C1 Clausula 7.5 ISO 9001","Yes","¡Correcto! Segun el material del curso, lo correcto es: La idea de que los recursos interactivos promueven un aprendizaje activo, permitiendo a los estudiantes practicar y aplicar conceptos en entornos simulados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Describa como la utilizacion de recursos interactivos puede mejorar la retencion del conocimiento en una capacitacion.","A","La idea de que los recursos interactivos promueven un aprendizaje activo, permitiendo a los estudiantes practicar y aplicar conceptos en entornos simulados.","Una respuesta aceptable debe mencionar que las auditorias periodicas son esenciales para evaluar la conformidad con las normas y politicas establecidos, detectar areas de mejora, y","El alumno debe definir claramente cada uno de estos tipos documentales.","Como un DMS optimiza la gestion de documentos mediante el control de versiones, facilidades de busqueda e implementacion de flujos de trabajo automatizados, lo que reduce el tiempo","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger la salud y seguridad de los trabajadores y prevenir accidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual es el objetivo principal de un plan de gestion de seguridad en un entorno de alto riesgo?","A","Proteger la salud y seguridad de los trabajadores y prevenir accidentes.","Aumentar la produccion y la eficiencia de la empresa.","Minimizar el impacto negativo en el medio ambiente.","Optimizar los costos operativos de la industria.","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: La organizacion cronologica de las actividades propuestas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Considerando el enfoque metodologico del curso Control de la Informacion Documentada HSE segun ISO 9001 y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: En el contexto de un plan de gestion, que significa la secuencia tematica?","C","La representacion grafica de los recursos disponibles.","Un resumen de las normas legales aplicables.","La organizacion cronologica de las actividades propuestas.","La descripcion de los riesgos identificados.","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reglamento de Seguridad y Salud en el Trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual es un foco normativo crucial al desarrollar un plan de seguridad en un ambiente industrial?","B","Normas sobre gestion de residuos peligrosos.","Reglamento de Seguridad y Salud en el Trabajo.","Normativa ISO 9001.","Estandares de eficiencia energetica.","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: Plan de Emergencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun los contenidos desarrollados en el curso Control de la Informacion Documentada HSE segun ISO 9001, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual de los siguientes documentos es fundamental para la gestion de riesgos en la industria?","D","Reporte de Ventas","Protocolo de Contratacion","Manual del Empleado","Plan de Emergencia","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los peligros y medidas de control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Con base en el material del curso Control de la Informacion Documentada HSE segun ISO 9001 y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: La evaluacion de riesgos implica identificar:","B","Las oportunidades de negocio","Los peligros y medidas de control","Los costos operativos","Las normas ISO aplicables","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: Hygiene, Salud y Seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Tomando en cuenta lo estudiado en el curso Control de la Informacion Documentada HSE segun ISO 9001 sobre este tema especifico y las buenas practicas descritas en el material, responde: Que significa HSE en el contexto de gestion de seguridad?","D","Historias, Servicios, Estudios","Habilidades, Seguridad, Eficiencia","Hogar, Sostenibilidad, Etica","Hygiene, Salud y Seguridad","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: Revisar periodicamente los documentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","De acuerdo con los fundamentos presentados en el curso Control de la Informacion Documentada HSE segun ISO 9001, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual de los siguientes es un principio de control documental en HSE?","A","Revisar periodicamente los documentos","Mantener versiones obsoletas","No distribuir informacion","Eliminar documentos sin autorizacion","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: Describir el control documental como un proceso sistematico que asegura que toda la documentacion relacionada con SGSST (Sistema de Gestion de Seguridad y Salud en el Trabajo) sea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Considerando el enfoque metodologico del curso Control de la Informacion Documentada HSE segun ISO 9001 y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Define el concepto de 'control documental' en el contexto de HSE.","C","La necesidad de evaluar cada hallazgo en funcion de su gravedad, probabilidad de ocurrencia y posible impacto tanto en la seguridad como en la calidad.","Un registro de eliminacion debe incluir la fecha de eliminacion, el metodo utilizado, la descripcion de los datos eliminados, la identidad del responsable de la eliminacion, y conf","Describir el control documental como un proceso sistematico que asegura que toda la documentacion relacionada con SGSST (Sistema de Gestion de Seguridad y Salud en el Trabajo) sea","Como la auditoria regular permite identificar debilidades en los sistemas de gestion, garantizando el cumplimiento de politicas y normativas, mejorando la seguridad de los datos y","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: La documentacion proporciona evidencia objetiva que apoya el cumplimiento de estandares de calidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual de las siguientes opciones describe mejor la importancia de la documentacion en la gestion de la calidad?","C","La documentacion es un requisito legal, pero no impacta en la eficiencia operativa.","La documentacion es util solo para asegurar la gestion administrativa de la empresa.","La documentacion proporciona evidencia objetiva que apoya el cumplimiento de estandares de calidad.","La documentacion es exclusiva para la auditoria interna y no tiene relevancia en la produccion.","","","","","",""
"multiplechoice","CDOC","C2 Tipos y Jerarquia Documental","Yes","¡Correcto! Segun el material del curso, lo correcto es: La relevancia y aplicabilidad de los documentos al proposito del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun los contenidos desarrollados en el curso Control de la Informacion Documentada HSE segun ISO 9001, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual de los siguientes criterios es esencial para clasificar la documentacion en un sistema de gestion integrado?","A","La relevancia y aplicabilidad de los documentos al proposito del sistema.","El numero de copias que se deben imprimir.","El color de los documentos presentados.","El formato fisico de los documentos.","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso exclusivo de software de edicion en linea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Con base en el material del curso Control de la Informacion Documentada HSE segun ISO 9001 y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que elemento NO es parte tipica de un sistema de gestion de documentacion?","A","El uso exclusivo de software de edicion en linea.","La capacitacion del personal sobre manejo de documentos.","El acceso controlado a documentos criticos.","El registro de versiones de documentos.","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registros de capacitacion y certificacion del personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Que tipo de documentacion es esencial para cumplir con los requerimientos de auditoria en un sistema de gestion de calidad?","C","Guias generadas sin un proceso de revision.","Correspondencia interna entre departamentos.","Registros de capacitacion y certificacion del personal.","Documentos de planeacion de proyectos sin respaldo.","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar el seguimiento y la verificacion de documentos a lo largo de su ciclo de vida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual es el proposito principal de la trazabilidad documental en sistemas de gestion?","B","Permitir un acceso rapido a documentos obsoletos.","Facilitar el seguimiento y la verificacion de documentos a lo largo de su ciclo de vida.","Eliminar la necesidad de revision de documentos.","Asegurar que todos los documentos son creados igual.","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: El departamento de calidad o un auditor interno especializado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Quien es tipicamente responsable de la revision de documentos en una organizacion de alta seguridad?","D","El responsable de recursos humanos.","Cualquier empleado que quiera participar.","El director general de la empresa.","El departamento de calidad o un auditor interno especializado.","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Consiste en ajustar el contenido de un documento para reflejar cambios relevantes, asegurando que la informacion siempre este al dia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","En el marco del curso Control de la Informacion Documentada HSE segun ISO 9001, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de las siguientes opciones describe mejor el proceso de actualizacion de documentos?","B","Es un proceso automatico que ocurre sin intervencion humana.","Consiste en ajustar el contenido de un documento para reflejar cambios relevantes, asegurando que la informacion siempre este al dia.","Solo involucra la eliminacion de documentos obsoletos.","Es una accion que solo se lleva a cabo cada vez que hay un cambio administrativo.","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar el proposito y el contenido del documento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun los contenidos desarrollados en el curso Control de la Informacion Documentada HSE segun ISO 9001, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es el primer paso al crear un nuevo documento en un sistema de gestion integrado?","D","Asignar responsables para su revision.","Eliminar documentos existentes.","Publicarlo sin revisiones previas.","Determinar el proposito y el contenido del documento.","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Procedimientos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual de los siguientes tipos documentales se utiliza para la autorizacion de decisiones en un sistema de gestion?","A","Procedimientos","Informes","Registros","Memorandos","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Nivel estrategico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Tomando en cuenta lo estudiado en el curso Control de la Informacion Documentada HSE segun ISO 9001 sobre este tema especifico y las buenas practicas descritas en el material, responde: En una jerarquia documental, que nivel se encarga de las politicas de la organizacion?","C","Nivel operativo","Nivel tactico","Nivel estrategico","Nivel tecnico","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Orientado a procedimientos y procesos, guia la accion operativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","De acuerdo con los fundamentos presentados en el curso Control de la Informacion Documentada HSE segun ISO 9001, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que caracteristica define un documento de nivel tactico en la jerarquia documental?","C","Es de acceso limitado y solo relevante para alta direccion.","Documentos de apoyo que no requieren aprobacion.","Orientado a procedimientos y procesos, guia la accion operativa.","Sirve para registrar eventos historicos sin implicacion futura.","","","","","",""
"multiplechoice","CDOC","C3 Codificacion y Versiones","Yes","¡Correcto! Segun el material del curso, lo correcto es: El alumno debe definir claramente cada uno de estos tipos documentales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Considerando el enfoque metodologico del curso Control de la Informacion Documentada HSE segun ISO 9001 y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Explica las diferencias entre procedimientos, instrucciones y registros dentro de un sistema documental.","A","El alumno debe definir claramente cada uno de estos tipos documentales.","La importancia de mantener la precision, la conformidad y la relevancia de los documentos en entornos de alta seguridad.","Las respuestas deben incluir que dos metodos efectivos son las copias de seguridad en la nube y la creacion de copias de seguridad locales.","Como la auditoria regular permite identificar debilidades en los sistemas de gestion, garantizando el cumplimiento de politicas y normativas, mejorando la seguridad de los datos y","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Eliminar productos o tecnologias que han quedado obsoletos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","En el marco del curso Control de la Informacion Documentada HSE segun ISO 9001, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la principal finalidad del control de obsoletos en un entorno industrial?","A","Eliminar productos o tecnologias que han quedado obsoletos.","Optimizar la programacion de maquinaria.","Asegurar la disponibilidad de personal en turnos.","Mantener un registro de inventarios activos.","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El proceso de identificar y organizar cambios a traves del tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun los contenidos desarrollados en el curso Control de la Informacion Documentada HSE segun ISO 9001, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que es el versionado en la codificacion de documentos?","C","El almacenamiento de documentos en un sistema en la nube.","La creacion de versiones multiplataforma.","El proceso de identificar y organizar cambios a traves del tiempo.","La posibilidad de acceso simultaneo a documentos en red.","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un documento que detalla todas las modificaciones realizadas a un documento o proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: En el contexto de la gestion de la calidad, como se define 'historico de cambios'?","B","Un listado de las auditorias realizadas en la empresa.","Un documento que detalla todas las modificaciones realizadas a un documento o proceso.","Un registro de las personas responsables de un proyecto.","Un esquema de los protocolos de seguridad.","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El versionado permite un seguimiento claro de los cambios realizados en documentos y sistemas, facilitando la auditoria y la reversibilidad de errores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Tomando en cuenta lo estudiado en el curso Control de la Informacion Documentada HSE segun ISO 9001 sobre este tema especifico y las buenas practicas descritas en el material, responde: Describe brevemente la importancia del versionado en la gestion de sistemas integrados.","D","La necesidad de salvaguardar la informacion sensible y comprobar que estan implementadas las politicas de seguridad adecuadas para evitar accesos no autorizados.","Una respuesta correcta deberia identificar medidas como controles de acceso, tanto fisicos como digitales, analisis de vulnerabilidades, y practicas de ciberseguridad, como firewalls y software antivirus.","Varios elementos criticos tales como la escalabilidad del sistema, la flexibilidad para integrarse con otras plataformas de gestion como LMS, la robustez en la seguridad de datos,","El versionado permite un seguimiento claro de los cambios realizados en documentos y sistemas, facilitando la auditoria y la reversibilidad de errores.","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La codificacion eficiente de documentos y procesos garantiza un acceso controlado a la informacion critica, previene la confusion de datos y contribuye al cumplimiento normativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Explica como la codificacion puede afectar la seguridad industrial en sectores de alto riesgo.","B","El versionado permite un seguimiento claro de los cambios realizados en documentos y sistemas, facilitando la auditoria y la reversibilidad de errores.","La codificacion eficiente de documentos y procesos garantiza un acceso controlado a la informacion critica, previene la confusion de datos y contribuye al cumplimiento normativo.","El desarrollo de habilidades de identificacion de riesgos, analisis critico de situaciones, liderazgo en la promocion de practicas seguras, y la capacidad de respuesta ante emergencias.","Componentes como analisis de riesgos, identificacion de procesos criticos, establecimiento de politicas de respaldo, disenio de un plan de respuesta ante crisis y la definicion de RTO y RPO.","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Optimizar el proceso de aprobacion y revision.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Considerando el enfoque metodologico del curso Control de la Informacion Documentada HSE segun ISO 9001 y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cual es el principal objetivo de un workflow en la gestion de documentos?","D","Disminuir la colaboracion en equipo","Aumentar el volumen de documentos en circulacion","Eliminar la necesidad de documentacion","Optimizar el proceso de aprobacion y revision","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Firma electronica avanzada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","En el marco del curso Control de la Informacion Documentada HSE segun ISO 9001, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Que tipo de firma es ideal para garantizar la integridad y autenticidad de documentos digitales?","A","Firma electronica avanzada","Firma de correo electronico simple","Firma de marca de agua","Firma manuscrita escaneada","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Usar un sistema de seguimiento y confirmacion de lectura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: En el contexto de distribucion de documentos, cual de las siguientes opciones permite un mejor control sobre la recepcion de los mismos?","C","Enviar documentos sin confirmacion","Distribuir documentos sin restricciones de acceso","Usar un sistema de seguimiento y confirmacion de lectura","Enviar copias impresas a todas las partes","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Optimizar la secuenciacion y control de procesos documentales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: Cual es la principal funcion de un flujo de trabajo en la gestion de documentos?","C","Simplificar las firmas digitales en documentos.","Aumentar la redundancia en el almacenamiento de datos.","Optimizar la secuenciacion y control de procesos documentales.","Facilitar la identificacion de documentos obsoletos.","","","","","",""
"multiplechoice","CDOC","C4 Sistemas DMS y Aprobacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso de un sistema que registre las modificaciones y los responsables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CDOC.","1","Segun el material del curso Control de la Informacion Documentada HSE segun ISO 9001, responde con precision: En el contexto de la notificacion de cambios en documentos, que aspecto es clave para un buen control de versiones?","A","El uso de un sistema que registre las modificaciones y los responsables.","El numero de copias impresas del documento.","La frecuencia de actualizaciones del documento.","La inclusion de todos los firmantes en el documento.","","","","","",""
