"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TCP","S1 Definicion Hot Work y Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cualquier actividad que involucra soldadura corte o produccion de chispas calor o llama abierta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","Segun el material del curso, el termino trabajo en caliente o Hot Work se refiere a cualquier actividad que involucra que caracteristica principal capaz de generar peligro en el entorno laboral industrial?","A","Cualquier actividad que involucra soldadura corte o produccion de chispas calor o llama abierta","Tareas realizadas exclusivamente en ambientes de baja temperatura para reducir riesgos","Actividades administrativas que no requieren el uso de herramientas electricas ni manuales","Actividades realizadas exclusivamente en oficinas administrativas sin exposicion a calor","","","","","",""
"multiplechoice","TCP","S2 Jerarquia de Controles y Prevencion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Sustituir o eliminar el proceso que genera el riesgo reemplazandolo por uno mas seguro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","Segun el material del curso, cual es la medida mas efectiva dentro de la jerarquia de controles para reducir un riesgo asociado a un trabajo en caliente en la industria?","C","Colocar senales de advertencia en el area donde se ejecuta la tarea peligrosa","Entregar equipo de proteccion personal a cada uno de los trabajadores involucrados","Sustituir o eliminar el proceso que genera el riesgo reemplazandolo por uno mas seguro","Registrar en una bitacora la hora exacta en que inicia cada trabajador su turno","","","","","",""
"multiplechoice","TCP","S3 Permisos y Areas Designadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que se cumplan los procedimientos de seguridad y verificaciones antes de autorizar la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","Segun el material del curso, cual es la funcion principal de un permiso de trabajo en actividades de trabajo en caliente dentro de la seguridad industrial?","B","Documentar la cantidad de materiales consumidos durante la jornada de soldadura","Asegurar que se cumplan los procedimientos de seguridad y verificaciones antes de autorizar la tarea","Registrar el horario de entrada y salida de los trabajadores del turno operativo","Calcular la cantidad de energia electrica consumida durante la ejecucion de la tarea","","","","","",""
"multiplechoice","TCP","S4 Vigia de Fuego y Perimetro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Monitorear el ambiente para detectar riesgos de incendio y actuar ante cualquier inicio de fuego.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","Segun el material del curso, cual es el rol principal del vigia de fuego durante una operacion industrial de trabajo en caliente?","D","Realizar las tareas de mantenimiento de los equipos empleados en la soldadura","Encargarse de la logistica y el transporte de materiales dentro del proyecto","Coordinar la compra de los materiales que seran utilizados en la soldadura","Monitorear el ambiente para detectar riesgos de incendio y actuar ante cualquier inicio de fuego","","","","","",""
"multiplechoice","TCP","S5 EPP Oxicorte y Emergencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Careta de soldadura guantes ropa resistente al fuego y proteccion ocular contra la radiacion del arco.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","Segun el material del curso, que tipo de equipo de proteccion individual resulta esencial para un soldador durante una operacion de trabajo en caliente?","A","Careta de soldadura guantes ropa resistente al fuego y proteccion ocular contra la radiacion del arco","Ropa ligera de algodon sin tratamiento y lentes de sol comunes de uso diario","Calzado deportivo y gorra de tela para protegerse del calor generado por el arco","Un chaleco reflectante y un silbato como unicos elementos de proteccion del soldador","","","","","",""
"multiplechoice","TCP","S1 Definicion Hot Work y Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque generan fuentes de ignicion como chispas calor y llamas capaces de provocar incendios o explosiones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","De acuerdo con el material del curso, cual es la razon fundamental por la que los trabajos en caliente se consideran actividades de alto riesgo dentro de la seguridad industrial?","C","Porque requieren siempre el uso de maquinaria pesada de gran tamano y elevado costo","Porque solo pueden ejecutarse durante turnos nocturnos con iluminacion artificial limitada","Porque generan fuentes de ignicion como chispas calor y llamas capaces de provocar incendios o explosiones","Porque siempre se ejecutan al aire libre donde el viento dispersa cualquier riesgo","","","","","",""
"multiplechoice","TCP","S2 Jerarquia de Controles y Prevencion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso del equipo de proteccion personal por parte del trabajador expuesto al riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","De acuerdo con la jerarquia de controles explicada en el material, cual medida se considera la menos efectiva y ultima linea de defensa frente a los riesgos de trabajo en caliente?","B","La eliminacion completa del peligro mediante el cambio del proceso productivo","El uso del equipo de proteccion personal por parte del trabajador expuesto al riesgo","La sustitucion del material inflamable por otro que no represente peligro alguno","El aumento del presupuesto destinado a la capacitacion del personal administrativo","","","","","",""
"multiplechoice","TCP","S3 Permisos y Areas Designadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: El area de la tarea los riesgos identificados los controles aplicados y las firmas de autorizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","De acuerdo con el material del curso, que informacion basica debe contener un permiso de trabajo en caliente antes de iniciar la operacion?","D","Solo el nombre del soldador y la marca del equipo de soldadura empleado","Unicamente la fecha en que se realizara la tarea sin ningun otro detalle relevante","El detalle contable del costo de cada electrodo utilizado durante la operacion","El area de la tarea los riesgos identificados los controles aplicados y las firmas de autorizacion","","","","","",""
"multiplechoice","TCP","S4 Vigia de Fuego y Perimetro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Treinta y cinco pies alrededor del punto donde se ejecuta el trabajo en caliente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","De acuerdo con el material del curso, cual es la distancia minima establecida para el perimetro de seguridad en un sitio de soldadura segun el estandar presentado?","A","Treinta y cinco pies alrededor del punto donde se ejecuta el trabajo en caliente","Quince pies alrededor del punto donde se realiza la soldadura o el corte","Cincuenta pies medidos unicamente hacia el lado donde se ubica el operador","Cinco pies medidos hacia arriba desde el nivel del piso donde trabaja el operador","","","","","",""
"multiplechoice","TCP","S5 EPP Oxicorte y Emergencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger al trabajador de quemaduras radiacion chispas y humos que se generan durante la operacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TCP.","1","De acuerdo con el material del curso, cual es la funcion principal del equipo de proteccion personal en las actividades de soldadura y corte?","C","Aumentar la velocidad de ejecucion de la soldadura para reducir el tiempo de trabajo","Reemplazar la necesidad de aplicar controles de ingenieria y administrativos en el area","Proteger al trabajador de quemaduras radiacion chispas y humos que se generan durante la operacion","Registrar la cantidad de piezas soldadas para calcular el rendimiento del turno","","","","","",""
