"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y gestionar riesgos laborales para garantizar un ambiente de trabajo seguro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","En el marco del curso Seguridad Industrial y Gestion de Riesgos Operacionales, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el objetivo principal del curso de seguridad industrial para supervisores en Ecuador?","A","Identificar y gestionar riesgos laborales para garantizar un ambiente de trabajo seguro.","Aumentar la produccion sin considerar la seguridad.","Implementar sistemas de incentivos economicos para el personal.","Reducir costos operativos a traves de la optimizacion de procesos.","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacitacion continua y practica, con evaluaciones periodicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Segun los contenidos desarrollados en el curso Seguridad Industrial y Gestion de Riesgos Operacionales, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que enfoque se recomienda para la capacitacion del personal en temas de seguridad industrial?","C","Cursos teoricos sin practica ni aplicacion real.","Capacitacion solo al inicio del empleo.","Capacitacion continua y practica, con evaluaciones periodicas.","Talleres unicos y posteriormente aplicar las normas sin seguimiento.","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar inspecciones regulares y auditorias de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Segun el material del curso Seguridad Industrial y Gestion de Riesgos Operacionales, responde con precision: Cual de las siguientes acciones es fundamental para la identificacion de riesgos en un entorno industrial?","B","Aumentar la produccion sin ajustes en los protocolos de seguridad.","Realizar inspecciones regulares y auditorias de seguridad.","Distribuir al azar las tareas entre los trabajadores.","Implementar horarios de trabajo flexibles para los empleados.","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Segun el material del curso Seguridad Industrial y Gestion de Riesgos Operacionales, responde con precision: Cual de los siguientes verbos es mas adecuado para describir el resultado de aprendizaje que involucra la evaluacion de un proceso tecnico?","D","Identificar","Describir","Seleccionar","Evaluar","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar medidas correctivas tras una evaluacion de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Segun el material del curso Seguridad Industrial y Gestion de Riesgos Operacionales, responde con precision: En el contexto de un proyecto HSE, cual de los siguientes ejemplos representa mejor la aplicacion real de un resultado de aprendizaje?","B","Asistir a una reunion de equipo","Implementar medidas correctivas tras una evaluacion de riesgos","Desarrollar un informe sobre incidentes","Realizar una capacitacion para el personal","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar implica valorar opciones para tomar decisiones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Segun el material del curso Seguridad Industrial y Gestion de Riesgos Operacionales, responde con precision: Cual es la diferencia principal entre identificar, evaluar y seleccionar en el contexto de resultados de aprendizaje?","D","Identificar significa analizar situaciones","No hay diferencias significativas entre ellos","Seleccionar es solo elegir cualquier opcion","Evaluar implica valorar opciones para tomar decisiones","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Seleccionar implica elegir la medida mas efectiva tras una evaluacion de alternativas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Segun el material del curso Seguridad Industrial y Gestion de Riesgos Operacionales, responde con precision: Cual de las siguientes afirmaciones describe mejor el proceso de seleccion en el ambito de los resultados de aprendizaje?","A","Seleccionar implica elegir la medida mas efectiva tras una evaluacion de alternativas","Seleccionar consiste en optar por la alternativa mas facil","Seleccionar y evaluar son sinonimos en este contexto","La seleccion no requiere de evaluacion previa","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un cronograma de actividades.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Segun los contenidos desarrollados en el curso Seguridad Industrial y Gestion de Riesgos Operacionales, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual de las siguientes herramientas es esencial para organizar un estudio autoadministrado eficaz?","C","Un examen final","Un tutor personal","Un cronograma de actividades.","Un grupo de estudio","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitan la retencion de informacion mediante la practica activa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Con base en el material del curso Seguridad Industrial y Gestion de Riesgos Operacionales y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Al utilizar recursos interactivos en el estudio, cual de las siguientes afirmaciones es correcta?","C","No son adaptativos a la necesidad del estudiante.","Son menos eficaces que los libros de texto tradicionales.","Facilitan la retencion de informacion mediante la practica activa.","Son solo un complemento opcional.","","","","","",""
"multiplechoice","SIGRO","C1 Fundamentos HSE y Marco Ecuador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite al estudiante identificar areas de mejora y progreso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIGRO.","1","Tomando en cuenta lo estudiado en el curso Seguridad Industrial y Gestion de Riesgos Operacionales sobre este tema especifico y las buenas practicas descritas en el material, responde: Que papel juega la autoevaluacion en el proceso de aprendizaje autoadministrado?","A","Permite al estudiante identificar areas de mejora y progreso.","Se debe realizar al final del curso y no durante el proceso.","Es irrelevante, ya que solo importa el resultado final.","Distrae al estudiante y disminuye su motivacion.","","","","","",""
