"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! El sistema de medicion consolidado del sistema de gestion integrado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el material, que son los KPI integrados QHSE dentro del sistema de gestion.","B","El precio de los productos","El sistema de medicion consolidado del sistema de gestion integrado","La marca de la empresa","El horario del personal","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! Key Performance Indicator, indicador clave de desempeno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","De acuerdo con el contenido, que significan las siglas KPI segun el material.","C","Known Product Information","Key Process Insurance","Key Performance Indicator, indicador clave de desempeno","Key Price Index","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! Alineacion estrategica, formula, fuente, meta, frecuencia y responsable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Conforme al material, que caracteristicas esenciales definen a un KPI.","D","Solo el precio y la marca","Solo el color y el peso","Solo el horario de medicion","Alineacion estrategica, formula, fuente, meta, frecuencia y responsable","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! Estrategico, tactico y operativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el contenido, que tres niveles organizacionales de KPI describe el material.","B","Alto, medio y bajo precio","Estrategico, tactico y operativo","Diario, semanal y mensual","Local, nacional e internacional","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! Valor directivo para la toma de decisiones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el documento, que aporta un KPI mas alla del dato aislado.","A","Valor directivo para la toma de decisiones","Un aumento del precio","Un cambio de marca","Un ajuste de horario","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! ISO 9001, ISO 14001, ISO 45001, API RP 754, GRI y SASB.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","De acuerdo con el material, que estandares base sustentan el seguimiento del desempeno QHSE.","C","Solo normas de precios","Solo normas de marca","ISO 9001, ISO 14001, ISO 45001, API RP 754, GRI y SASB","Solo normas de horario","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! Que se debe medir, como, cuando y con que evidencia documentada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el contenido, que define la clausula 9.1 respecto de la medicion del desempeno.","D","El precio de venta","La marca del producto","El horario del turno","Que se debe medir, como, cuando y con que evidencia documentada","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! Datos validos y analisis confiable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el documento, que se necesita para una toma de decisiones confiable con KPI.","B","Precios bajos","Datos validos y analisis confiable","Marcas conocidas","Horarios amplios","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! El cumplimiento de PTW por turno y las NC del dia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Conforme al documento, que ejemplo de KPI operativo por turno se menciona.","A","El cumplimiento de PTW por turno y las NC del dia","El precio por unidad","La marca del producto","El horario de cierre","","","","","",""
"multiplechoice","ICQ","C1 Fundamentos KPI y Marco","Yes","¡Correcto! Formula, fuente, meta, frecuencia y responsable definidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","De acuerdo con el material, que atributos debe tener un indicador para ser util a la gestion.","C","Solo un precio bajo","Solo una marca","Formula, fuente, meta, frecuencia y responsable definidos","Solo un horario","","","","","",""
"multiplechoice","ICQ","C2 Leading y Lagging","Yes","¡Correcto! Es predictivo y actua sobre la causa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el material, que caracteriza a un leading indicator dentro del sistema QHSE.","A","Es predictivo y actua sobre la causa","Mide solo el precio","Refleja solo la marca","Define el horario","","","","","",""
"multiplechoice","ICQ","C2 Leading y Lagging","Yes","¡Correcto! Se gestiona de forma reactiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el documento, que ocurre si un SGI se apoya solo en lagging indicators.","B","Mejora la prediccion","Se gestiona de forma reactiva","Sube el precio","Cambia la marca","","","","","",""
"multiplechoice","ICQ","C2 Leading y Lagging","Yes","¡Correcto! El equilibrio entre leading y lagging.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Conforme al material, que combinacion produce un sistema de indicadores robusto.","D","Solo leading indicators","Solo lagging indicators","Solo indicadores de precio","El equilibrio entre leading y lagging","","","","","",""
"multiplechoice","ICQ","C2 Leading y Lagging","Yes","¡Correcto! Con los lagging indicators.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","De acuerdo con el documento, con que deben correlacionarse los leading indicators seleccionados.","C","Con el precio","Con la marca","Con los lagging indicators","Con el horario","","","","","",""
"multiplechoice","ICQ","C2 Leading y Lagging","Yes","¡Correcto! Un valor preventivo al anticipar la causa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Conforme al contenido, que valor aporta un leading indicator frente a un lagging.","D","Fija el precio","Define la marca","Establece el horario","Un valor preventivo al anticipar la causa","","","","","",""
"multiplechoice","ICQ","C2 Leading y Lagging","Yes","¡Correcto! Un equilibrio adecuado entre leading y lagging.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el documento, que caracteriza a un tablero de indicadores maduro.","A","Un equilibrio adecuado entre leading y lagging","Solo indicadores de precio","Solo indicadores de marca","Solo indicadores de horario","","","","","",""
"multiplechoice","ICQ","C2 Leading y Lagging","Yes","¡Correcto! Seis pasos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICQ.","1","Segun el contenido, cuantos pasos tiene el metodo de seleccion de leading indicators del documento.","B","Tres pasos","Seis pasos","Diez pasos","Doce pasos","","","","","",""
