"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EC","S1 Definicion y Peligros PRCS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que el espacio este destinado exclusivamente para uso industrial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Cual de los siguientes criterios no se considera valido para definir un espacio confinado dentro del marco tecnico de la seguridad industrial aplicada a este tipo de recintos segun el contenido tecnico del programa formativo","A","Que el espacio este destinado exclusivamente para uso industrial","Que tenga aberturas limitadas de entrada y salida","Que no este disenado para ocupacion continua de personas","Que pueda acumular atmosferas peligrosas en su interior","","","","","",""
"multiplechoice","EC","S2 Atmosfera O2 LEL e IDLH","Yes","¡Correcto! Segun el material del curso, lo correcto es: Entre 19.5 por ciento y 23.5 por ciento de oxigeno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Cual es el rango optimo de concentracion de oxigeno en el aire que se considera adecuado para las condiciones de trabajo seguro dentro de un espacio confinado segun el contenido tecnico del programa formativo aplicado a estos recintos","C","Entre 5 por ciento y 10 por ciento de oxigeno","Entre 30 por ciento y 40 por ciento de oxigeno","Entre 19.5 por ciento y 23.5 por ciento de oxigeno","Entre 0 por ciento y 5 por ciento de oxigeno","","","","","",""
"multiplechoice","EC","S3 Deteccion de Gases y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detectar de forma simultanea varios gases peligrosos del ambiente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Cual es la funcion principal del detector conocido como cuatro en uno dentro del control de la atmosfera que debe realizarse antes y durante el ingreso a un espacio confinado en entornos industriales segun el contenido tecnico del programa formativo","B","Medir unicamente la temperatura del recinto","Detectar de forma simultanea varios gases peligrosos del ambiente","Iluminar el interior del espacio confinado","Bloquear la energia de los equipos internos","","","","","",""
"multiplechoice","EC","S4 Ventilacion y Permiso Entrada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar aire fresco de forma constante y controlar la acumulacion de contaminantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Cual es la principal funcion de la ventilacion forzada aplicada dentro de un espacio confinado para acondicionar la atmosfera antes y durante la permanencia del personal en su interior segun el contenido tecnico del programa formativo","D","Aumentar la temperatura interna del recinto","Reducir el nivel de ruido de los equipos","Iluminar el interior del espacio confinado","Proporcionar aire fresco de forma constante y controlar la acumulacion de contaminantes","","","","","",""
"multiplechoice","EC","S5 Roles Vigia y Rescate","Yes","¡Correcto! Segun el material del curso, lo correcto es: Monitorear las condiciones del ambiente y la seguridad de los entrantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Cual es la principal responsabilidad del vigia durante una operacion de entrada a un espacio confinado mientras el personal autorizado permanece trabajando en el interior del recinto segun el contenido tecnico del programa formativo","A","Monitorear las condiciones del ambiente y la seguridad de los entrantes","Ingresar junto con el personal a realizar tareas","Encargarse de la contabilidad de la operacion","Definir el color de la senalizacion del recinto","","","","","",""
"multiplechoice","EC","S1 Definicion y Peligros PRCS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es un espacio que contiene riesgos reconocidos y requiere procedimientos de control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Cual de las siguientes afirmaciones describe correctamente un espacio confinado que requiere permiso de entrada conocido por sus siglas PRCS dentro de la seguridad industrial aplicada a estos recintos segun el contenido tecnico del programa formativo","C","Es un espacio libre de cualquier riesgo para el ingreso","Es un espacio de uso domestico sin control alguno","Es un espacio que contiene riesgos reconocidos y requiere procedimientos de control","Es un espacio que nunca requiere autorizacion previa","","","","","",""
"multiplechoice","EC","S2 Atmosfera O2 LEL e IDLH","Yes","¡Correcto! Segun el material del curso, lo correcto es: Significa limite inferior de explosividad de un gas o vapor inflamable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Que significa la sigla LEL dentro del contexto de la seguridad atmosferica que debe evaluarse en el interior de un espacio confinado antes de autorizar el ingreso del personal segun el contenido tecnico del programa formativo","B","Significa nivel de electricidad libre en el aire","Significa limite inferior de explosividad de un gas o vapor inflamable","Significa longitud efectiva de la linea de vida","Significa carga de trabajo del equipo de rescate","","","","","",""
"multiplechoice","EC","S3 Deteccion de Gases y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: La calibracion del detector conforme a las indicaciones del fabricante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Que procedimiento debe realizarse de forma obligatoria antes de utilizar un detector de gases para asegurar que sus lecturas sean confiables al evaluar la atmosfera de un espacio confinado segun el contenido tecnico del programa formativo","D","Pintar el detector del color reglamentario","Sumergir el detector en agua antes de usarlo","Dejar el detector apagado durante la medicion","La calibracion del detector conforme a las indicaciones del fabricante","","","","","",""
"multiplechoice","EC","S4 Ventilacion y Permiso Entrada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para reemplazar el aire contaminado del interior con aire fresco del exterior.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Para que se utiliza principalmente la ventilacion forzada al preparar la atmosfera de un espacio confinado antes de autorizar el ingreso del personal encargado de las tareas en su interior segun el contenido tecnico del programa formativo","A","Para reemplazar el aire contaminado del interior con aire fresco del exterior","Para proteger al personal del calor extremo","Para reducir el ruido en el ambiente laboral","Para eliminar los desechos solidos del recinto","","","","","",""
"multiplechoice","EC","S5 Roles Vigia y Rescate","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar regulaciones y normas para garantizar la seguridad laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EC.","1","Cual de las siguientes afirmaciones describe mejor el papel del organismo conocido como OSHA en relacion con la seguridad de los trabajos realizados en el interior de un espacio confinado segun el contenido tecnico del programa formativo","C","Fabricar y vender los equipos de rescate","Administrar el presupuesto de cada empresa","Desarrollar regulaciones y normas para garantizar la seguridad laboral","Definir el color de los uniformes del personal","","","","","",""
