"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Clasificar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de las siguientes actividades implica el analisis de datos para clasificar riesgos en el ambito sanitario nacional?","A","Clasificar","Seleccionar","Evaluar","Aplicar","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar un programa de calidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el contexto de la calidad e inocuidad alimentaria, cual es el proposito principal de la actividad de 'preparar'?","C","Evaluar la efectividad de las medidas de control.","Clasificar los productos segun sus caracteristicas.","Implementar un programa de calidad.","Definir protocolos de seguridad alimentaria.","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar los proveedores de medicamentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En el proceso de seleccion de medicamentos, que actividad se considera esencial para asegurar la calidad en un entorno sanitario?","B","Preparar formularios de uso asociado.","Evaluar los proveedores de medicamentos.","Aplicar normativas de importacion.","Clasificar los medicamentos por su efectividad.","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite a los participantes ajustar el ritmo de aprendizaje segun sus propias necesidades y disponibilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Tomando en cuenta lo estudiado en el curso Cumplimiento Regulatorio Alimentario y Autoridades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es la principal ventaja de un enfoque autoadministrado en el aprendizaje de la metodologia de calidad e inocuidad?","D","Enfoca el aprendizaje unicamente en la teoria sin aplicacion practica.","Fomenta la dependencia del instructor para avanzar en las actividades.","Reduce la necesidad de aplicar practicas en situaciones reales.","Permite a los participantes ajustar el ritmo de aprendizaje segun sus propias necesidades y disponibilidad.","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Recursos en linea como videos, foros de discusion, y tutoriales interactivos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","De acuerdo con los fundamentos presentados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: En la metodologia del curso, que tipo de recursos integrados se recomienda utilizar?","B","Materiales obsoletos que no se actualizan regularmente.","Recursos en linea como videos, foros de discusion, y tutoriales interactivos.","Unicamente documentos de politicas regulatorias.","Materiales exclusivamente presenciales como libros de texto.","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Investigar y completar un proyecto sobre practicas de calidad de forma individual.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cual de las siguientes actividades se considera parte del trabajo autonomo en el curso?","D","Esperar instrucciones constantes de un facilitador.","Seguir un ritmo de trabajo impuesto por el instructor sin variaciones.","Realizar tareas grupales unicamente en clase.","Investigar y completar un proyecto sobre practicas de calidad de forma individual.","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Codigo de Salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes articulos regula especificamente la autorizacion sanitaria para productos alimenticios en El Salvador?","A","Codigo de Salud","RTCA","Ley de Propiedad Industrial","Ley de Proteccion al Consumidor","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ministerio de Salud Publica y Asistencia Social.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que organismo es responsable de emitir el registro sanitario obligatorio en El Salvador?","C","Ministerio de Agricultura","Secretaria de Medio Ambiente","Ministerio de Salud Publica y Asistencia Social","Instituto Salvadorenio de Normas Tecnicas","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Estudio del impacto ambiental de la produccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Que aspecto NO se considera en el proceso de evaluacion para el registro sanitario de un producto alimenticio?","C","Verificacion de buenas practicas de manufactura","Analisis de los ingredientes utilizados","Estudio del impacto ambiental de la produccion","Revision de la etiqueta del producto","","","","","",""
"multiplechoice","ASNSV","C1 Codigo de Salud Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ministerio de Salud Publica y Asistencia Social.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Tomando en cuenta lo estudiado en el curso Cumplimiento Regulatorio Alimentario y Autoridades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es la principal autoridad reguladora encargada de la seguridad alimentaria en El Salvador?","A","Ministerio de Salud Publica y Asistencia Social","Ministerio de Agricultura y Ganaderia","Instituto Salvadorenio de Bienestar Familiar","Direccion General de Aduanas","","","","","",""
"multiplechoice","ASNSV","C2 Relacion Norma Autoridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reglamento Sanitario de los Alimentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","De acuerdo con los fundamentos presentados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que normativa establece los requisitos sobre la inocuidad de los alimentos en El Salvador?","A","Reglamento Sanitario de los Alimentos","Codigo Salvadorenio de Salud","Normas Tecnicas de Calidad","Ley de Inocuidad Alimentaria","","","","","",""
"multiplechoice","ASNSV","C2 Relacion Norma Autoridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Regular el trafico internacional de animales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En el marco de la ley de Sanidad Animal, que funcion ejerce el Ministerio de Agricultura y Ganaderia?","C","Realizar auditorias de plantas procesadoras","Proveer asistencia tecnica a agricultores","Regular el trafico internacional de animales","Establecer normas de calidad para productos alimenticios","","","","","",""
"multiplechoice","ASNSV","C2 Relacion Norma Autoridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registro Sanitario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes documentos se requiere para la comercializacion de productos alimenticios en El Salvador?","B","Licencia de construccion","Registro Sanitario","Certificado de origen","Permiso de exportacion","","","","","",""
"multiplechoice","ASNSV","C2 Relacion Norma Autoridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Informar a las autoridades sobre la existencia de un producto alimenticio en el mercado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: El proposito principal de la notificacion sanitaria es:","D","Efectuar un analisis de calidad del producto.","Obtener permiso para importar productos alimenticios.","Obtener una licencia de funcionamiento.","Informar a las autoridades sobre la existencia de un producto alimenticio en el mercado.","","","","","",""
"multiplechoice","ASNSV","C2 Relacion Norma Autoridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Autoridades locales municipales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Con base en el material del curso Cumplimiento Regulatorio Alimentario y Autoridades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: La 'licencia de funcionamiento' se obtiene principalmente de:","B","Ministerio de Agricultura.","Autoridades locales municipales.","Ministerio de Salud.","Ministerio de Comercio.","","","","","",""
"multiplechoice","ASNSV","C2 Relacion Norma Autoridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cumplir con las normativas sanitarias vigentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","Tomando en cuenta lo estudiado en el curso Cumplimiento Regulatorio Alimentario y Autoridades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es la obligacion principal de una empresa en relacion a la calidad e inocuidad de los productos alimentarios?","D","Aumentar la produccion sin considerar la calidad","Eliminar todos los procesos de control de calidad","Enfocarse unicamente en el marketing de sus productos","Cumplir con las normativas sanitarias vigentes","","","","","",""
"multiplechoice","ASNSV","C2 Relacion Norma Autoridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar un sistema de trazabilidad efectivo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNSV.","1","De acuerdo con los fundamentos presentados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual de las siguientes acciones es crucial para garantizar la defensa alimentaria en una empresa?","A","Desarrollar un sistema de trazabilidad efectivo","Reclutar mas personal sin capacitacion","Disminuir los costos de produccion a expensas de la seguridad","Limitar el acceso de inspectores externos","","","","","",""
