"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! El marco normativo de la trazabilidad alimentaria se fundamenta en la ISO 22005:2007, el FSMA 204 y el reglamento UE 178/2002.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Segun el material, cuales son las clausulas del marco normativo que fundamentan el sistema de trazabilidad alimentaria en la Sesion 01?","A","ISO 22005:2007, FSMA 204 y UE 178/2002","ISO 9001, ISO 45001 y OHSAS","Solo el Codex CAC/RCP 1-1969","Unicamente la norma ISO 14001","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! El sistema de trazabilidad no se disena en el vacio porque se apoya en requisitos normativos que delimitan que debe poder identificarse y rastrearse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","De acuerdo con el documento, por que el sistema de trazabilidad no se disena en el vacio de acuerdo con lo expuesto en el contenido tecnico del curso?","B","Porque depende solo del presupuesto","Porque se apoya en requisitos normativos que delimitan que debe poder identificarse y rastrearse","Porque lo define cada operario","Porque no requiere ninguna base tecnica","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! La norma ISO 22005:2007 establece principios de trazabilidad dentro del marco normativo del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Segun el material, que norma internacional especifica establece principios de trazabilidad dentro del marco normativo del curso conforme a lo desarrollado en el material de estudio de la unidad?","C","La norma ISO 9001:2015","El reglamento FSMA 204 exclusivamente","La norma ISO 22005:2007","La norma ISO 45001","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! El FSMA 204 (Food Safety Modernization Act) forma parte del marco normativo estadounidense de la trazabilidad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Conforme al documento, que reglamento estadounidense forma parte del marco normativo de la trazabilidad alimentaria tal como se explica en el contenido teorico presentado en el curso?","D","La norma ISO 22005","El reglamento UE 178/2002","La norma GS1","El FSMA 204 (Food Safety Modernization Act)","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! El reglamento UE 178/2002 integra el marco normativo europeo de la trazabilidad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Segun el material, que reglamento europeo integra el marco normativo de la trazabilidad alimentaria segun la informacion tecnica desarrollada a lo largo del material?","A","El reglamento UE 178/2002","La norma ISO 45001","El Codex CAC/RCP 1-1969","La norma ISO 9001","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! El resultado de aprendizaje de la Sesion 01 es identificar el marco normativo de la trazabilidad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","De acuerdo con el documento, cual es el resultado de aprendizaje de la Sesion 01 sobre trazabilidad de acuerdo con los conceptos presentados en el contenido de la unidad?","B","Ejecutar un recall completo","Identificar el marco normativo de la trazabilidad","Realizar un simulacro anual","Codificar lotes con GS1","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! Identificar primero el marco normativo permite construir una trazabilidad consistente y alineada con los requisitos legales y tecnicos aplicables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Segun el material, que aporta empezar por identificar el marco normativo al construir un sistema de trazabilidad de acuerdo con lo expuesto en el contenido tecnico del curso?","C","Reduce el costo del producto","Elimina la necesidad de registros","Permite construir una trazabilidad consistente y alineada con los requisitos legales y tecnicos","Sustituye la codificacion de lotes","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! Un buen entendimiento del marco legal y tecnico ayuda a decidir que controles aplicar, como demostrar cumplimiento y como integrar los requisitos en la operacion diaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Conforme al documento, que ayuda a decidir un buen entendimiento del marco legal y tecnico de la trazabilidad conforme a lo desarrollado en el material de estudio de la unidad?","D","Reducir el numero de lotes","Eliminar el recall","Aumentar la produccion","Que controles aplicar, como demostrar cumplimiento y como integrar requisitos en la operacion diaria","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! Los requisitos normativos delimitan que debe poder identificarse y rastrearse dentro del sistema de trazabilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Segun el material, que delimitan los requisitos normativos en un sistema de trazabilidad tal como se explica en el contenido teorico presentado en el curso?","A","Que debe poder identificarse y rastrearse en el sistema","El precio de venta del producto","El numero de operarios necesarios","El color del etiquetado","","","","","",""
"multiplechoice","TRAZ","TZ1 Marco Normativo de Trazabilidad","Yes","¡Correcto! Conocer de antemano que normas rigen el sistema orienta su diseno y asegura su alineacion con los requisitos aplicables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","De acuerdo con el documento, por que es importante conocer de antemano que normas mandan en un sistema de trazabilidad?","B","Para reducir el numero de sesiones","Para orientar el diseno del sistema y asegurar su alineacion con los requisitos","Para eliminar el recall","Para aumentar la produccion","","","","","",""
"multiplechoice","TRAZ","TZ2 Sistema de Lotes y Codificacion GS1","Yes","¡Correcto! La Sesion 02 integra el sistema de lotes con la estandarizacion de GS1 para la identificacion y el registro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Segun el material, que estandar de codificacion se integra con el sistema de lotes en la Sesion 02 de trazabilidad?","A","El estandar GS1","La norma ISO 45001","El reglamento UE 178/2002","La norma ISO 9001","","","","","",""
"multiplechoice","TRAZ","TZ2 Sistema de Lotes y Codificacion GS1","Yes","¡Correcto! Un sistema de lotes es el conjunto de reglas y mecanismos que determina como se define, se codifica y se vincula un lote con su contexto de produccion y registros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","De acuerdo con el documento, que es un sistema de lotes en el contexto de la trazabilidad segun la informacion tecnica desarrollada a lo largo del material?","B","Un metodo de venta del producto","El conjunto de reglas y mecanismos que define, codifica y vincula un lote con su contexto y registros","Un tipo de etiquetado nutricional","Un procedimiento de recall","","","","","",""
"multiplechoice","TRAZ","TZ2 Sistema de Lotes y Codificacion GS1","Yes","¡Correcto! El sistema de lotes es fundamental porque aporta una unidad de referencia estable que convierte eventos dispersos en una cadena de informacion que puede reconstruirse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Segun el material, por que el sistema de lotes es fundamental para la trazabilidad de acuerdo con los conceptos presentados en el contenido de la unidad?","C","Porque reduce el costo del producto","Porque elimina la necesidad de normas","Porque aporta una unidad de referencia estable que convierte eventos dispersos en una cadena de informacion","Porque aumenta la produccion","","","","","",""
"multiplechoice","TRAZ","TZ2 Sistema de Lotes y Codificacion GS1","Yes","¡Correcto! La Sesion 02 alinea el FSMA 204 con el estandar GS1 para convertir principios normativos en mecanismos operativos de identificacion y registro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TRAZ.","1","Conforme al documento, que reglamento se alinea con el estandar GS1 en la Sesion 02 para convertir principios en mecanismos operativos?","D","El reglamento UE 178/2002","La norma ISO 22005","La norma ISO 9001","El FSMA 204","","","","","",""
