"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promover la auditoria y el cumplimiento normativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","En el marco del curso Transporte de Fondos y Valores, Continuidad Operativa y, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el objetivo principal de la sumilla del curso sobre el SFPS en Ecuador?","A","Promover la auditoria y el cumplimiento normativo","Fomentar herramientas tecnologicas para la seguridad","Desarrollar planes de emergencia exclusivamente","Integrar conceptos de seguridad y salud ocupacional","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar la proteccion de la informacion sensible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun los contenidos desarrollados en el curso Transporte de Fondos y Valores, Continuidad Operativa y, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que aspecto del marco normativo se considera prioritario en el contexto ecuatoriano?","C","Establecer procedimientos de auditoria interna","Disminuir los costos operativos","Asegurar la proteccion de la informacion sensible","Incrementar inversiones en tecnologia de seguridad","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Monitorear el clima organizacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: Cual de las siguientes actividades no es parte del enfoque del curso respecto al cumplimiento del SFPS?","B","Evaluar la continuidad de las operaciones","Monitorear el clima organizacional","Implementar medidas correctivas en seguridad","Desarrollar auditorias de riesgos","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las leyes y regulaciones ecuatorianas en seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Tomando en cuenta lo estudiado en el curso Transporte de Fondos y Valores, Continuidad Operativa y sobre este tema especifico y las buenas practicas descritas en el material, responde: En el curso, el marco normativo general se refiere principalmente a:","D","Normativas de las organizaciones no gubernamentales","Normas de calidad ISO de seguridad","La legislacion internacional en seguridad","Las leyes y regulaciones ecuatorianas en seguridad","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: Que verbo medible seria mas apropiado para formular un resultado de aprendizaje relacionado con la evaluacion de riesgos?","B","Conocer","Evaluar","Entender","Estudiar","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Redactar un informe detallado sobre incidentes de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: En el marco del SFPS, cual de las siguientes actividades representa un resultado de aprendizaje adecuado para un oficial de seguridad?","D","Asistir a capacitaciones sin aplicacion practica.","Escuchar instrucciones de sus superiores.","Participar en reuniones de equipo.","Redactar un informe detallado sobre incidentes de seguridad.","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mantenimiento de operaciones sin interrupciones ante eventos adversos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","En el marco del curso Transporte de Fondos y Valores, Continuidad Operativa y, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Que significa el termino 'continuidad' en el contexto del cumplimiento del SFPS?","A","Mantenimiento de operaciones sin interrupciones ante eventos adversos.","Un proceso de auditoria que no considera el riesgo.","La creacion de nuevos procesos sin revisar los existentes.","La implementacion de software sin formacion previa.","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mayor acceso a informacion actualizada y relevante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: Cual es la principal ventaja del e-learning en el contexto de la formacion de oficiales de seguridad en Ecuador?","C","Interaccion fisica constante con profesores","Eliminacion total de tareas practicas en el curso","Mayor acceso a informacion actualizada y relevante","Menor necesidad de autodisciplina en el aprendizaje","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Foro de discusion con moderacion adecuada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: Que recurso interactivo es mas efectivo para evaluar la comprension de conceptos complejos en e-learning?","C","Presentacion con diapositivas estaticas","Video explicativo sin interaccion","Foro de discusion con moderacion adecuada","Lectura de articulos sin seguimiento","","","","","",""
"multiplechoice","TFVCC","C1 Transporte de Efectivo Art 10","Yes","¡Correcto! Segun el material del curso, lo correcto es: Acceso permanente a materiales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Tomando en cuenta lo estudiado en el curso Transporte de Fondos y Valores, Continuidad Operativa y sobre este tema especifico y las buenas practicas descritas en el material, responde: En la plataforma de e-learning, que caracteristica es esencial para garantizar un aprendizaje continuo?","A","Acceso permanente a materiales","Uso exclusivo de examenes evaluativos","Asistencia en tiempo real de instructores","Actualizaciones constantes en el contenido del curso","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar la continuidad del negocio frente a riesgos potenciales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: Cual es el objetivo principal del marco de Seguridad Fisica y Proteccion Estrategica (SFPS) en Ecuador?","A","Garantizar la continuidad del negocio frente a riesgos potenciales.","Proteger la informacion confidencial de las organizaciones.","Reducir costos operativos de la empresa.","Aumentar la productividad de los empleados.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar un analisis de riesgos integral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Considerando el enfoque metodologico del curso Transporte de Fondos y Valores, Continuidad Operativa y y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Que actividad es esencial para la gestion de riesgos segun el SFPS?","C","Capacitar al personal en tecnicas de ventas.","Invertir en tecnologia de ultima generacion.","Realizar un analisis de riesgos integral.","Desarrollar politicas de seguridad unicamente.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conducir evaluaciones de riesgos y reportar hallazgos de manera transparente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: Cual de las siguientes es una obligacion clave para los responsables de riesgos en el contexto del SFPS?","B","Informar unicamente a la alta gerencia.","Conducir evaluaciones de riesgos y reportar hallazgos de manera transparente.","Elaborar informes de auditoria anuales sin involucrar a otros departamentos.","Desarrollar protocolos de comunicacion interna sin evaluar riesgos externos.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar medidas de seguridad y prevencion de delitos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun los contenidos desarrollados en el curso Transporte de Fondos y Valores, Continuidad Operativa y, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es la principal funcion de la coordinacion con la Policia Nacional en la gestion de riesgos?","D","Promover eventos comunitarios.","Reglamentar el uso de areas recreativas.","Aumentar la recaudacion tributaria.","Implementar medidas de seguridad y prevencion de delitos.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Instalar sistemas de videovigilancia y control de acceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: Cual de las siguientes es una medida adecuada de exposicion al riesgo para un recinto privado?","B","No realizar auditorias de seguridad.","Instalar sistemas de videovigilancia y control de acceso.","Reducir el personal de seguridad en horas pico.","Permitir el acceso a todas las areas por cualquier persona.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Personal seleccionado y entrenado en protocolos de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Tomando en cuenta lo estudiado en el curso Transporte de Fondos y Valores, Continuidad Operativa y sobre este tema especifico y las buenas practicas descritas en el material, responde: Que perfil debe tener el personal autorizado para acceder a areas restringidas?","D","Cualquier empleado con mas de un anio de antiguedad.","Personal del departamento de recursos humanos.","Visitas ocasionales autorizadas por el gerente general.","Personal seleccionado y entrenado en protocolos de seguridad.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una comunicacion escrita que especifique la autorizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","De acuerdo con los fundamentos presentados en el curso Transporte de Fondos y Valores, Continuidad Operativa y, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que documento es fundamental para formalizar la autorizacion de acceso a areas restringidas?","A","Una comunicacion escrita que especifique la autorizacion.","Un registro de asistencia.","Un protocolo de seguridad del recinto.","Un informe anual de auditoria.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger las instalaciones de bienes y personas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Considerando el enfoque metodologico del curso Transporte de Fondos y Valores, Continuidad Operativa y y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cual es el principal proposito de la autorizacion de empresas de seguridad en Ecuador?","C","Aumentar los costos operativos.","Fomentar la competencia desleal.","Proteger las instalaciones de bienes y personas.","Disminuir la seguridad juridica.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su capacidad para resistir ataques armados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","En el marco del curso Transporte de Fondos y Valores, Continuidad Operativa y, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: En el contexto de vehiculos blindados, que caracteristica es crucial para su operacion efectiva?","C","El tamanio del vehiculo.","Su apariencia estetica.","Su capacidad para resistir ataques armados.","Su color y disenio.","","","","","",""
"multiplechoice","TFVCC","C2 Empresas Autorizadas y Blindaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Antecedentes laborales, formacion y capacitacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun los contenidos desarrollados en el curso Transporte de Fondos y Valores, Continuidad Operativa y, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que informacion debe contener la ficha del personal de seguridad?","A","Antecedentes laborales, formacion y capacitacion.","Nombre del supervisor unicamente.","Registro de reuniones sociales.","Un foto del personal en su dia libre.","","","","","",""
"multiplechoice","TFVCC","C3 Medios Propios y Capacitacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite un control total sobre la logistica y tiempos de entrega.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TFVCC.","1","Segun el material del curso Transporte de Fondos y Valores, Continuidad Operativa y, responde con precision: Cual es la principal ventaja del transporte por medios propios en comparacion con la recepcion directa?","A","Permite un control total sobre la logistica y tiempos de entrega.","Requiere menos gestion de recursos humanos.","Es mas economico en todos los casos.","El proceso es completamente automatizado.","","","","","",""
