"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EIH","S1 Registrabilidad y Tasas HSE","Yes","¡Correcto! Segun el material del curso, lo correcto es: La mejora en la capacitacion de seguridad del personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso identifica factores que pueden reducir la tasa de eventos en un entorno laboral. De acuerdo con el material, un factor que contribuye a reducir esa tasa es:","A","La mejora en la capacitacion de seguridad del personal","El aumento del precio de venta","La ampliacion de la campana publicitaria","El incremento de las metas de venta","","","","","",""
"multiplechoice","EIH","S2 Indicadores Leading y Lagging","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir la probabilidad de que ocurran las lesiones mas graves.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso relaciona la piramide de Bird con la prevencion de las lesiones graves. De acuerdo con el material, la piramide sugiere que actuar sobre los eventos menores de la base ayuda a:","C","Aumentar el precio de venta del producto","Ampliar la campana publicitaria","Reducir la probabilidad de que ocurran las lesiones mas graves","Incrementar las metas de venta","","","","","",""
"multiplechoice","EIH","S3 Control Estadistico SPC","Yes","¡Correcto! Segun el material del curso, lo correcto es: El proceso tiene un buen nivel de capacidad para cumplir con las especificaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso describe el indice de capacidad de proceso dentro del control estadistico. De acuerdo con el material, un valor del indice de capacidad de uno coma treinta y tres implica que:","B","El precio de venta es competitivo","El proceso tiene un buen nivel de capacidad para cumplir con las especificaciones","La publicidad fue exitosa","La meta de venta se supero","","","","","",""
"multiplechoice","EIH","S4 Pareto Ishikawa y Dashboards","Yes","¡Correcto! Segun el material del curso, lo correcto es: Organizar las causas de un incidente segun categorias relevantes para la seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso presenta la variante del diagrama de Ishikawa adaptada al ambito HSE. De acuerdo con el material, esa variante busca:","D","Fijar el precio de venta del producto","Disenar la campana publicitaria","Calcular las metas comerciales","Organizar las causas de un incidente segun categorias relevantes para la seguridad","","","","","",""
"multiplechoice","EIH","S5 Benchmarking GRI 403 y SCQA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Situacion, complicacion, solucion y accion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso describe la estructura del metodo SCQA aplicado a la comunicacion de resultados. De acuerdo con el material, esa estructura corresponde a:","A","Situacion, complicacion, solucion y accion","Precio, descuento, margen y utilidad","Anuncio, campana, difusion y meta","Compra, venta, cobro y factura","","","","","",""
"multiplechoice","EIH","S1 Registrabilidad y Tasas HSE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una medida cuantitativa de los eventos negativos ya ocurridos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso explica la importancia de calcular las tasas reactivas en un entorno laboral. De acuerdo con el material, esas tasas reactivas proporcionan:","C","El precio de venta de los productos","El alcance de la campana publicitaria","Una medida cuantitativa de los eventos negativos ya ocurridos","La meta comercial del periodo","","","","","",""
"multiplechoice","EIH","S2 Indicadores Leading y Lagging","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permiten detectar y corregir condiciones inseguras antes del incidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso describe el valor preventivo de los indicadores adelantados. De acuerdo con el material, ese valor preventivo radica en que estos indicadores:","B","Fijan el precio de venta del producto","Permiten detectar y corregir condiciones inseguras antes del incidente","Disenan la campana publicitaria","Calculan las metas comerciales del ano","","","","","",""
"multiplechoice","EIH","S3 Control Estadistico SPC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Llevar a interpretaciones erroneas de la capacidad y el control del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso advierte sobre la importancia de considerar la normalidad de los datos en el control estadistico. De acuerdo con el material, utilizar datos no normales sin ajuste puede:","D","Reducir el precio de venta del producto","Mejorar la campana publicitaria","Aumentar las metas de venta","Llevar a interpretaciones erroneas de la capacidad y el control del proceso","","","","","",""
"multiplechoice","EIH","S4 Pareto Ishikawa y Dashboards","Yes","¡Correcto! Segun el material del curso, lo correcto es: Construir tableros interactivos que faciliten el analisis de los datos de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso explica el uso de herramientas de visualizacion como Power BI en la gestion HSE. De acuerdo con el material, esas herramientas de visualizacion permiten:","A","Construir tableros interactivos que faciliten el analisis de los datos de seguridad","Fijar el precio de venta del producto","Ampliar la campana publicitaria","Aumentar las metas de venta","","","","","",""
"multiplechoice","EIH","S5 Benchmarking GRI 403 y SCQA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilita la comprension de la informacion presentada a la direccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso resalta el papel del contexto en la comunicacion directiva de los indicadores. De acuerdo con el material, proporcionar contexto es importante porque:","C","Fija el precio de venta del producto","Disena la campana publicitaria","Facilita la comprension de la informacion presentada a la direccion","Calcula las metas comerciales","","","","","",""
"multiplechoice","EIH","S1 Registrabilidad y Tasas HSE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Generar indicadores confiables y comparables de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso relaciona la clasificacion correcta de los casos con la confiabilidad de los indicadores. De acuerdo con el material, clasificar bien la registrabilidad permite:","B","Fijar el precio de venta del producto","Generar indicadores confiables y comparables de seguridad","Disenar la campana publicitaria","Calcular las metas comerciales del ano","","","","","",""
"multiplechoice","EIH","S2 Indicadores Leading y Lagging","Yes","¡Correcto! Segun el material del curso, lo correcto es: El numero de lesiones o incidentes ya ocurridos en el periodo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EIH.","1","El material del curso indica que los indicadores rezagados miden los resultados de la gestion de seguridad. De acuerdo con el material, un ejemplo de indicador rezagado es:","D","El numero de inspecciones planificadas","El numero de capacitaciones previstas","El numero de auditorias programadas","El numero de lesiones o incidentes ya ocurridos en el periodo","","","","","",""
