"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","VMOM","S1 Normativa RM 312 y Vigilancia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Orientar las evaluaciones y pruebas medicas hacia los efectos propios de cada agente para detectar oportunamente sus consecuencias en la salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Conforme al material del curso, cual es el proposito de aplicar protocolos especificos segun el agente de riesgo en la vigilancia ocupacional?","A","Orientar las evaluaciones y pruebas medicas hacia los efectos propios de cada agente para detectar oportunamente sus consecuencias en la salud","Determinar el precio del servicio medico cobrado a la empresa contratante","Establecer el horario de atencion de las oficinas administrativas de la empresa","Reducir el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","VMOM","S2 Examen Medico Ocupacional EMO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los antecedentes personales y laborales de salud del trabajador incluyendo exposiciones previas relevantes para el puesto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Conforme al material del curso, que informacion sobre el trabajador se obtiene principalmente durante la anamnesis del examen medico ocupacional?","C","El precio del servicio medico que la empresa esta dispuesta a pagar por el examen","El horario de atencion de las oficinas administrativas de la empresa contratante","Los antecedentes personales y laborales de salud del trabajador incluyendo exposiciones previas relevantes para el puesto","El consumo de energia de los equipos utilizados durante la jornada laboral","","","","","",""
"multiplechoice","VMOM","S3 Pruebas Complementarias y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar las evaluaciones y pruebas orientadas al agente de riesgo y aplicar las medidas de control correspondientes para proteger al trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Conforme al material del curso, que accion es esencial en la aplicacion de los protocolos de higiene y salud ocupacional segun el riesgo?","B","Determinar el precio del servicio medico cobrado a la empresa contratante","Realizar las evaluaciones y pruebas orientadas al agente de riesgo y aplicar las medidas de control correspondientes para proteger al trabajador","Establecer el horario de atencion de las oficinas administrativas de la empresa","Reducir el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","VMOM","S4 Confidencialidad Medica","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque limita la divulgacion de datos clinicos reservados protegiendo la privacidad del trabajador y cumpliendo la confidencialidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Conforme al material del curso, por que el acceso a los registros medicos ocupacionales debe estar restringido a personal autorizado?","D","Porque restringir el acceso determina el precio del servicio medico de la empresa","Porque restringir el acceso establece el horario de atencion de las oficinas","Porque restringir el acceso reduce el consumo de energia de los equipos","Porque limita la divulgacion de datos clinicos reservados protegiendo la privacidad del trabajador y cumpliendo la confidencialidad","","","","","",""
"multiplechoice","VMOM","S5 ESSALUD SCTR y Hallazgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantiza el acceso a tratamiento y recuperacion ante enfermedades ocupacionales y otras afecciones de salud del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Conforme al material del curso, cual es la importancia de la atencion medica que brinda la seguridad social a los trabajadores asegurados?","A","Garantiza el acceso a tratamiento y recuperacion ante enfermedades ocupacionales y otras afecciones de salud del trabajador","Determina el precio del servicio medico cobrado a la empresa contratante","Establece el horario de atencion de las oficinas administrativas de la empresa","Reduce el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","VMOM","S1 Normativa RM 312 y Vigilancia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Incluye evaluaciones medicas segun los riesgos protocolos especificos seguimiento y gestion de los hallazgos de salud del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Tal como indica el material del curso, que caracteriza a un programa de vigilancia medica ocupacional alineado con la normativa del sector salud?","C","Incluye unicamente la definicion del precio del servicio medico de la empresa","Se limita a fijar el horario de atencion de las oficinas administrativas","Incluye evaluaciones medicas segun los riesgos protocolos especificos seguimiento y gestion de los hallazgos de salud del trabajador","Consiste solo en reducir el consumo de energia de los equipos de la planta","","","","","",""
"multiplechoice","VMOM","S2 Examen Medico Ocupacional EMO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque documenta el estado de salud al finalizar la relacion laboral permitiendo identificar posibles efectos de la exposicion a los riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Tal como indica el material del curso, por que el examen medico ocupacional de retiro es relevante para el trabajador y la empresa?","B","Porque determina el precio del servicio medico cobrado a la empresa contratante","Porque documenta el estado de salud al finalizar la relacion laboral permitiendo identificar posibles efectos de la exposicion a los riesgos","Porque establece el horario de atencion de las oficinas administrativas","Porque reduce el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","VMOM","S3 Pruebas Complementarias y Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque la altura afecta el sistema cardiovascular y respiratorio por lo que se debe valorar la aptitud del trabajador para laborar en esas condiciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Tal como indica el material del curso, por que el factor de altura geografica es relevante en la evaluacion medica de ciertos trabajadores?","D","Porque la altura geografica determina el precio del servicio medico de la empresa","Porque la altura geografica establece el horario de atencion de las oficinas","Porque la altura geografica reduce el consumo de energia de los equipos","Porque la altura afecta el sistema cardiovascular y respiratorio por lo que se debe valorar la aptitud del trabajador para laborar en esas condiciones","","","","","",""
"multiplechoice","VMOM","S4 Confidencialidad Medica","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permitir la gestion laboral del trabajador sin exponer sus diagnosticos protegiendo su privacidad conforme a la confidencialidad medica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Tal como indica el material del curso, cual es el proposito de comunicar unicamente la aptitud laboral y no el detalle clinico al empleador?","A","Permitir la gestion laboral del trabajador sin exponer sus diagnosticos protegiendo su privacidad conforme a la confidencialidad medica","Determinar el precio del servicio medico cobrado a la empresa contratante","Establecer el horario de atencion de las oficinas administrativas de la empresa","Reducir el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","VMOM","S5 ESSALUD SCTR y Hallazgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque atender el hallazgo sin controlar el riesgo que lo origino permitiria que la exposicion continue afectando la salud del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VMOM.","1","Tal como indica el material del curso, por que la gestion de hallazgos debe integrarse con las medidas de control de los riesgos del puesto?","C","Porque integrar la gestion determina el precio del servicio medico de la empresa","Porque integrar la gestion establece el horario de atencion de las oficinas","Porque atender el hallazgo sin controlar el riesgo que lo origino permitiria que la exposicion continue afectando la salud del trabajador","Porque integrar la gestion reduce el consumo de energia de los equipos","","","","","",""
