"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: As NRs sao criadas com base nos principios e diretrizes estabelecidos nas leis superiores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","En el marco del curso Especialista em Aplicaao e Avaliaao das Normas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Como a hierarquia legal influencia a elaboraao e a aplicaao das Normas Regulamentadoras (NR)?","A","As NRs sao criadas com base nos principios e diretrizes estabelecidos nas leis superiores.","As NRs so sao aplicaveis quando nao existem leis em vigor sobre a mesma materia.","A hierarquia legal determina as NRs que sao obrigatorias em todos os setores.","A hierarquia legal nao tem importancia na aplicaao das NRs.","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: A resposta correta deve abordar como a CTPP, composta por representantes do governo, empregadores e trabalhadores, desempenha um papel consultivo e decisorio na elaboraao das Normas Regulamentadoras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","Segun los contenidos desarrollados en el curso Especialista em Aplicaao e Avaliaao das Normas, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Qual e o papel da Comissao Tripartite Paritaria Permanente (CTPP) na formaao das NRs?","C","A resposta deve apresentar a relaao entre a vigilancia medica e os riscos identificados no PGR, enfatizando que a vigilancia deve ser adaptativa e centrada nos riscos efetivamente presentes no ambiente de trabalho.","Uma resposta correta deve abordar o papel das ordens de servio como instrumento para comunicar orientaoes, procedimentos e normas de segurana aos trabalhadores, garantindo que t","A resposta correta deve abordar como a CTPP, composta por representantes do governo, empregadores e trabalhadores, desempenha um papel consultivo e decisorio na elaboraao das Normas Regulamentadoras.","A zona livre de queda e essencial para evitar acidentes durante o trabalho em altura.","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: As NRs estabelecem diretrizes minimas obrigatorias de segurana e saude no trabalho.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","Con base en el material del curso Especialista em Aplicaao e Avaliaao das Normas y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Qual e uma das principais caracteristicas das Normas Regulamentadoras?","B","As NRs podem ser alteradas apenas pelo Congresso Nacional.","As NRs estabelecem diretrizes minimas obrigatorias de segurana e saude no trabalho.","As NRs tem carater meramente sugestivo e nao vinculativo.","As NRs sao facultativas para as empresas que possuem menos de 50 funcionarios.","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Uma resposta adequada deve incluir a obrigatoriedade das NRs como instrumentos de normatizaao que as empresas devem seguir para garantir a segurana e saude dos trabalhadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","Tomando en cuenta lo estudiado en el curso Especialista em Aplicaao e Avaliaao das Normas sobre este tema especifico y las buenas practicas descritas en el material, responde: Discuta a obrigatoriedade regulatoria das NRs no contexto industrial brasileiro.","D","O Profissional Habilitado e responsavel por garantir a segurana e eficiencia na operaao de caldeiras e vasos de pressao, estando habilitado a elaborar laudos tecnicos, realizar manutenao e intervenoes necessarias.","Uma resposta correta deve incluir a descriao de que a brigada de incendio e composta por membros treinados, geralmente colaboradores da empresa, que tem a responsabilidade de atua","A resposta deve apresentar a relaao entre a vigilancia medica e os riscos identificados no PGR, enfatizando que a vigilancia deve ser adaptativa e centrada nos riscos efetivamente presentes no ambiente de trabalho.","Uma resposta adequada deve incluir a obrigatoriedade das NRs como instrumentos de normatizaao que as empresas devem seguir para garantir a segurana e saude dos trabalhadores.","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Representantes de trabalhadores, empregadores e governo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","De acuerdo con los fundamentos presentados en el curso Especialista em Aplicaao e Avaliaao das Normas, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Quais atores sociais sao fundamentais na composiao da CTPP?","B","Apenas representantes de trabalhadores e empregadores.","Representantes de trabalhadores, empregadores e governo.","Somente representantes do governo.","Membros academicos e especialistas em saude publica.","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Estabelecer diretrizes para a atuaao de profissionais de saude e segurana do trabalho.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","Considerando el enfoque metodologico del curso Especialista em Aplicaao e Avaliaao das Normas y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Qual a principal funao das Normas Regulamentadoras (NR) no Brasil?","D","Normatizar o uso de equipamentos de proteao individual apenas.","Regular o ensino superior nas instituioes de ensino brasileiro.","Definir penalidades para empresas que descumprem as leis trabalhistas.","Estabelecer diretrizes para a atuaao de profissionais de saude e segurana do trabalho.","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: A aplicabilidade das NRs varia conforme a atividade economica e o CNAE da empresa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","En el marco del curso Especialista em Aplicaao e Avaliaao das Normas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Qual dos seguintes conceitos esta diretamente relacionado a Logica de Aplicabilidade das NRs?","A","A aplicabilidade das NRs varia conforme a atividade economica e o CNAE da empresa.","Todas as NRs se aplicam universalmente a qualquer atividade economica.","Cada NR e aplicada sem considerar condioes e contextos especificos.","Normas sao aplicaveis apenas em industrias de alto risco.","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Uma resposta correta deve abordar que normas vigentes sao aquelas que estao ativamente em vigor e devem ser cumpridas, enquanto normas revogadas sao aquelas que foram substituidas ou canceladas e nao tem mais validade.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","Segun los contenidos desarrollados en el curso Especialista em Aplicaao e Avaliaao das Normas, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Explique a diferena entre normas vigentes e normas revogadas no contexto das NRs.","C","A proteao coletiva refere-se a medidas de segurana que protegem todos os trabalhadores numa determinada area, como redes de proteao ou plataformas, enquanto a proteao individua","Uma resposta correta deve abordar que LOTO (Lockout-Tagout) e um procedimento critico que visa prevenir o acionamento acidental de maquinas durante a manutenao.","Uma resposta correta deve abordar que normas vigentes sao aquelas que estao ativamente em vigor e devem ser cumpridas, enquanto normas revogadas sao aquelas que foram substituidas ou canceladas e nao tem mais validade.","Uma resposta justo deve incluir que a NR-4 determina que o dimensionamento do SESMT varia conforme o grau de risco da atividade da empresa, prevendo a quantidade minima de profissi","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: O CNAE determina quais Normas Regulamentadoras sao aplicaveis a uma determinada empresa ou setor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","Segun el material del curso Especialista em Aplicaao e Avaliaao das Normas, responde con precision: Como o CNAE (Classificaao Nacional de Atividades Economicas) se relaciona com a aplicaao das Normas Regulamentadoras?","C","As NRs nao tem nenhuma relaao com a atividade economica registrada no CNAE.","O CNAE serve apenas como um codigo para registro fiscal das empresas, sem relaao com as NRs.","O CNAE determina quais Normas Regulamentadoras sao aplicaveis a uma determinada empresa ou setor.","O CNAE e uma norma regulamentadora que rege as condioes de trabalho.","","","","","",""
"multiplechoice","EANR","C1 Base Legal NR y CLT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Uma resposta precisa abordar as consequencias diretas e indiretas do nao cumprimento das NRs, incluindo riscos a saude e segurana dos trabalhadores, aumento de acidentes de trabal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EANR.","1","Tomando en cuenta lo estudiado en el curso Especialista em Aplicaao e Avaliaao das Normas sobre este tema especifico y las buenas practicas descritas en el material, responde: Quais sao os impactos de nao seguir as NRs em uma industria de medio risco?","A","Uma resposta precisa abordar as consequencias diretas e indiretas do nao cumprimento das NRs, incluindo riscos a saude e segurana dos trabalhadores, aumento de acidentes de trabal","Uma resposta correta deve abordar que 'risco grave e iminente' refere-se a situaoes onde ha uma ameaa imediata a segurana e a saude dos trabalhadores, exigindo aoes urgentes para eliminar ou mitigar essa situaao.","O aluno deve abordar as proteoes fisicas, como resguardos e dispositivos que previnem acessos acidentais a partes moveis, alem de sistemas de segurana que garantem paradas automaticas.","A contenao em planos de aao refere-se as medidas tomadas para controlar e limitar a extensao de um risco ou incidente assim que identificado, visando minimizar danos potenciais.","","","","","",""
