"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","HIAFQ","S1 Fundamentos SEG TLV y BEI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un grupo de trabajadores con un perfil de exposicion similar al mismo agente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El curso define el Grupo de Exposicion Similar dentro de la estrategia de la AIHA. Que caracteriza a un SEG segun el material sobre los fundamentos de la evaluacion de la exposicion ocupacional a agentes en higiene industrial?","A","Un grupo de trabajadores con un perfil de exposicion similar al mismo agente","Un grupo de trabajadores clasificados por su antiguedad en la empresa","Un conjunto de equipos de medicion calibrados de forma identica","Un listado de agentes quimicos ordenados por su toxicidad","","","","","",""
"multiplechoice","HIAFQ","S2 Agentes Fisicos Ruido y Vibracion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El nivel de presion sonora expresado en decibelios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El curso identifica el criterio principal para clasificar los niveles de ruido en un entorno laboral. Cual es ese criterio utilizado en la evaluacion del ruido ocupacional segun el material de higiene industrial y agentes fisicos y quimicos?","C","El color del equipo de medicion empleado","La antiguedad de la maquinaria que genera el ruido","El nivel de presion sonora expresado en decibelios","El numero de trabajadores presentes en la zona","","","","","",""
"multiplechoice","HIAFQ","S3 Estres Termico Iluminacion Radiacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el riesgo de enfermedades por calor y establecer regimenes de trabajo y descanso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El curso presenta el indice WBGT como herramienta para evaluar el estres termico en el trabajo. Cual es el objetivo principal del indice WBGT segun el material de higiene industrial y agentes fisicos y quimicos aplicado al calor?","B","Medir el nivel de ruido en decibelios de la instalacion","Evaluar el riesgo de enfermedades por calor y establecer regimenes de trabajo y descanso","Determinar la concentracion de polvo respirable en el aire","Calcular el costo economico de la ventilacion industrial","","","","","",""
"multiplechoice","HIAFQ","S4 Agentes Quimicos Polvos y Humos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar la concentracion de polvos respirables presentes en el aire.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El curso explica el proposito de evaluar las fracciones particuladas del polvo en el aire de trabajo. Cual es el proposito principal de esta evaluacion segun el material de higiene industrial y agentes fisicos y quimicos ocupacionales?","D","Medir el nivel de ruido de la maquinaria en decibelios","Calcular la temperatura del ambiente de trabajo","Fijar el precio de venta del producto fabricado","Determinar la concentracion de polvos respirables presentes en el aire","","","","","",""
"multiplechoice","HIAFQ","S5 Muestreo Vapores y Bioaerosoles","Yes","¡Correcto! Segun el material del curso, lo correcto es: La aleatoriedad y representatividad en la seleccion de la muestra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El curso identifica un principio fundamental para que una muestra de higiene industrial sea valida. Cual es ese principio segun el material sobre metodos de muestreo aplicado a agentes fisicos y quimicos en el ambiente laboral?","A","La aleatoriedad y representatividad en la seleccion de la muestra","El menor costo posible del procedimiento de muestreo","La eleccion del color del filtro empleado","La rapidez sin considerar la representatividad","","","","","",""
"multiplechoice","HIAFQ","S1 Fundamentos SEG TLV y BEI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar un marco de referencia para la exposicion permitida a agentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El material explica el proposito del Valor Limite Umbral, conocido como TLV, en la evaluacion de la exposicion ocupacional. Cual es el proposito principal del uso de los TLV segun el curso de higiene industrial y agentes fisicos y quimicos?","C","Fijar el sueldo del higienista industrial de la empresa","Determinar el color de la senalizacion de las zonas de riesgo","Proporcionar un marco de referencia para la exposicion permitida a agentes","Establecer el horario laboral maximo del personal expuesto","","","","","",""
"multiplechoice","HIAFQ","S2 Agentes Fisicos Ruido y Vibracion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ochenta y cinco decibelios para ocho horas de exposicion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El material indica el limite permisible de exposicion al ruido para una jornada completa segun las normativas de referencia. Cual es ese limite para ocho horas de exposicion segun el curso de higiene industrial y agentes fisicos y quimicos?","B","Cincuenta decibelios para ocho horas de exposicion","Ochenta y cinco decibelios para ocho horas de exposicion","Ciento veinte decibelios para ocho horas de exposicion","Treinta decibelios para ocho horas de exposicion","","","","","",""
"multiplechoice","HIAFQ","S3 Estres Termico Iluminacion Radiacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La categoria de trabajo intenso o de alta demanda metabolica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El material relaciona el WBGT con las categorias metabolicas del trabajo realizado. Que categoria metabolica se asigna a los trabajos que exigen un gran esfuerzo fisico segun el curso de higiene industrial y agentes fisicos y quimicos?","D","La categoria de trabajo ligero o sedentario","La categoria de reposo absoluto sin actividad","Una categoria basada solo en la antiguedad del trabajador","La categoria de trabajo intenso o de alta demanda metabolica","","","","","",""
"multiplechoice","HIAFQ","S4 Agentes Quimicos Polvos y Humos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque su inhalacion prolongada puede provocar enfermedad pulmonar en los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El material identifica la silice respirable como un contaminante particulado de especial preocupacion. Por que la silice respirable es motivo de vigilancia segun el curso de higiene industrial y agentes fisicos y quimicos en el trabajo?","A","Porque su inhalacion prolongada puede provocar enfermedad pulmonar en los trabajadores","Porque mejora la calidad del aire interior de la planta","Porque reduce el nivel de ruido de la instalacion","Porque incrementa la iluminacion del puesto de trabajo","","","","","",""
"multiplechoice","HIAFQ","S5 Muestreo Vapores y Bioaerosoles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capturar los compuestos organicos volatiles de interes presentes en el aire.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HIAFQ.","1","El material describe el uso del tubo de carbon como medio de captura en el muestreo de ciertos agentes. Cual es la finalidad del tubo de carbon segun el curso de higiene industrial y agentes fisicos y quimicos aplicado al muestreo?","C","Medir el nivel de ruido del ambiente en decibelios","Determinar la temperatura del puesto de trabajo","Capturar los compuestos organicos volatiles de interes presentes en el aire","Registrar la iluminacion del area evaluada","","","","","",""
