"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! Las capas se agrupan funcionalmente en prevencion, que actua antes de la perdida de contencion, y mitigacion, que actua despues de ella.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","Segun el material, las capas de proteccion en el modelo LOPA se disponen de adentro hacia afuera y se agrupan funcionalmente en dos categorias que son:","C","Electricas y mecanicas","Internas y externas por costo","Prevencion (actuan antes de la perdida de contencion) y mitigacion (actuan despues)","Manuales y automaticas por horario","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! El modelo de capas independientes proviene del concepto de defensa en profundidad del CCPS y esta reconocido en el Anexo F de IEC 61511-3.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","De acuerdo con el material, el concepto de defensa en profundidad que sustenta las capas de proteccion de LOPA se atribuye originalmente a:","D","Un fabricante de valvulas","La norma ISO 14001","Una guia de recursos humanos","El CCPS (Center for Chemical Process Safety)","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! Las capas de prevencion actuan antes de la perdida de contencion, mientras que las de mitigacion actuan despues de que esta ocurre.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","Segun el material, las capas de prevencion en el modelo de defensa en profundidad se caracterizan porque:","A","Actuan antes de que ocurra la perdida de contencion","Solo actuan una vez liberado el material peligroso","No tienen relacion con el evento iniciador","Se activan unicamente durante el mantenimiento","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! Las capas se ordenan de adentro hacia afuera, desde el control inherente del proceso hasta la respuesta de emergencia de la comunidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","Conforme al material, el orden en que se disponen las capas de proteccion, desde el control inherente del proceso hasta la respuesta de emergencia de la comunidad, es:","B","De afuera hacia adentro, de mayor a menor alcance","De adentro hacia afuera","En circulo sin punto de inicio definido","Solo en sentido vertical descendente","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! Identificar lo que LOPA recibe del HAZOP y entrega a la SRS ayuda a evitar el sobredimensionamiento o las deficiencias en el Sistema Instrumentado de Seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","Segun el material, una razon por la que aplicar LOPA correctamente ayuda al diseno del SIS es que evita:","C","La necesidad de operadores capacitados","El uso de tablas de datos reconocidas","El sobredimensionamiento o las deficiencias en el SIS","La documentacion trazable del estudio","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! La metodologia semicuantitativa usa ordenes de magnitud para frecuencias y PFD, un enfoque reconocido por IEC 61511-3:2016.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","De acuerdo con el material, la metodologia de LOPA se describe como semicuantitativa porque utiliza:","D","Solo descripciones cualitativas de los peligros","Valores estadisticos exactos como un QRA","Opiniones sin respaldo numerico","Ordenes de magnitud para frecuencias y PFD, reconocidos por IEC 61511-3:2016","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! En el ejemplo, el HAZOP identifica la sobrepresion en el reactor R-201 como escenario critico, a partir del cual se calculan la f mitigada y el Risk Gap.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","Segun el material, un escenario tipico de definicion en el ejemplo del ciclo de vida es que el HAZOP identifica como escenario critico:","A","Una sobrepresion en el reactor R-201","Un corte de energia en oficinas","Una falla del sistema de nomina","Un retraso en la entrega de insumos","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! Un consejo practico es acordar por escrito el metodo de asignacion del SIL y documentar la fuente de PFD de cada capa de proteccion independiente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","Conforme al material, un consejo practico al asignar el SIL es acordar por escrito el metodo de asignacion y ademas:","B","Omitir la fuente de datos para agilizar","Documentar la fuente de PFD de cada IPL","Evitar registrar cualquier evidencia","Delegar la decision al proveedor comercial","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! Un punto clave es que LOPA conecta HAZOP y diseno de forma cuantitativa y es suficiente para asignar el SIL si se aplica correctamente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","Segun el material, uno de los puntos clave sobre LOPA es que este metodo es suficiente para asignar el SIL siempre que:","C","Se prescinda del estudio HAZOP","Se ignoren las condiciones operativas","Se aplique correctamente","Se utilicen valores arbitrarios de PFD","","","","","",""
"multiplechoice","LASCP","S1 Fundamentos LOPA","Yes","¡Correcto! Las entradas clave incluyen los datos de proceso, las frecuencias iniciadoras y las PFD de las IPL y de los componentes, junto con el criterio de riesgo tolerable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LASCP.","1","De acuerdo con el material, entre las entradas de proceso que LOPA utiliza en su calculo se mencionan de forma explicita:","D","El numero de empleados por turno","El costo de la materia prima","La ubicacion geografica de la planta","Los datos de proceso, las frecuencias iniciadoras y las PFD de las IPL y componentes","","","","","",""
