"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Minimizar el impacto ambiental y mejorar el desempenio ambiental.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","En el marco del curso Etiquetado SGA y Programa de Comunicacion de Peligros, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal proposito del sistema SGA (Sistema de Gestion Ambiental)?","A","Minimizar el impacto ambiental y mejorar el desempenio ambiental.","Cumplir solamente con las normativas locales.","Asegurar la eficiencia economica de la empresa.","Aumentar la produccion sin importar las consecuencias.","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las etiquetas y hojas de datos de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Segun los contenidos desarrollados en el curso Etiquetado SGA y Programa de Comunicacion de Peligros, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que elemento es clave para la comunicacion del peligro en el contexto de HazCom?","C","Las entrevistas laborales.","Los informes de auditoria interna.","Las etiquetas y hojas de datos de seguridad.","La documentacion fiscal de la empresa.","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Contiene informacion esencial sobre la identificacion de la sustancia, sus peligros y medidas de control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Segun el material del curso Etiquetado SGA y Programa de Comunicacion de Peligros, responde con precision: Cual de las siguientes afirmaciones describe mejor una hoja de datos de seguridad de materiales (MSDS)?","B","Es un documento obsoleto que ya no se utiliza en las empresas.","Contiene informacion esencial sobre la identificacion de la sustancia, sus peligros y medidas de control.","Solo incluye instrucciones para la preparacion de productos quimicos.","Es un documento unicamente para el uso de los gerentes.","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Segun el material del curso Etiquetado SGA y Programa de Comunicacion de Peligros, responde con precision: Cual de los siguientes verbos medibles mejor describe la accion de implementar medidas adecuadas de seguridad quimica en un entorno de trabajo?","D","Analizar","Documentar","Evaluar","Implementar","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Inspeccionar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Segun el material del curso Etiquetado SGA y Programa de Comunicacion de Peligros, responde con precision: En el contexto de la gestion de residuos peligrosos, que verbo medible indica la accion de examinar las practicas actuales para identificar riesgos?","B","Capacitar","Inspeccionar","Notificar","Desarrollar","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Prevenir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Segun el material del curso Etiquetado SGA y Programa de Comunicacion de Peligros, responde con precision: Cuando se habla de HSE (Salud, Seguridad y Medio Ambiente), que accion esta implicita en la promocion del bienestar del personal?","D","Bajar","Absorber","Exponer","Prevenir","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite a los aprendices avanzar a su propio ritmo, adaptandose a sus necesidades individuales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Segun el material del curso Etiquetado SGA y Programa de Comunicacion de Peligros, responde con precision: Cual es una de las principales ventajas de utilizar una modalidad autoadministrada en el aprendizaje de seguridad quimica?","A","Permite a los aprendices avanzar a su propio ritmo, adaptandose a sus necesidades individuales.","Requiere la presencia constante de un instructor para guiar.","No requiere evaluaciones durante el proceso de aprendizaje.","El contenido se presenta unicamente a traves de videos.","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Incorporan elementos que promueven la participacion activa y la aplicacion practica de conceptos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Segun los contenidos desarrollados en el curso Etiquetado SGA y Programa de Comunicacion de Peligros, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Como contribuyen los recursos interactivos a la comprension de contenidos en un curso de HSE?","C","Son herramientas que se utilizan exclusivamente para la evaluacion final.","Facilitan el aprendizaje pasivo y la memorizacion de datos sin contexto.","Incorporan elementos que promueven la participacion activa y la aplicacion practica de conceptos.","Limitan la libertad del aprendiz al seguir un curriculo rigido.","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionan retroalimentacion continua y ayuda a los aprendices a medir su progreso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Con base en el material del curso Etiquetado SGA y Programa de Comunicacion de Peligros y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que papel juegan las evaluaciones en la modalidad autoadministrada?","C","Solo son necesarias al final del curso para obtener un certificado.","Son consideradas menos relevantes que en los cursos presenciales.","Proporcionan retroalimentacion continua y ayuda a los aprendices a medir su progreso.","Sirven unicamente como una forma de garantizar la asistencia de los estudiantes.","","","","","",""
"multiplechoice","ESPCH","C1 Funcion de la Etiqueta SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La correcta clasificacion y etiquetado de sustancias quimicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ESPCH.","1","Segun el material del curso Etiquetado SGA y Programa de Comunicacion de Peligros, responde con precision: Cual de los siguientes aspectos es fundamental para la gestion efectiva de la seguridad quimica en un almacen?","A","La correcta clasificacion y etiquetado de sustancias quimicas","Utilizacion exclusiva de productos quimicos de bajo costo","Eliminar cualquier registro de incidentes","Minimizar la capacitacion del personal","","","","","",""
