"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las respuestas deben enfatizar que la capacitacion y educacion son pilares fundamentales para crear conciencia sobre los riesgos laborales y como prevenir accidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de la Ley General, responde con precision: Explica como la capacitacion y la educacion son herramientas clave en la promocion de la seguridad ocupacional.","A","Las respuestas deben enfatizar que la capacitacion y educacion son pilares fundamentales para crear conciencia sobre los riesgos laborales y como prevenir accidentes.","Una respuesta aceptable debe considerar que el establecimiento de un Comite de SSO es crucial para promover un ambiente laboral seguro y saludable, involucrando a todos los niveles de la organizacion.","Una respuesta acertada debe abordar como los resultados de aprendizaje guian el desarrollo de politicas que priorizan la salud y seguridad en el trabajo.","Los controles criticos en la gestion de riesgos de incendio incluyen la identificacion de fuentes de ignicion, la implementacion de practicas de mantenimiento para maquinaria, y el","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la evaluacion del desempenio del alumno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de la Ley General, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es la principal funcion de los verbos medibles en los resultados de aprendizaje?","C","Reducir la carga de trabajo del profesor.","Generar un ambiente de aprendizaje colaborativo.","Facilitar la evaluacion del desempenio del alumno.","Promover la creatividad en el proceso de ensenianza.","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinan las competencias necesarias para asegurar un ambiente laboral seguro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de la Ley General, responde con precision: Como se relacionan los resultados de aprendizaje con el desempenio profesional esperado en el ambito de la seguridad y salud ocupacional?","B","Establecen que la formacion teorica es suficiente para el ejercicio profesional.","Determinan las competencias necesarias para asegurar un ambiente laboral seguro.","Son irrelevantes para la practica diaria del profesional.","Fijan un limite de aplicacion en la practica profesional.","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una respuesta acertada debe abordar como los resultados de aprendizaje guian el desarrollo de politicas que priorizan la salud y seguridad en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de la Ley General sobre este tema especifico y las buenas practicas descritas en el material, responde: Que rol juegan los resultados de aprendizaje en la formulacion de politicas de seguridad laboral?","D","Cubrir la necesidad de identificar, analizar y priorizar los riesgos en el entorno laboral para implementar medidas preventivas adecuadas.","El uso adecuado del EPP puede reducir significativamente el riesgo de accidentes laborales al proporcionar una barrera fisica entre el trabajador y los peligros presentes en el ambiente laboral.","La definicion de restricciones como limites que se imponen para garantizar la seguridad durante la manipulacion de cargas.","Una respuesta acertada debe abordar como los resultados de aprendizaje guian el desarrollo de politicas que priorizan la salud y seguridad en el trabajo.","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las habilidades practicas que se requieren en el campo laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","De acuerdo con los fundamentos presentados en el curso Especialista en Aplicacion y Evaluacion de la Ley General, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Los resultados de aprendizaje tienen un impacto directo en:","B","La estructura administrativa de la empresa.","Las habilidades practicas que se requieren en el campo laboral.","Los costos operativos de la organizacion.","La cultura organizacional de la empresa.","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Uso de tecnologia adecuada y recursos didacticos interactivos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de la Ley General, responde con precision: Cual de los siguientes aspectos es fundamental para el exito del aprendizaje en modalidad e-learning?","D","Asistencia fisica frecuente a clases presenciales","Limitar el acceso a las plataformas de aprendizaje","Eliminacion de criterios de evaluacion","Uso de tecnologia adecuada y recursos didacticos interactivos","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Videos educativos combinados con foros de discusion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de la Ley General, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Que recurso didactico es mas efectivo en un entorno de aprendizaje e-learning?","A","Videos educativos combinados con foros de discusion","Documentos de solo texto sin imagen","Lecturas extensas sin interactividad","Evaluaciones sin retroalimentacion","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cumplir con plazos de actividades y demostrar comprension de los temas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de la Ley General, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que criterio general de avance se debe seguir en un curso e-learning?","C","Subsidiar el aprendizaje con recursos externos unicamente","La cantidad de horas invertidas en la plataforma","Cumplir con plazos de actividades y demostrar comprension de los temas","Asistir solo a las actividades sin participar","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer un marco normativo para garantizar la seguridad y salud en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de la Ley General, responde con precision: Cual es el principal objetivo de la Ley General de Prevencion de Riesgos Laborales y Transito (LGPRLT) de 2010 en El Salvador?","C","Regular unicamente los accidentes de transito en el lugar de trabajo.","Promover la realizacion de auditorias laborales cada seis meses.","Establecer un marco normativo para garantizar la seguridad y salud en el trabajo.","Crear condiciones para la reduccion de horas laborales.","","","","","",""
"multiplechoice","EAESV","C1 Marco Legal LGPRLT y Reglamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La LGPRLT se inspira en los principios de prevencion y proteccion del Convenio 155 de la OIT.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAESV.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de la Ley General sobre este tema especifico y las buenas practicas descritas en el material, responde: Como se relaciona la LGPRLT con el Convenio 155 de la OIT?","A","La LGPRLT se inspira en los principios de prevencion y proteccion del Convenio 155 de la OIT.","Ambos documentos promueven la independencia de cada trabajador en su puesto laboral.","La LGPRLT excluye a los trabajadores del sector agricola de sus regulaciones.","El Convenio 155 se centra exclusivamente en la salud fisica de los trabajadores.","","","","","",""
