"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ELA","S1 Riesgo Ergonomico y TME","Yes","¡Correcto! Segun el material del curso, lo correcto es: La iluminacion inadecuada en el area de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","Segun el material del curso, entre los siguientes factores del entorno laboral, cual constituye un riesgo ergonomico que puede afectar el bienestar y el desempeno del trabajador durante su jornada?","A","La iluminacion inadecuada en el area de trabajo","El tamano de la pantalla del monitor sin mas criterio","La marca comercial de la silla de la oficina","El color de las paredes del puesto de trabajo","","","","","",""
"multiplechoice","ELA","S2 Norma ISO 11226 y Posturas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer un marco para la evaluacion de riesgos por posturas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","Segun el material del curso, cual es el principal objetivo de la norma ISO 11226 en el ambito de la ergonomia aplicada a la evaluacion de las posturas de trabajo del personal en la organizacion?","C","Mejorar la estetica de los puestos de trabajo","Aumentar la productividad mediante nueva tecnologia","Establecer un marco para la evaluacion de riesgos por posturas","Reducir el consumo de energia de la maquinaria","","","","","",""
"multiplechoice","ELA","S3 Metodos RULA y REBA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el riesgo ergonomico en los miembros superiores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","Segun el material del curso, cual es el principal enfoque del metodo RULA dentro de la evaluacion ergonomica de los puestos de trabajo que involucran esfuerzo del trabajador durante su jornada?","B","Disenar ambientes de trabajo libres de ruido","Evaluar el riesgo ergonomico en los miembros superiores","Calcular el indice de masa corporal del trabajador","Analizar la fatiga muscular general de todo el cuerpo","","","","","",""
"multiplechoice","ELA","S4 Ecuacion NIOSH RWL y LI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Investigar y promover la salud y la seguridad en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","Segun el material del curso, cual es el proposito principal del Instituto NIOSH en el contexto de la salud ocupacional, dentro del marco de referencia para la prevencion de riesgos en el trabajo?","D","Desarrollar productos comerciales de seguridad industrial","Regular las practicas de atencion medica en el trabajo","Establecer unicamente los precios de los equipos","Investigar y promover la salud y la seguridad en el trabajo","","","","","",""
"multiplechoice","ELA","S5 Metodo ROSA y Puesto Oficina","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el riesgo ergonomico y promover la salud en el trabajo de oficina.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","Segun el material del curso, cual es el enfoque principal de la metodologia ROSA aplicada en el lugar de trabajo dentro del analisis ergonomico de los puestos donde el trabajador utiliza equipos informaticos?","A","Evaluar el riesgo ergonomico y promover la salud en el trabajo de oficina","Incrementar la productividad sin importar la salud del personal","Fomentar la competencia entre empleados para mejorar resultados","Limitar la intervencion de recursos en salud ocupacional","","","","","",""
"multiplechoice","ELA","S1 Riesgo Ergonomico y TME","Yes","¡Correcto! Segun el material del curso, lo correcto es: El dolor de espalda derivado de posturas o esfuerzos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","De acuerdo con el material del curso, que condicion se asocia generalmente con los Trastornos Musculoesqueleticos conocidos como TME, que afectan a los trabajadores expuestos a factores ergonomicos?","C","El insomnio sin relacion con la actividad laboral","El estres ambiental por causas externas al trabajo","El dolor de espalda derivado de posturas o esfuerzos","La fatiga visual sin vinculo con el esfuerzo fisico","","","","","",""
"multiplechoice","ELA","S2 Norma ISO 11226 y Posturas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Servicios de atencion al cliente en lineas aereas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","De acuerdo con el material del curso, cual de los siguientes sectores no constituye una aplicacion habitual de la norma ISO 11226 dentro del analisis ergonomico de las posturas de trabajo?","B","Sistemas de logistica y distribucion de mercancias","Servicios de atencion al cliente en lineas aereas","Construccion y actividades de rehabilitacion fisica","Agricultura y manipulacion de alimentos","","","","","",""
"multiplechoice","ELA","S3 Metodos RULA y REBA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Actividades relacionadas con el uso de herramientas y trabajo manual.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","De acuerdo con el material del curso, que tipo de actividades se evaluan principalmente utilizando la escala RULA dentro del analisis ergonomico de las tareas realizadas por el trabajador?","D","Formacion en primeros auxilios del personal","Ejercicios de acondicionamiento fisico general","Actividades de atencion al cliente en oficina","Actividades relacionadas con el uso de herramientas y trabajo manual","","","","","",""
"multiplechoice","ELA","S4 Ecuacion NIOSH RWL y LI","Yes","¡Correcto! Segun el material del curso, lo correcto es: El limite de peso recomendado para levantar de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","De acuerdo con el material del curso, que significa la abreviatura RWL en el contexto de la evaluacion ergonomica del levantamiento manual de cargas realizado por el trabajador en su puesto de trabajo?","A","El limite de peso recomendado para levantar de forma segura","El ritmo de trabajo lento del trabajador","La carga de trabajo aceptable sin relacion con el peso","Las repeticiones totales de la tarea laboral","","","","","",""
"multiplechoice","ELA","S5 Metodo ROSA y Puesto Oficina","Yes","¡Correcto! Segun el material del curso, lo correcto es: En cualquier entorno laboral de oficina incluyendo el teletrabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ELA.","1","De acuerdo con el material del curso, en que tipo de espacios se aplica la metodologia ROSA para evaluar las condiciones ergonomicas del puesto de trabajo del trabajador que usa computador?","C","En areas de descanso dentro de la empresa","Exclusivamente en areas de manufactura industrial","En cualquier entorno laboral de oficina incluyendo el teletrabajo","Solo en oficinas tradicionales sin teletrabajo","","","","","",""
