"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: La relacion entre tecnologia y procedimientos de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","En el marco del curso Seguridad Electronica: Sistemas de Alarmas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Que aspecto principal se aborda en la sumilla del curso?","A","La relacion entre tecnologia y procedimientos de seguridad","La evaluacion de riesgos en entornos laborales","El estudio de la historia de la seguridad nacional","La aplicacion de normas internacionales en el ambito de la seguridad","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Normas ISO sobre sistemas de gestion de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","Segun los contenidos desarrollados en el curso Seguridad Electronica: Sistemas de Alarmas, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que normativa es fundamental en este curso?","C","Reglamento de la Ley de Proteccion de Datos","Estandares de seguridad alimentaria","Normas ISO sobre sistemas de gestion de seguridad","Directrices de la Organizacion Mundial de la Salud","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Incorpora un enfoque interdisciplinario que combina tecnologia y normativas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","Con base en el material del curso Seguridad Electronica: Sistemas de Alarmas y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual de las siguientes afirmaciones es correcta sobre el enfoque del curso?","B","Se centra exclusivamente en procedimientos tecnicos de seguridad","Incorpora un enfoque interdisciplinario que combina tecnologia y normativas","Se limita a la seguridad publica sin considerar el sector privado","Es unicamente teorico y no incluye aplicaciones practicas","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Articulo 8.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","Tomando en cuenta lo estudiado en el curso Seguridad Electronica: Sistemas de Alarmas sobre este tema especifico y las buenas practicas descritas en el material, responde: Que articulo del SFPS establece la importancia de definir claramente los resultados de aprendizaje?","D","Articulo 9","Articulo 7","Ninguno de los anteriores","Articulo 8","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar una herramienta de tecnologia basada en lo aprendido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","Segun el material del curso Seguridad Electronica: Sistemas de Alarmas, responde con precision: En el contexto del curso, cual de las siguientes acciones corresponde a 'aplicar' los resultados de aprendizaje?","B","Definir indicadores de exito","Implementar una herramienta de tecnologia basada en lo aprendido","Redactar un informe sobre los resultados","Analizar los resultados de aprendizaje","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar areas de mejora en procesos operativos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","Considerando el enfoque metodologico del curso Seguridad Electronica: Sistemas de Alarmas y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Que capacidad implica 'ubicar' los resultados de aprendizaje dentro de las necesidades del SFPS?","D","Especificar metas a corto plazo","Diseniar un programa de formacion adecuado","Analizar los requisitos organizativos","Identificar areas de mejora en procesos operativos","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los participantes gestionan su propio ritmo y horario de aprendizaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","En el marco del curso Seguridad Electronica: Sistemas de Alarmas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la principal caracteristica de la modalidad autoadministrada en el curso?","A","Los participantes gestionan su propio ritmo y horario de aprendizaje.","Los monitores proporcionan toda la informacion sin necesidad de interaccion.","Se requiere completar ejercicios en grupos grandes.","Los participantes deben asistir a clases presenciales obligatorias.","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Documentos de soporte y foros de discusion interactivos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","Segun los contenidos desarrollados en el curso Seguridad Electronica: Sistemas de Alarmas, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que tipo de apoyo se ofrece a los participantes a traves de la plataforma del curso?","C","Videoconferencias diarias con los docentes.","Examenes presenciales obligatorios.","Documentos de soporte y foros de discusion interactivos.","Tutorias individuales programadas semanalmente.","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Foros y discusiones en linea que permiten la participacion activa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","Con base en el material del curso Seguridad Electronica: Sistemas de Alarmas y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: El caracter interactivo del curso se fomenta principalmente a traves de:","C","Actividades grupales obligatorias.","Examenes frecuentes que evaluan el progreso.","Foros y discusiones en linea que permiten la participacion activa.","Material de lectura que no puede ser discutido.","","","","","",""
"multiplechoice","SAVCA","C1 Alarmas Robo e Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Introduccion a la normativa de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SAVCA.","1","Tomando en cuenta lo estudiado en el curso Seguridad Electronica: Sistemas de Alarmas sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es la sesion inicial del curso y que tema se introduce en ella?","A","Introduccion a la normativa de seguridad","Evaluacion de riesgos ciberneticos","Normativas de proteccion de datos","Gestion de incidentes de seguridad","","","","","",""
