"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TC","S1 Permiso Hot Work y NFPA 51B","Yes","¡Correcto! Segun el material del curso, lo correcto es: La norma NFPA 51B sobre trabajos en caliente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Segun el material del curso, cual es la norma que regula las practicas de trabajo en caliente y establece los requisitos de seguridad para las operaciones que generan chispas o calor?","A","La norma NFPA 51B sobre trabajos en caliente","La norma ANSI Z10 sobre gestion de seguridad","La regulacion EPA 40 CFR sobre residuos","La norma ISO 9001 sobre gestion de la calidad","","","","","",""
"multiplechoice","TC","S2 Perimetro y Combustibles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un perimetro de 35 pies alrededor del area de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Segun el material del curso, cual es el perimetro de seguridad recomendado, expresado en pies, que debe mantenerse alrededor del area donde se ejecuta un trabajo en caliente?","C","Un perimetro de 50 pies alrededor del area de trabajo","Un perimetro de 15 pies alrededor del area de trabajo","Un perimetro de 35 pies alrededor del area de trabajo","Un perimetro de 20 pies alrededor del area de trabajo","","","","","",""
"multiplechoice","TC","S3 Rol del Vigia y Comunicacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Monitorear las actividades y detectar cualquier situacion peligrosa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Segun el material del curso, cual es la funcion principal del vigia designado en las zonas criticas durante la ejecucion de un trabajo en caliente en las instalaciones de la empresa?","B","Ejecutar personalmente las tareas de soldadura","Monitorear las actividades y detectar cualquier situacion peligrosa","Registrar el costo economico del trabajo","Distribuir la produccion pendiente del area","","","","","",""
"multiplechoice","TC","S4 Atmosferas ATEX y Medicion LEL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Atmosferas explosivas donde puede haber gases o vapores inflamables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Segun el material del curso, que significa el termino ATEX en el contexto de la seguridad aplicada a los trabajos en caliente realizados en ambientes con riesgo de ignicion?","D","Atenuacion de la exposicion al ruido industrial","Analisis tecnico de los equipos de soldadura","Autorizacion de trabajos extraordinarios","Atmosferas explosivas donde puede haber gases o vapores inflamables","","","","","",""
"multiplechoice","TC","S5 Ventilacion Soldadura y EPP","Yes","¡Correcto! Segun el material del curso, lo correcto es: La ventilacion forzada con extraccion localizada en la fuente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Segun el material del curso, que tipo de ventilacion se considera mas efectiva para eliminar los humos y gases generados durante las operaciones de soldadura en un trabajo en caliente?","A","La ventilacion forzada con extraccion localizada en la fuente","La ventilacion natural mediante puertas cerradas","La ausencia total de ventilacion en el area","La recirculacion del aire contaminado del recinto","","","","","",""
"multiplechoice","TC","S1 Permiso Hot Work y NFPA 51B","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un permiso de trabajo en caliente debidamente autorizado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Conforme al contenido, que documento resulta necesario emitir tras la evaluacion de riesgos antes de iniciar cualquier trabajo en caliente dentro de las instalaciones de la empresa?","C","Una factura de compra de los equipos de soldadura","Un contrato laboral del personal involucrado","Un permiso de trabajo en caliente debidamente autorizado","Un informe contable de los costos del trabajo","","","","","",""
"multiplechoice","TC","S2 Perimetro y Combustibles","Yes","¡Correcto! Segun el material del curso, lo correcto es: La gasolina y otros liquidos altamente inflamables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Conforme al contenido, que tipo de sustancia se considera un combustible altamente inflamable que debe retirarse o protegerse antes de iniciar un trabajo en caliente en la zona?","B","El agua contenida en los recipientes del area","La gasolina y otros liquidos altamente inflamables","La arena utilizada para limpiar las superficies","El metal solido de las estructuras del lugar","","","","","",""
"multiplechoice","TC","S3 Rol del Vigia y Comunicacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Notificar de inmediato al supervisor directo de la actividad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Conforme al contenido, cual es el primer paso que debe realizar el vigia cuando detecta una situacion peligrosa durante la vigilancia de un trabajo en caliente en la empresa?","D","Abandonar su puesto sin avisar a nadie","Continuar observando sin tomar ninguna accion","Registrar el incidente al final de la jornada","Notificar de inmediato al supervisor directo de la actividad","","","","","",""
"multiplechoice","TC","S4 Atmosferas ATEX y Medicion LEL","Yes","¡Correcto! Segun el material del curso, lo correcto es: El limite inferior de explosividad, por debajo del cual la mezcla no arde.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Conforme al contenido, cual es el significado del acronimo LEL y su importancia dentro de la seguridad de los trabajos en caliente en atmosferas con vapores inflamables?","A","El limite inferior de explosividad, por debajo del cual la mezcla no arde","El nivel estandar de luz del area de trabajo","El limite de exposicion laboral al ruido","El listado de equipos de la linea de trabajo","","","","","",""
"multiplechoice","TC","S5 Ventilacion Soldadura y EPP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger al trabajador de riesgos fisicos, quimicos y termicos de la actividad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","Conforme al contenido, cual es el proposito principal del equipo de proteccion personal utilizado por el trabajador durante la ejecucion de un trabajo en caliente en la empresa?","C","Determinar el color de la senalizacion del area","Registrar el costo economico del trabajo","Proteger al trabajador de riesgos fisicos, quimicos y termicos de la actividad","Fijar el horario de descanso del personal","","","","","",""
"multiplechoice","TC","S1 Permiso Hot Work y NFPA 51B","Yes","¡Correcto! Segun el material del curso, lo correcto es: Certificar que se han evaluado los riesgos y aplicado los controles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","De acuerdo con el material del curso, cual es el proposito principal de la firma de un permiso de trabajo en caliente antes de ejecutar la actividad en la zona de riesgo?","B","Registrar el costo economico de la actividad","Certificar que se han evaluado los riesgos y aplicado los controles","Determinar el color de la senalizacion del area","Asignar el horario de descanso del personal","","","","","",""
"multiplechoice","TC","S2 Perimetro y Combustibles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque las chispas o el calor pueden iniciar un incendio en esos materiales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","De acuerdo con el material del curso, por que es importante identificar y evaluar los combustibles presentes en el area antes de ejecutar un trabajo en caliente en la empresa?","D","Porque los combustibles definen el color del permiso","Porque los combustibles fijan el horario del trabajo","Porque los combustibles determinan el precio del equipo","Porque las chispas o el calor pueden iniciar un incendio en esos materiales","","","","","",""
"multiplechoice","TC","S3 Rol del Vigia y Comunicacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un sistema de comunicacion por radio de dos vias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","De acuerdo con el material del curso, cual es el medio mas eficaz para comunicar una alarma o situacion peligrosa detectada por el vigia durante un trabajo en caliente en la empresa?","A","Un sistema de comunicacion por radio de dos vias","Una nota escrita entregada al final del turno","Una senal visual sin ningun aviso sonoro","Un mensaje verbal transmitido de boca en boca","","","","","",""
"multiplechoice","TC","S4 Atmosferas ATEX y Medicion LEL","Yes","¡Correcto! Segun el material del curso, lo correcto es: La concentracion de oxigeno y de otros gases presentes en el ambiente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TC.","1","De acuerdo con el material del curso, que se debe verificar antes de realizar un trabajo en caliente en un espacio con posible acumulacion de gases segun la normativa aplicable?","C","El color de las paredes del espacio de trabajo","El precio de los equipos de medicion utilizados","La concentracion de oxigeno y de otros gases presentes en el ambiente","El horario de descanso del personal soldador","","","","","",""
