"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la comunicacion de los estandares de seguridad y operatividad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","En el marco del curso Modos de Operacion Seguros y Mantenimiento de Maquinaria, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el proposito principal de la ficha tecnica en el contexto de este curso?","A","Facilitar la comunicacion de los estandares de seguridad y operatividad.","Ser un documento formal para auditorias anuales.","Proveer una herramienta para la venta de maquinaria.","Describir unicamente los componentes tecnicos de la maquinaria.","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: A expertos en mantenimiento e ingenieria de planta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Segun los contenidos desarrollados en el curso Modos de Operacion Seguros y Mantenimiento de Maquinaria, y considerando las definiciones presentadas en el material, indica la alternativa correcta: A quien esta dirigido principalmente este curso?","C","A gerentes de ventas de maquinaria.","A personal de limpieza industrial.","A expertos en mantenimiento e ingenieria de planta.","A profesionales de diversas disciplinas sin experiencia tecnica.","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las regulaciones de seguridad laboral en Peru.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Con base en el material del curso Modos de Operacion Seguros y Mantenimiento de Maquinaria y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual es uno de los marcos normativos centrales que se aborda en este curso?","B","Las normativas internacionales de ISO 9001.","Las regulaciones de seguridad laboral en Peru.","Las directrices de marketing para maquinaria pesada.","Los estandares de calidad del producto.","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumenta la eficiencia operativa y reduce el tiempo de inactividad inesperado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Segun el material del curso Modos de Operacion Seguros y Mantenimiento de Maquinaria, responde con precision: Cual de las siguientes afirmaciones describe mejor la importancia de realizar un mantenimiento preventivo en maquinaria industrial?","D","Se centra unicamente en la limpieza de los equipos.","Reduce la necesidad de capacitacion del personal.","Elimina todos los posibles riesgos asociados a la maquinaria.","Aumenta la eficiencia operativa y reduce el tiempo de inactividad inesperado.","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: La adecuacion de las medidas de seguridad y senializacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Segun el material del curso Modos de Operacion Seguros y Mantenimiento de Maquinaria, responde con precision: Durante una inspeccion de seguridad, que aspecto es prioritario para garantizar la seguridad operacional de la maquinaria?","B","La evaluacion del rendimiento energetico de la maquina.","La adecuacion de las medidas de seguridad y senializacion.","La variedad de materiales utilizados en su fabricacion.","El estado de las piezas moviles y su correcto funcionamiento.","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las respuestas correctas deben cubrir que el mantenimiento correctivo se realiza despues de que una falla ha ocurrido, enfocandose en reparaciones; mientras que el mantenimiento pr.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Considerando el enfoque metodologico del curso Modos de Operacion Seguros y Mantenimiento de Maquinaria y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Explica la diferencia entre mantenimiento correctivo y mantenimiento preventivo. Que ventajas ofrece cada uno?","D","La documentacion de cada paso permite asegurar la trazabilidad de las acciones realizadas, facilita la capacitacion del personal nuevo, y garantiza que se sigan las normativas de seguridad.","Al menos dos de los siguientes factores: la identificacion de riesgos potenciales asociados con la maquina, como partes moviles y condiciones del entorno; la verificacion de sistem","Resaltar que los dispositivos de habilitacion y hold-to-run son herramientas criticas para fomentar la cultura de seguridad en el entorno laboral.","Las respuestas correctas deben cubrir que el mantenimiento correctivo se realiza despues de que una falla ha ocurrido, enfocandose en reparaciones; mientras que el mantenimiento pr","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las especificaciones tecnicas que se alineen con la tarea a realizar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Segun el material del curso Modos de Operacion Seguros y Mantenimiento de Maquinaria, responde con precision: Que criterio deberia prevalecer para seleccionar el equipo adecuado para la tarea especifica en el entorno industrial?","A","Las especificaciones tecnicas que se alineen con la tarea a realizar.","La reputacion de la marca del proveedor.","La percepcion del equipo por parte del personal operativo.","Compatibilidad con los estandares internacionales de seguridad.","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Acceso a recursos didacticos en cualquier momento y lugar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Segun el material del curso Modos de Operacion Seguros y Mantenimiento de Maquinaria, responde con precision: Cual es una de las principales ventajas del modelo e-learning en la educacion para profesionales de mantenimiento y maquinaria?","C","Dependencia de la ensenianza presencial.","Reduccion del tiempo dedicado al aprendizaje.","Acceso a recursos didacticos en cualquier momento y lugar.","Limitacion en la interaccion con instructores.","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Usar videos interactivos que involucren a los participantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Segun el material del curso Modos de Operacion Seguros y Mantenimiento de Maquinaria, responde con precision: En el contexto de un curso de e-learning, que elemento es esencial para facilitar un aprendizaje efectivo a traves de videos?","C","Camuflar la calificacion de los videos para evitar confusiones.","Incluir multiples fuentes de informacion sin conexion.","Usar videos interactivos que involucren a los participantes.","Evitar el uso de guiones y explicaciones previas.","","","","","",""
"multiplechoice","MOSM","C1 Riesgo en Intervenciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporciona retroalimentacion continua para mejorar el aprendizaje en tiempo real.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MOSM.","1","Tomando en cuenta lo estudiado en el curso Modos de Operacion Seguros y Mantenimiento de Maquinaria sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de las siguientes afirmaciones sobre la evaluacion formativa en plataformas de e-learning es correcta?","A","Proporciona retroalimentacion continua para mejorar el aprendizaje en tiempo real.","Se lleva a cabo solo en sesiones presenciales de clase.","Es menos importante que la evaluacion sumativa.","Esta diseniada unicamente para calificar a los estudiantes al final del curso.","","","","","",""
