"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ASI","S1 Rol y Limites del Asistente SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Colaborar en la implementacion de las politicas de seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Cual es una de las principales funciones del asistente de seguridad y salud en el trabajo dentro de la estructura preventiva de una organizacion","A","Colaborar en la implementacion de las politicas de seguridad y salud","Fijar sanciones directamente a los trabajadores","Realizar auditorias laborales sin ninguna supervision","Tomar decisiones unilaterales sobre el personal","","","","","",""
"multiplechoice","ASI","S2 Competencias y Sentido Preventivo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar los riesgos potenciales presentes en el lugar de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Cual de las siguientes opciones describe mejor la competencia observada en un asistente de seguridad industrial durante una inspeccion en el trabajo","C","Respetar unicamente la fecha limite de entrega","Crear un informe de incidentes sin datos reales","Identificar los riesgos potenciales presentes en el lugar de trabajo","Saber usar el equipo de computo de la oficina","","","","","",""
"multiplechoice","ASI","S3 Inspecciones y Uso de Checklist","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un checklist que ordena los puntos a verificar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Cual de las siguientes herramientas resulta fundamental para llevar a cabo una inspeccion estructurada en el lugar de trabajo segun el programa","B","Un informe de accidentes ya ocurridos","Un checklist que ordena los puntos a verificar","Una reunion de seguridad sin agenda","Un documental sobre seguridad industrial","","","","","",""
"multiplechoice","ASI","S4 Gestion Documental y Accidentes","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mejorar el bienestar y la seguridad de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Cual es el principal objetivo de un sistema de gestion de seguridad y salud en el trabajo dentro de una organizacion segun el enfoque del programa","D","Aumentar la produccion sin considerar riesgos","Reducir el numero de trabajadores del area","Sustituir la funcion del organismo estatal","Mejorar el bienestar y la seguridad de los trabajadores","","","","","",""
"multiplechoice","ASI","S5 DDS Charlas e Induccion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un enfoque que promueve la participacion del personal en la prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Cual es el concepto central del dialogo diario de seguridad conocido como DDS dentro de la prevencion de riesgos en el entorno de trabajo de la organizacion","A","Un enfoque que promueve la participacion del personal en la prevencion","Un tramite administrativo sin efecto preventivo","Un informe financiero de la organizacion","Una sancion aplicada a los trabajadores","","","","","",""
"multiplechoice","ASI","S1 Rol y Limites del Asistente SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer por si mismo la normativa de seguridad de la empresa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Cual de las siguientes actividades no esta permitida para un asistente de seguridad y salud en el trabajo dentro de su rol en la organizacion","C","Realizar investigaciones de accidentes laborales","Colaborar en las capacitaciones de prevencion","Establecer por si mismo la normativa de seguridad de la empresa","Participar en la elaboracion de informes de seguridad","","","","","",""
"multiplechoice","ASI","S2 Competencias y Sentido Preventivo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una reaccion rapida y adecuada ante un incidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Que comportamiento observacional indicaria que un auxiliar de seguridad y salud esta preparado para manejar situaciones de riesgo dentro del trabajo","B","Esperar instrucciones antes de actuar siempre","Una reaccion rapida y adecuada ante un incidente","Estar presente en el sitio sin intervenir","Sugerir cambios sin relacion con el riesgo","","","","","",""
"multiplechoice","ASI","S3 Inspecciones y Uso de Checklist","Yes","¡Correcto! Segun el material del curso, lo correcto es: Revisar de forma exhaustiva cada pauta de seguridad definida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Cual es una de las funciones del checklist durante una inspeccion de seguridad y salud en el trabajo dentro de las areas de la organizacion","D","Sustituir la presencia del inspector en el sitio","Reemplazar el reporte de los hallazgos","Eliminar la necesidad de acciones correctivas","Revisar de forma exhaustiva cada pauta de seguridad definida","","","","","",""
"multiplechoice","ASI","S4 Gestion Documental y Accidentes","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar la confidencialidad y la seguridad de la informacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Cual es la principal razon para implementar un sistema de gestion documental dentro de la seguridad y salud en el trabajo de la organizacion","A","Garantizar la confidencialidad y la seguridad de la informacion","Aumentar el volumen de papel sin control","Eliminar los reportes de accidentes","Reducir la trazabilidad de los registros","","","","","",""
"multiplechoice","ASI","S5 DDS Charlas e Induccion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Crear un ambiente colaborativo donde se comparta la informacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASI.","1","Que enfoque se sugiere para promover un dialogo diario de seguridad efectivo entre los trabajadores dentro de las areas operativas de la organizacion","C","Imponer la informacion sin permitir dialogo","Limitar la participacion a la gerencia","Crear un ambiente colaborativo donde se comparta la informacion","Realizarlo solo despues de un accidente","","","","","",""
