"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La norma de rango superior prevalece sobre la de rango inferior.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de Salud, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principio fundamental de la jerarquia normativa en el ordenamiento juridico costarricense?","A","La norma de rango superior prevalece sobre la de rango inferior.","La costumbre es la fuente principal del derecho.","Las leyes no pueden ser derogadas.","Todas las normas son igual de importantes.","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: El derecho a la proteccion de la salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de Salud, responde con precision: En el contexto del Titulo IV de la Constitucion Politica de Costa Rica, que derecho protege principalmente la norma sobre la salud?","C","El derecho a la libre expresion.","El derecho de reunion.","El derecho a la proteccion de la salud.","El derecho a la educacion.","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La Defensoria de los Habitantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de Salud, responde con precision: Cual de las siguientes instituciones es la encargada de promover y proteger los derechos humanos en Costa Rica?","B","El Ministerio de Justicia y Paz.","La Defensoria de los Habitantes.","La Corte Suprema de Justicia.","El Ministerio de Salud.","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar y supervisar las politicas publicas en salud laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de Salud sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es la principal funcion del organo rector en el sistema de salud ocupacional en Costa Rica?","D","Realizar auditorias financieras en empresas privadas.","Elaborar manuales de procedimientos para la administracion publica.","Diseniar campanias de marketing sobre salud ocupacional.","Evaluar y supervisar las politicas publicas en salud laboral.","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ministerio de Salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de Salud, responde con precision: Que entidad tiene la competencia de gestionar y coordinar los asuntos relacionados con la salud ocupacional a nivel nacional?","B","Ministerio de Trabajo y Seguridad Social.","Ministerio de Salud.","Caja Costarricense de Seguro Social.","Instituto Nacional de Seguros.","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los empleadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de Salud, responde con precision: Quien es el responsable de velar por el cumplimiento de las normativas de seguridad y salud ocupacional en las empresas?","D","Los inspectores del Ministerio de Salud.","Los trabajadores.","Los sindicatos.","Los empleadores.","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Comite de Salud Ocupacional es vital para promover y mantener un ambiente laboral seguro, facilita la comunicacion entre empleados y empleadores respecto a riesgos laborales, y.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de Salud, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Explica la importancia del papel del Comite de Salud Ocupacional en las empresas.","A","El Comite de Salud Ocupacional es vital para promover y mantener un ambiente laboral seguro, facilita la comunicacion entre empleados y empleadores respecto a riesgos laborales, y","Los equipos de proteccion personal (EPP) son fundamentales para proteger a los trabajadores de factores ambientales adversos, incluyendo temperaturas extremas.","Una respuesta efectiva debe cubrir criterios como la evaluacion de riesgos inherentes a las actividades de la empresa, analisis de la magnitud de las coberturas necesarias, revisio","Las etiquetas son vitales en el sistema LOTO porque proporcionan informacion clara sobre el estado de la maquina, indicando que esta bloqueada y no debe ser operada.","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar politicas nacionales y supervisar su implementacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de Salud, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es la principal funcion del organo rector en el ambito de la salud ocupacional en Costa Rica?","C","Controlar los accidentes laborales de forma directa","Administrar fondos de salud ocupacional","Desarrollar politicas nacionales y supervisar su implementacion","Promover programas de capacitacion a los trabajadores","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar auditorias internas de salud y seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de Salud, responde con precision: Dentro de las competencias del Comite de Salud Ocupacional (CSO), cual de las siguientes es correcta?","C","Crear un registro de accidentes laborales en Costa Rica","Contratar personal para el hospital local","Realizar auditorias internas de salud y seguridad","Establecer legislaciones laborales","","","","","",""
"multiplechoice","EAECR","C1 Fundamento Constitucional CR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Contribuyen a la identificacion de riesgos y mejora de condiciones laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECR.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de Salud sobre este tema especifico y las buenas practicas descritas en el material, responde: Que rol desempenian los trabajadores en el Comite de Salud Ocupacional?","A","Contribuyen a la identificacion de riesgos y mejora de condiciones laborales","Establecen la normativa de salud ocupacional","Controlan los recursos financieros del comite","Son responsables de dirigir las reuniones del CSO","","","","","",""
