"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PRD","S1 Soporte Vital y Cadena SVB","Yes","¡Correcto! Segun el material del curso, lo correcto es: La activacion del sistema de emergencias para solicitar ayuda.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Segun el material del curso, cual es el primer eslabon de la cadena de supervivencia que debe cumplirse al atender a una persona en una situacion de emergencia con riesgo vital?","A","La activacion del sistema de emergencias para solicitar ayuda","La aplicacion inmediata de un torniquete","La administracion de una descarga con el desfibrilador","El traslado manual de la victima al hospital","","","","","",""
"multiplechoice","PRD","S2 RCP Pediatrica y Lactante","Yes","¡Correcto! Segun el material del curso, lo correcto es: Entre 100 y 120 compresiones por minuto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Segun el material del curso, cual es la frecuencia recomendada de compresiones toracicas por minuto al realizar la reanimacion cardiopulmonar en un paciente pediatrico durante una emergencia?","C","Entre 60 y 80 compresiones por minuto","Entre 80 y 100 compresiones por minuto","Entre 100 y 120 compresiones por minuto","Entre 120 y 140 compresiones por minuto","","","","","",""
"multiplechoice","PRD","S3 DEA en Pacientes Pediatricos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Considerar el peso y la edad para seleccionar los parches o el modo adecuado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Segun el material del curso, que aspecto se debe tener en cuenta al aplicar un desfibrilador externo automatico en un paciente pediatrico durante una emergencia con paro cardiaco?","B","Aplicar siempre la misma configuracion que en un adulto","Considerar el peso y la edad para seleccionar los parches o el modo adecuado","Ignorar la edad y el peso del nino al usar el equipo","Usar el equipo sin colocar ningun parche","","","","","",""
"multiplechoice","PRD","S4 Quemaduras y Regla de Nueve","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una lesion causada por la exposicion a calor extremo o fuego.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Segun el material del curso, que describe correctamente una quemadura termica dentro de las lesiones que puede atender el auxiliador durante una emergencia de primeros auxilios en la empresa?","D","Una lesion provocada por el contacto con sustancias quimicas","Una lesion resultante del paso de la corriente electrica","Una lesion cutanea producida por el frio intenso","Una lesion causada por la exposicion a calor extremo o fuego","","","","","",""
"multiplechoice","PRD","S5 Shock y Posicion de Recuperacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La frecuencia cardiaca del paciente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Segun el material del curso, cual es uno de los signos vitales mas criticos que el auxiliador debe monitorear en un paciente durante la atencion de una emergencia con posible compromiso vital?","A","La frecuencia cardiaca del paciente","El color de la ropa que viste el paciente","El precio de los equipos utilizados","El horario laboral del personal presente","","","","","",""
"multiplechoice","PRD","S1 Soporte Vital y Cadena SVB","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un conjunto de maniobras para mantener las funciones vitales sin equipo avanzado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Conforme al contenido, que define el concepto de soporte vital basico dentro de la atencion de una persona que sufre una emergencia con compromiso de sus funciones vitales?","C","Un tratamiento farmacologico administrado en el hospital","Un registro contable de los incidentes ocurridos","Un conjunto de maniobras para mantener las funciones vitales sin equipo avanzado","Una tecnica exclusiva de cirugia especializada","","","","","",""
"multiplechoice","PRD","S2 RCP Pediatrica y Lactante","Yes","¡Correcto! Segun el material del curso, lo correcto es: En el regazo de un adulto o superficie firme con la cabeza en posicion neutra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Conforme al contenido, en que posicion se debe colocar a un lactante para realizar correctamente la reanimacion cardiopulmonar durante la atencion de una emergencia con este tipo de paciente?","B","Sentado en posicion vertical sobre una silla","En el regazo de un adulto o superficie firme con la cabeza en posicion neutra","Boca abajo sobre una superficie blanda","De pie apoyado contra una pared firme","","","","","",""
"multiplechoice","PRD","S3 DEA en Pacientes Pediatricos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurarse de que nadie este tocando al paciente en el momento de la descarga.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Conforme al contenido, que precaucion debe tomarse antes de administrar una descarga con el desfibrilador externo automatico a un paciente pediatrico durante la atencion de la emergencia?","D","Continuar las compresiones durante la descarga","Verter agua sobre el torax del nino","Retirar los parches justo antes de la descarga","Asegurarse de que nadie este tocando al paciente en el momento de la descarga","","","","","",""
"multiplechoice","PRD","S4 Quemaduras y Regla de Nueve","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para evaluar la gravedad y la extension de la superficie quemada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Conforme al contenido, para que se utiliza principalmente la regla de los nueve dentro de la evaluacion de una quemadura durante la atencion de primeros auxilios prestada a la victima?","A","Para evaluar la gravedad y la extension de la superficie quemada","Para determinar el color de la ropa de la victima","Para calcular el precio de la atencion prestada","Para fijar el horario de traslado al hospital","","","","","",""
"multiplechoice","PRD","S5 Shock y Posicion de Recuperacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que este comoda, abrigada y con las piernas elevadas si es posible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRD.","1","Conforme al contenido, que accion debe realizar el auxiliador en caso de que una persona presente signos de shock durante la atencion de una emergencia en las instalaciones de la empresa?","C","Sentar a la persona erguida y darle de comer","Dejar a la persona expuesta al frio sin cubrirla","Asegurar que este comoda, abrigada y con las piernas elevadas si es posible","Obligar a la persona a caminar de inmediato","","","","","",""
