"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","BLL","S1 Normativa OSHA ISO y CSA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Prevenir accidentes asegurando el control de la energia durante el mantenimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Cual es el objetivo principal de la norma OSHA 1910.147 dentro del marco tecnico que regula el control de energias peligrosas durante las tareas de mantenimiento industrial segun el contenido tecnico del programa formativo","A","Prevenir accidentes asegurando el control de la energia durante el mantenimiento","Definir el color de los candados de bloqueo","Fijar el precio de los dispositivos de bloqueo","Regular unicamente el horario de la jornada laboral","","","","","",""
"multiplechoice","BLL","S2 Fuentes y Energia Residual","Yes","¡Correcto! Segun el material del curso, lo correcto es: La energia solar obtenida mediante paneles fotovoltaicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Cual de las siguientes fuentes de energia es considerada renovable y presenta un bajo impacto ambiental dentro del analisis de las fuentes que alimentan los equipos industriales segun el contenido tecnico del programa formativo","C","La energia obtenida de combustibles fosiles","La energia proveniente del carbon mineral","La energia solar obtenida mediante paneles fotovoltaicos","La energia derivada del petroleo refinado","","","","","",""
"multiplechoice","BLL","S3 Candados Hasp y Etiquetado","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que unicamente el personal autorizado tenga acceso al dispositivo de aislamiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Cual es la funcion principal de un candado dentro de un procedimiento de bloqueo aplicado a los equipos de un entorno industrial durante las tareas de mantenimiento segun el contenido tecnico del programa formativo aplicado al control de energias","B","Indicar el color reglamentario del equipo","Asegurar que unicamente el personal autorizado tenga acceso al dispositivo de aislamiento","Medir la energia residual acumulada en el equipo","Aumentar la potencia disponible del equipo","","","","","",""
"multiplechoice","BLL","S4 Proceso LOTOTO y Cero Energia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evitar la energizacion accidental de los equipos durante los trabajos de mantenimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Cual es el objetivo principal del proceso conocido como LOTOTO dentro de las tareas de mantenimiento industrial que involucran equipos con fuentes de energia peligrosa segun el contenido tecnico del programa formativo aplicado al control de energias","D","Aumentar la velocidad de la reparacion del equipo","Definir el color de los candados de bloqueo","Reducir el precio de los equipos intervenidos","Evitar la energizacion accidental de los equipos durante los trabajos de mantenimiento","","","","","",""
"multiplechoice","BLL","S5 Bloqueo Grupal y Turnos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger a los trabajadores evitando el acceso a areas o equipos peligrosos mientras trabajan.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Cual es el proposito principal del bloqueo grupal aplicado en un entorno de trabajo colaborativo donde varios operarios intervienen equipos con fuentes de energia peligrosa durante el mantenimiento industrial segun el contenido tecnico del programa formativo","A","Proteger a los trabajadores evitando el acceso a areas o equipos peligrosos mientras trabajan","Aumentar la velocidad de la reparacion del equipo","Definir el color de los candados del grupo","Reducir el precio de los equipos intervenidos","","","","","",""
"multiplechoice","BLL","S1 Normativa OSHA ISO y CSA","Yes","¡Correcto! Segun el material del curso, lo correcto es: En la gestion de los riesgos relacionados con la energia y su desconexion segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","En que aspecto se centra principalmente la norma ISO 14118 dentro del conjunto de estandares que orientan el control de energias peligrosas en los procesos de mantenimiento industrial segun el contenido tecnico del programa formativo","C","En el color reglamentario de las etiquetas","En el precio de venta de los equipos industriales","En la gestion de los riesgos relacionados con la energia y su desconexion segura","En los horarios de descanso del personal","","","","","",""
"multiplechoice","BLL","S2 Fuentes y Energia Residual","Yes","¡Correcto! Segun el material del curso, lo correcto es: El dano estructural provocado por vientos fuertes sobre los equipos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Que riesgo esta asociado principalmente con el uso de la energia eolica en los equipos industriales que dependen de esta fuente para su funcionamiento segun el contenido tecnico del programa formativo aplicado al control de energias","B","La contaminacion del suelo por residuos solidos","El dano estructural provocado por vientos fuertes sobre los equipos","El agotamiento inmediato del recurso utilizado","La imposibilidad total de generar electricidad","","","","","",""
"multiplechoice","BLL","S3 Candados Hasp y Etiquetado","Yes","¡Correcto! Segun el material del curso, lo correcto es: Prevenir la activacion accidental del equipo durante el mantenimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Cual es el proposito principal del etiquetado dentro de un programa de bloqueo y etiquetado conocido como LOTO aplicado a los equipos de un entorno industrial durante el mantenimiento segun el contenido tecnico del programa formativo","D","Definir el color de la carcasa del equipo","Medir la corriente que circula por el equipo","Aumentar la eficiencia del equipo intervenido","Prevenir la activacion accidental del equipo durante el mantenimiento","","","","","",""
"multiplechoice","BLL","S4 Proceso LOTOTO y Cero Energia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que el procedimiento se aplico correctamente y que el equipo no puede energizarse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Cuando se realiza la prueba de arranque conocida como tryout al final del proceso LOTOTO que aspecto se busca verificar antes de considerar el equipo listo para el trabajo seguro segun el contenido tecnico del programa formativo","A","Que el procedimiento se aplico correctamente y que el equipo no puede energizarse","Que el equipo alcanza su maxima potencia posible","Que el candado tiene el color reglamentario","Que el precio del equipo se mantiene estable","","","","","",""
"multiplechoice","BLL","S5 Bloqueo Grupal y Turnos","Yes","¡Correcto! Segun el material del curso, lo correcto es: El lider del grupo encargado de coordinar el bloqueo colaborativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BLL.","1","Durante una actividad de bloqueo grupal quien es la persona responsable de comunicar el estado del bloqueo y coordinar al conjunto de trabajadores que intervienen un mismo equipo segun el contenido tecnico del programa formativo","C","El proveedor externo del dispositivo de bloqueo","Cualquier persona ajena al equipo de trabajo","El lider del grupo encargado de coordinar el bloqueo colaborativo","El personal de limpieza del area intervenida","","","","","",""
