"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! La presion aplicada a un fluido confinado se transmite integra y por igual en todas las direcciones, principio base de la potencia fluida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","En un sistema de potencia fluida, la Ley de Pascal establece que la presion aplicada sobre un fluido confinado se transmite de una manera determinada. Cual es esa forma de transmision dentro del fluido?","B","Se concentra unicamente en la direccion del flujo principal del actuador","Se transmite integra y por igual en todas las direcciones del fluido confinado","Se disipa progresivamente a medida que aumenta el area del piston","Se transmite solo hacia las paredes rigidas del cilindro pero no al vastago","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! En la relacion fuerza igual a presion por area, el area corresponde a la superficie del piston sobre la que la presion ejerce la fuerza.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","La relacion fundamental que vincula la fuerza generada por un actuador con la presion del fluido y el area del piston se expresa como fuerza igual a presion multiplicada por area. Que representa el area en esa relacion?","C","La longitud de la carrera del cilindro durante el movimiento","El caudal volumetrico entregado por la bomba al circuito","La superficie del piston sobre la que actua la presion del fluido","La viscosidad del aceite hidraulico empleado en el sistema","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! Con area fija, el caudal determina la velocidad del actuador: mas caudal implica mayor velocidad de movimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","La ecuacion de continuidad relaciona el caudal con el area y la velocidad del actuador. Para un area fija del cilindro, que ocurre con la velocidad del actuador si se incrementa el caudal entregado al sistema?","A","La velocidad del actuador aumenta proporcionalmente al caudal","La velocidad del actuador disminuye al aumentar el caudal","La velocidad permanece constante porque solo depende de la presion","La velocidad se vuelve nula porque el fluido se comprime totalmente","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! Anticipar la velocidad del actuador permite prever movimientos peligrosos, como carreras rapidas que no pueden detenerse a tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","En el analisis de seguridad de maquinaria con potencia fluida, por que resulta relevante comprender la relacion entre caudal y velocidad del actuador antes de abordar los aspectos de ingenieria del sistema?","D","Porque el caudal determina exclusivamente el color de la tuberia usada","Porque la velocidad del actuador no tiene relacion con los riesgos mecanicos","Porque solo la presion define la totalidad del comportamiento del sistema","Porque una mayor velocidad del actuador puede generar movimientos peligrosos dificiles de frenar a tiempo","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! La fuerza se obtiene multiplicando la masa por la aceleracion, base para estimar esfuerzos peligrosos en maquinaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","La segunda ley de Newton describe la relacion entre fuerza, masa y aceleracion de un objeto. Segun esta ley, como se calcula la fuerza aplicada a un objeto a partir de su masa y su aceleracion?","A","Multiplicando la masa por la aceleracion del objeto","Sumando la masa y la aceleracion del objeto","Dividiendo la masa entre la aceleracion del objeto","Dividiendo la aceleracion entre la masa del objeto","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! La energia total de un sistema cerrado permanece constante, transformandose entre distintas formas sin crearse ni destruirse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","La ley de conservacion de la energia es un principio fundamental aplicable a los sistemas mecanicos e hidraulicos. Que afirma este principio respecto de la energia total dentro de un sistema cerrado?","B","Que la energia total aumenta continuamente durante la operacion","Que la energia total permanece constante aunque se transforme entre distintas formas","Que la energia total se destruye al realizar trabajo mecanico","Que la energia total depende solo del color del fluido empleado","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! En el Sistema Internacional, la energia se mide en julios, unidad que cuantifica trabajo y energia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","En el Sistema Internacional de unidades, la energia y el trabajo se cuantifican con una unidad especifica. Cual es la unidad que se emplea comunmente para medir la energia en dicho sistema?","C","El newton por su relacion directa con la fuerza aplicada","El pascal por representar la presion del fluido confinado","El julio como unidad de energia y trabajo en el Sistema Internacional","El watt por corresponder a la potencia instantanea del sistema","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! La velocidad es una magnitud vectorial con direccion, mientras la rapidez es escalar y solo considera la magnitud del movimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","Al distinguir magnitudes cinematicas en un contexto industrial, se diferencia la velocidad de la rapidez. Cual es la diferencia conceptual correcta entre ambas magnitudes?","D","La velocidad es escalar y la rapidez es vectorial con direccion definida","Ambas son identicas y solo cambian por el sistema de unidades usado","La rapidez incluye direccion mientras la velocidad solo mide magnitud","La velocidad es vectorial e incluye direccion y la rapidez es escalar sin direccion","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! El aire es compresible: cambia de volumen bajo presion, propiedad que distingue a los sistemas neumaticos de los hidraulicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","Al comparar sistemas neumaticos e hidraulicos, una propiedad del aire lo diferencia claramente del aceite. Que caracteristica del aire condiciona su comportamiento como fluido de trabajo en potencia fluida?","A","Su compresibilidad, que permite que cambie de volumen bajo presion","Su total incompresibilidad, identica a la del aceite hidraulico","Su incapacidad de transmitir presion dentro de un circuito cerrado","Su rigidez, que impide cualquier variacion de volumen aplicada","","","","","",""
"multiplechoice","CNHSA","B1 Fundamentos Fisicos y Fluidos","Yes","¡Correcto! La baja compresibilidad del aceite le confiere rigidez, aportando control preciso de posicion y mejor sustentacion de cargas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNHSA.","1","En los sistemas hidraulicos, el aceite presenta una propiedad que lo hace idoneo para ciertas aplicaciones frente al aire. Que caracteristica del aceite favorece el control preciso de posicion y la sustentacion de cargas?","B","Su elevada compresibilidad frente a la del aire a presion","Su rigidez o baja compresibilidad, que aporta estabilidad y precision","Su capacidad de expandirse libremente al aumentar la presion","Su tendencia a evaporarse rapidamente durante la operacion","","","","","",""
