"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PREE","S1 Fundamentos Electricos y Equipos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su conductividad electrica como en el cobre o el aluminio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Que caracteristica del material de un conductor influye directamente en su capacidad para transportar corriente dentro de una instalacion electrica","A","Su conductividad electrica como en el cobre o el aluminio","Su color y su presentacion comercial","Su precio de venta en el mercado","Su marca de fabricacion registrada","","","","","",""
"multiplechoice","PREE","S2 Normativa Electrica IEC y NFPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su enfoque en proteger a los trabajadores frente a peligros electricos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Que caracteristica distingue a la norma NFPA 70E de otras normas al centrarse en la seguridad electrica dentro del entorno laboral de los trabajadores","C","Su enfoque en la eficiencia de las redes de datos","Su enfoque en la gestion contable de la empresa","Su enfoque en proteger a los trabajadores frente a peligros electricos","Su enfoque en la calidad del producto final","","","","","",""
"multiplechoice","PREE","S3 Peligros Electricos y Arco Flash","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumentar la distancia reduce la energia incidente sobre la persona.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Que relacion existe entre la distancia de trabajo y la proteccion frente a un arco electrico dentro de las medidas de seguridad electrica del programa","B","Aumentar la distancia incrementa el riesgo","Aumentar la distancia reduce la energia incidente sobre la persona","La distancia carece de efecto sobre el arco","Acercarse al arco reduce la energia recibida","","","","","",""
"multiplechoice","PREE","S4 EPP y Proteccion del Trabajador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que el trabajador este protegido frente al peligro identificado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Que busca garantizar el uso de equipos de proteccion personal adecuados al intervenir instalaciones o equipos con riesgo electrico dentro del trabajo","D","Que el trabajador quede mas expuesto al riesgo","Que se prescinda de otras medidas de seguridad","Que aumente la energia incidente de la tarea","Que el trabajador este protegido frente al peligro identificado","","","","","",""
"multiplechoice","PREE","S5 LOTO Permisos y Reglas de Oro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Impide que el equipo se energice mientras se realiza el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Como contribuye la metodologia de bloqueo y etiquetado a la seguridad del personal que interviene equipos electricos dentro de una instalacion","A","Impide que el equipo se energice mientras se realiza el trabajo","Aumenta la exposicion del personal al riesgo","Sustituye la evaluacion de la energia incidente","Reemplaza el uso de proteccion personal","","","","","",""
"multiplechoice","PREE","S1 Fundamentos Electricos y Equipos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Define el limite termico que el conductor puede soportar con seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Que rol cumple la temperatura maxima de operacion al momento de seleccionar un conductor electrico adecuado para una instalacion segun el curso","C","Determina el color del aislamiento del cable","Fija el precio de compra del conductor","Define el limite termico que el conductor puede soportar con seguridad","Sustituye la necesidad de puesta a tierra","","","","","",""
"multiplechoice","PREE","S2 Normativa Electrica IEC y NFPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite definir medidas de proteccion acordes a cada peligro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Por que resulta relevante clasificar los peligros electricos segun la norma NFPA 70E al planificar un trabajo sobre instalaciones o equipos energizados","B","Porque sustituye la seleccion de conductores","Porque permite definir medidas de proteccion acordes a cada peligro","Porque elimina la necesidad de permisos de trabajo","Porque reduce la eficiencia de la instalacion","","","","","",""
"multiplechoice","PREE","S3 Peligros Electricos y Arco Flash","Yes","¡Correcto! Segun el material del curso, lo correcto es: Lesiones por el paso de corriente a traves del cuerpo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Que tipo de dano fisico se asocia principalmente al contacto directo de una persona con un conductor energizado en una instalacion electrica","D","Perdida de datos del sistema informatico","Reduccion del consumo energetico","Mejora del aislamiento del conductor","Lesiones por el paso de corriente a traves del cuerpo","","","","","",""
"multiplechoice","PREE","S4 EPP y Proteccion del Trabajador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque la proteccion personal complementa pero no sustituye otras medidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Por que resulta insuficiente confiar unicamente en el equipo de proteccion personal sin aplicar otras medidas de seguridad en trabajos electricos","A","Porque la proteccion personal complementa pero no sustituye otras medidas","Porque la proteccion personal reemplaza toda medida","Porque las demas medidas son innecesarias","Porque el equipo elimina por completo el riesgo","","","","","",""
"multiplechoice","PREE","S5 LOTO Permisos y Reglas de Oro","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de riesgo determina si el acceso es seguro o no.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PREE.","1","Que relacion existe entre el analisis de riesgo previo y la decision de permitir el acceso a un area energizada dentro de una instalacion electrica","C","El acceso se permite sin analizar el riesgo","El analisis de riesgo se realiza tras el acceso","El analisis de riesgo determina si el acceso es seguro o no","El analisis de riesgo no influye en el acceso","","","","","",""
