"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MATR","S1 Triple Criterio MDT y Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para atender primero los riesgos de mayor probabilidad y gravedad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","El Triple Criterio permite priorizar los riesgos segun su nivel. Para que sirve clasificar los riesgos por su nivel al aplicar el Triple Criterio segun lo indicado en el material del curso?","A","Para atender primero los riesgos de mayor probabilidad y gravedad","Para eliminar los registros de riesgos menores","Para asignar culpas al personal involucrado","Para reducir el numero de inspecciones anuales","","","","","",""
"multiplechoice","MATR","S2 Metodo NTP 330 del INSHT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque a mayor exposicion aumenta la probabilidad de sufrir el dano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","La frecuencia de exposicion incide en la probabilidad del riesgo. Por que la duracion y frecuencia de la exposicion son variables importantes segun lo indicado en el material del curso?","C","Porque la exposicion no influye en el riesgo","Porque solo importa la temperatura ambiente","Porque a mayor exposicion aumenta la probabilidad de sufrir el dano","Porque reemplazan la identificacion del peligro","","","","","",""
"multiplechoice","MATR","S3 Factores de Riesgo por Puesto","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer controles efectivos en el puesto de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","El objetivo de la matriz por puesto es orientar los controles. Cual es el objetivo principal de la Matriz de Riesgo por Puesto segun lo indicado en el material del curso de la Matriz de Riesgos laborales?","B","Aumentar las ventas de la empresa","Establecer controles efectivos en el puesto de trabajo","Registrar el numero de clientes","Disenar la publicidad del negocio","","","","","",""
"multiplechoice","MATR","S4 Matriz Rutinarias y No Rutinarias","Yes","¡Correcto! Segun el material del curso, lo correcto es: La no rutinaria requiere una evaluacion especifica por su caracter excepcional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","La matriz de riesgos registra los peligros de cada tipo de actividad. Que diferencia principal existe entre valorar una tarea rutinaria y una no rutinaria segun el material del curso?","D","Ambas se valoran sin ninguna diferencia","La rutinaria no requiere valoracion","La no rutinaria se ignora en la matriz","La no rutinaria requiere una evaluacion especifica por su caracter excepcional","","","","","",""
"multiplechoice","MATR","S5 Controles Riesgo Residual y SUT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar si el riesgo restante es aceptable o requiere controles adicionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","El riesgo residual se compara con un nivel aceptable tras los controles. Que decision permite conocer el riesgo residual despues de aplicar los controles segun el material del curso de la Matriz?","A","Determinar si el riesgo restante es aceptable o requiere controles adicionales","Determinar el precio de venta del producto","Elegir la publicidad de la empresa","Calcular las utilidades del negocio","","","","","",""
"multiplechoice","MATR","S1 Triple Criterio MDT y Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y prevenir los riesgos antes de que se materialicen.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","La gestion de riesgos proactiva anticipa los eventos peligrosos. Que implica la gestion proactiva de los riesgos segun lo indicado en el material del curso de la Matriz de Riesgos?","C","Actuar solo despues de ocurrido el accidente","Ignorar los riesgos hasta que causen dano","Identificar y prevenir los riesgos antes de que se materialicen","Registrar los riesgos sin tomar medidas","","","","","",""
"multiplechoice","MATR","S2 Metodo NTP 330 del INSHT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite valorar los riesgos de forma consistente y comparable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","El metodo de la NTP 330 aporta objetividad a la evaluacion. Que ventaja ofrece aplicar un metodo estructurado como la NTP 330 segun lo indicado en el material del curso de la Matriz?","B","Permite valorar sin considerar la exposicion","Permite valorar los riesgos de forma consistente y comparable","Elimina la necesidad de identificar peligros","Hace subjetiva la clasificacion del riesgo","","","","","",""
"multiplechoice","MATR","S3 Factores de Riesgo por Puesto","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las dimensiones fisicas del lugar de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","Un elemento no propio de la matriz por puesto debe distinguirse de los reales. Cual de los siguientes NO es un elemento tipico de una matriz por puesto segun lo indicado en el material del curso?","D","El peligro identificado en el puesto","El nivel de riesgo valorado","Los controles propuestos para el riesgo","Las dimensiones fisicas del lugar de trabajo","","","","","",""
"multiplechoice","MATR","S4 Matriz Rutinarias y No Rutinarias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evita que su falta de competencia genere incidentes en el lugar de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","La gestion de contratistas protege a todos los presentes en el lugar. Que riesgo previene evaluar la seguridad de los contratistas antes de sus tareas segun el material del curso?","A","Evita que su falta de competencia genere incidentes en el lugar de trabajo","Evita que la empresa realice inspecciones","Impide que la empresa capacite a su personal","Reduce la senalizacion del area de trabajo","","","","","",""
"multiplechoice","MATR","S5 Controles Riesgo Residual y SUT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque las medidas sobre el origen son mas confiables y no dependen del factor humano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","La jerarquia de controles prioriza actuar sobre el origen del riesgo. Por que se prefiere eliminar o sustituir el peligro antes que usar EPP segun lo indicado en el material del curso de la Matriz?","C","Porque el EPP elimina el peligro por completo","Porque el origen del peligro no puede modificarse","Porque las medidas sobre el origen son mas confiables y no dependen del factor humano","Porque la sustitucion aumenta el riesgo","","","","","",""
"multiplechoice","MATR","S1 Triple Criterio MDT y Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger la salud y la seguridad de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MATR.","1","El objetivo final de la gestion de riesgos orienta todo el proceso. Cual es el principal objetivo de la aplicacion practica de la gestion de riesgos segun lo indicado en el material del curso?","B","Aumentar las ventas de la empresa","Proteger la salud y la seguridad de los trabajadores","Reducir el numero de trabajadores","Eliminar los registros de la empresa","","","","","",""
