"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TAGAL","S1 Norma G050 y Jerarquia Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: La Norma G050 de seguridad durante la construccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","Segun el material del curso, la norma peruana que establece los requisitos minimos de seguridad y salud en el trabajo para el sector construccion corresponde principalmente a cual norma que orienta la prevencion de riesgos en las obras del pais?","A","La Norma G050 de seguridad durante la construccion","Una norma exclusivamente comercial sobre precios de obra","Un reglamento tributario aplicable a las constructoras","Una norma internacional sin aplicacion en el Peru","","","","","",""
"multiplechoice","TAGAL","S2 Sistema de Detencion de Caidas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detener la caida del trabajador y limitar el impacto sobre su cuerpo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","Segun el material del curso, el sistema personal de detencion de caidas cumple una funcion esencial en el trabajo en altura porque su proposito principal consiste en lograr cual objetivo frente a una posible caida del trabajador de la obra?","C","Aumentar la velocidad de las tareas de construccion","Reducir el precio de los materiales de la obra","Detener la caida del trabajador y limitar el impacto sobre su cuerpo","Difundir la marca de la constructora en el mercado","","","","","",""
"multiplechoice","TAGAL","S3 Fall Clearance y Swing Fall","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que exista espacio suficiente para detener la caida sin impacto contra el suelo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","Segun el material del curso, el objetivo principal del concepto de distancia de caida libre, conocido como fall clearance, en el trabajo en altura consiste en lograr cual proposito vinculado a la seguridad del trabajador durante una posible caida en la obra?","B","Asegurar el precio mas bajo de los materiales de la obra","Asegurar que exista espacio suficiente para detener la caida sin impacto contra el suelo","Asegurar la difusion de la marca de la constructora","Asegurar la atencion de los clientes de la obra","","","","","",""
"multiplechoice","TAGAL","S4 Planes y Verificacion en Altura","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar que se cumplan las condiciones de seguridad antes de la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","Segun el material del curso, el objetivo principal de realizar una lista de verificacion en un proyecto de trabajo en altura consiste en lograr cual proposito vinculado al control de las condiciones de seguridad antes de iniciar la tarea en la obra?","D","Verificar los precios de venta de los materiales de obra","Verificar las campanas publicitarias de la constructora","Verificar la cartera de clientes comerciales de la empresa","Verificar que se cumplan las condiciones de seguridad antes de la tarea","","","","","",""
"multiplechoice","TAGAL","S5 Trauma por Suspension y Rescate","Yes","¡Correcto! Segun el material del curso, lo correcto es: La acumulacion de sangre en las piernas que reduce el retorno al corazon.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","Segun el material del curso, uno de los principales mecanismos fisiologicos que provoca la perdida de conciencia durante el trauma por suspension se relaciona principalmente con cual efecto que ocurre en el cuerpo del trabajador suspendido tras una caida?","A","La acumulacion de sangre en las piernas que reduce el retorno al corazon","El aumento del precio de los materiales de la obra","El aumento de la difusion de la marca de la constructora","El aumento de la cartera de clientes de la empresa","","","","","",""
"multiplechoice","TAGAL","S1 Norma G050 y Jerarquia Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Vigilar el cumplimiento de las medidas de seguridad en la obra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","De acuerdo con el contenido del curso, en la construccion en el Peru, la principal responsabilidad del supervisor de seguridad se orienta principalmente a lograr cual objetivo vinculado a las condiciones de trabajo del personal de la obra?","C","Fijar los precios de venta de los materiales de obra","Administrar las planillas de remuneraciones del personal","Vigilar el cumplimiento de las medidas de seguridad en la obra","Definir las campanas publicitarias de la constructora","","","","","",""
"multiplechoice","TAGAL","S2 Sistema de Detencion de Caidas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Disipar la energia de la caida para reducir el impacto sobre el cuerpo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","De acuerdo con el contenido del curso, la funcion principal del absorbedor de energia dentro de un sistema de seguridad en altura se relaciona principalmente con cual efecto que protege al trabajador durante la detencion de una caida en la obra?","B","Disipar el costo de los materiales de la construccion","Disipar la energia de la caida para reducir el impacto sobre el cuerpo","Disipar la difusion de la marca de la constructora","Disipar la atencion de los clientes de la obra","","","","","",""
"multiplechoice","TAGAL","S3 Fall Clearance y Swing Fall","Yes","¡Correcto! Segun el material del curso, lo correcto es: La longitud del sistema de conexion y la elongacion del absorbedor de energia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","De acuerdo con el contenido del curso, uno de los componentes cruciales para calcular la distancia de caida, conocida como fall clearance, se relaciona principalmente con cual factor que interviene en la distancia total recorrida por el trabajador durante la caida?","D","El precio de los materiales utilizados en la construccion","El alcance de las campanas publicitarias de la constructora","El volumen de compra de los clientes de la empresa","La longitud del sistema de conexion y la elongacion del absorbedor de energia","","","","","",""
"multiplechoice","TAGAL","S4 Planes y Verificacion en Altura","Yes","¡Correcto! Segun el material del curso, lo correcto es: El estado y la disponibilidad de los equipos de proteccion contra caidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","De acuerdo con el contenido del curso, en el contexto de una lista de verificacion de seguridad para el trabajo en altura, un elemento fundamental a verificar se relaciona principalmente con cual aspecto vinculado a la proteccion del trabajador de la obra?","A","El estado y la disponibilidad de los equipos de proteccion contra caidas","El precio de venta de los materiales de la construccion","La difusion de las campanas publicitarias de la constructora","La cartera de clientes comerciales de la empresa","","","","","",""
"multiplechoice","TAGAL","S5 Trauma por Suspension y Rescate","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los signos de mareo, palidez o perdida de fuerza en el trabajador suspendido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAGAL.","1","De acuerdo con el contenido del curso, una senal critica que puede indicar el inicio del trauma por suspension en un trabajador suspendido tras una caida se relaciona principalmente con cual sintoma que evidencia el deterioro de su estado durante la suspension?","C","Los signos de aumento del precio de los materiales","Los signos de aumento de la difusion de la marca","Los signos de mareo, palidez o perdida de fuerza en el trabajador suspendido","Los signos de aumento de la cartera de clientes","","","","","",""
