"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger la salud y seguridad de los trabajadores en el entorno laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","En el marco del curso Seis Sigma Aplicado a la Reduccion de Accidentes, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el proposito principal de la normativa de seguridad industrial en contextos de alto riesgo?","A","Proteger la salud y seguridad de los trabajadores en el entorno laboral.","Garantizar la competitividad de la empresa sin importar las condiciones laborales.","Incrementar la productividad a costa de la seguridad.","Reducir costos operativos a traves de la eliminacion de medidas de seguridad.","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cubrir los principales documentos legales y normativas que regulan la seguridad y salud en el trabajo, como la Ley de Seguridad y Salud en el Trabajo, reglamentaciones especificas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","Segun los contenidos desarrollados en el curso Seis Sigma Aplicado a la Reduccion de Accidentes, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Describe brevemente el marco normativo de la seguridad y salud en el trabajo en el contexto industrial.","C","Beneficios como la reduccion de accidentes laborales, la mejora en la moral del trabajador y la consecuente productividad, el cumplimiento de las obligaciones legales y la proteccion de la imagen corporativa.","La autoevaluacion es crucial en e-learning porque permite a los estudiantes reflexionar sobre su aprendizaje, identificar areas de mejora y ajustar sus estrategias de estudio.","Cubrir los principales documentos legales y normativas que regulan la seguridad y salud en el trabajo, como la Ley de Seguridad y Salud en el Trabajo, reglamentaciones especificas","El valor p es una medida que ayuda a los estadisticos a determinar la significacion de los resultados obtenidos en un analisis.","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomentar la participacion activa de todos los niveles de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","Con base en el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que medida es esencial para implementar una cultura de mejora continua en procesos industriales?","B","Realizar auditorias anuales sin seguimiento continuado.","Fomentar la participacion activa de todos los niveles de la organizacion.","Adoptar una actitud conformista ante los problemas existentes.","Limitar las capacitaciones a la alta direccion solamente.","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Beneficios como la reduccion de accidentes laborales, la mejora en la moral del trabajador y la consecuente productividad, el cumplimiento de las obligaciones legales y la proteccion de la imagen corporativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","Tomando en cuenta lo estudiado en el curso Seis Sigma Aplicado a la Reduccion de Accidentes sobre este tema especifico y las buenas practicas descritas en el material, responde: Cuales son los beneficios de aplicar un marco normativo en seguridad industrial en las empresas?","D","Un 'Process Owner' es el responsable directo de la supervision y el desempenio de un proceso especifico dentro de una organizacion.","El valor p es una medida que ayuda a los estadisticos a determinar la significacion de los resultados obtenidos en un analisis.","El procedimiento de seguimiento en auditorias y mejora continua involucra varias etapas que aseguran que las iniciativas de mejora se implementen efectivamente.","Beneficios como la reduccion de accidentes laborales, la mejora en la moral del trabajador y la consecuente productividad, el cumplimiento de las obligaciones legales y la proteccion de la imagen corporativa.","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ignorar los reportes de incidentes anteriores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes, responde con precision: Cual de los siguientes aspectos no forma parte de una evaluacion adecuada de riesgos en el ambiente industrial?","B","Implementacion de medidas correctivas para eliminar los peligros potenciales.","Ignorar los reportes de incidentes anteriores.","Identificacion de peligros presentes en el sitio de trabajo.","Evaluacion del impacto de los peligros sobre los trabajadores.","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes, responde con precision: Cual de los siguientes verbos medibles es mas adecuado para evaluar el impacto de una mejora en un proyecto Six Sigma en HSE?","D","Analizar","Considerar","Examinar","Reducir","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: La medida de la variabilidad o dispersion de un conjunto de datos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","En el marco del curso Seis Sigma Aplicado a la Reduccion de Accidentes, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: En el contexto de Six Sigma, que significa el termino 'Desviacion estandar'?","A","La medida de la variabilidad o dispersion de un conjunto de datos","Un modelo para analizar el rendimiento en proyectos","Un metodo para calcular la satisfaccion del cliente","Una medida de la media aritmetica de un conjunto de datos","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer metas cuantitativas especificas y alcanzables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes, responde con precision: Cual de los siguientes es un objetivo adecuado al establecer indicadores de desempenio en un proyecto Six Sigma HSE?","C","Improvisar segun el avance del proyecto","Realizar auditorias aleatorias","Establecer metas cuantitativas especificas y alcanzables","Documentar solo los resultados positivos","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Lidera proyectos y toma decisiones estrategicas basadas en el analisis de datos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","Con base en el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que rol juega la figura del 'Black Belt' en un proyecto Six Sigma HSE?","C","Ejecuta tareas de administracion de recursos","Realiza capacitacion basica en metodologias Six Sigma","Lidera proyectos y toma decisiones estrategicas basadas en el analisis de datos","Es responsable unicamente de la recoleccion de datos","","","","","",""
"multiplechoice","SSRA","C1 Fundamentos Six Sigma y DMAIC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Flexibilidad para aprender a su propio ritmo y en diferentes momentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","Tomando en cuenta lo estudiado en el curso Seis Sigma Aplicado a la Reduccion de Accidentes sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de las siguientes caracteristicas define mejor la modalidad e-learning?","A","Flexibilidad para aprender a su propio ritmo y en diferentes momentos.","Dependencia total de la asistencia fisica a aulas tradicionales.","Limitacion de recursos didacticos a materiales impresos.","Interactividad constante con un instructor presente en todo momento.","","","","","",""
"multiplechoice","SSRA","C2 Fase Define VOC y SIPOC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Tomar decisiones sobre su propio aprendizaje y el tiempo dedicado a ello.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSRA.","1","De acuerdo con los fundamentos presentados en el curso Seis Sigma Aplicado a la Reduccion de Accidentes, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: En la logica autoadministrada, el estudiante debe:","A","Tomar decisiones sobre su propio aprendizaje y el tiempo dedicado a ello.","Limitarse a un unico estilo de aprendizaje propuesto por el profesor.","Esperar que el contenido se le entregue en el aula cada semana.","Confiar en el instructor exclusivamente para el seguimiento de su progreso.","","","","","",""
