"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SUPSST","S1 Rol y Funciones del Supervisor","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger la vida y la salud de los trabajadores mediante la prevencion de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","Segun el material del curso, el principal objetivo del marco normativo en la gestion de la seguridad y salud en el trabajo se orienta a lograr cual proposito vinculado a las condiciones laborales de los trabajadores?","A","Proteger la vida y la salud de los trabajadores mediante la prevencion de riesgos","Reducir los costos operativos por encima de la seguridad","Trasladar la responsabilidad preventiva a los trabajadores","Eliminar las obligaciones del empleador ante accidentes","","","","","",""
"multiplechoice","SUPSST","S2 Sistema Simplificado MYPE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar a las micro y pequenas empresas el cumplimiento de la seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","Segun el material del curso, el principal objetivo de la norma que aprueba el sistema simplificado de gestion en relacion con las micro y pequenas empresas se orienta a lograr cual proposito dentro de la gestion preventiva de estas unidades?","C","Eximir a las micro y pequenas empresas de toda obligacion","Aumentar los tributos que deben pagar estas empresas","Facilitar a las micro y pequenas empresas el cumplimiento de la seguridad y salud","Reducir la proteccion de los trabajadores de estas empresas","","","","","",""
"multiplechoice","SUPSST","S3 IPERC y Jerarquia de Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar los peligros, evaluar los riesgos y definir los controles necesarios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","Segun el material del curso, el proposito principal de un analisis IPERC, que corresponde a la identificacion de peligros y evaluacion de riesgos y controles, se orienta a lograr cual objetivo dentro de la gestion preventiva de la empresa?","B","Determinar el volumen de ventas del ejercicio comercial","Identificar los peligros, evaluar los riesgos y definir los controles necesarios","Fijar los precios de venta de los productos ofertados","Definir las campanas publicitarias de la marca corporativa","","","","","",""
"multiplechoice","SUPSST","S4 Senalizacion y Mapa de Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Representar de forma grafica la ubicacion de los peligros y riesgos del centro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","Segun el material del curso, la funcion principal de un mapa de riesgos en una empresa se orienta a lograr cual objetivo vinculado a la representacion de los peligros dentro del centro de labores de la organizacion?","D","Representar el volumen de ventas de cada area comercial","Representar los precios de los productos de la empresa","Representar las campanas publicitarias de la marca","Representar de forma grafica la ubicacion de los peligros y riesgos del centro","","","","","",""
"multiplechoice","SUPSST","S5 Investigacion e Inspecciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ordenar los eventos segun su tipo para analizarlos y prevenir su repeticion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","Segun el material del curso, el principal objetivo de clasificar los eventos en el contexto de la seguridad y salud en el trabajo se orienta a lograr cual proposito util para el analisis y la prevencion dentro de la empresa?","A","Ordenar los eventos segun su tipo para analizarlos y prevenir su repeticion","Determinar el volumen de ventas del ejercicio comercial","Fijar los precios de venta de los productos ofertados","Definir las campanas publicitarias de la marca corporativa","","","","","",""
"multiplechoice","SUPSST","S1 Rol y Funciones del Supervisor","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ser un trabajador de la empresa con la capacidad para cumplir las funciones preventivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","De acuerdo con el contenido del curso, un aspecto fundamental para la eleccion de un Supervisor de Seguridad y Salud en el Trabajo se relaciona principalmente con cual condicion que respalda su idoneidad para ejercer el cargo?","C","Ser un proveedor externo con contrato comercial vigente","Ser un cliente frecuente de los productos de la empresa","Ser un trabajador de la empresa con la capacidad para cumplir las funciones preventivas","Ser un familiar directo de algun accionista de la empresa","","","","","",""
"multiplechoice","SUPSST","S2 Sistema Simplificado MYPE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un diagnostico inicial y una politica de seguridad y salud adaptada a la empresa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","De acuerdo con el contenido del curso, entre los componentes del sistema simplificado de gestion de seguridad y salud recomendado para las micro y pequenas empresas se incluye principalmente cual elemento basico de la gestion preventiva?","B","Un plan de campanas publicitarias de la marca","Un diagnostico inicial y una politica de seguridad y salud adaptada a la empresa","Un catalogo de productos comerciales de la empresa","Un registro contable de las facturas emitidas","","","","","",""
"multiplechoice","SUPSST","S3 IPERC y Jerarquia de Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: La probabilidad de ocurrencia y la severidad de las consecuencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","De acuerdo con el contenido del curso, en una matriz de evaluacion de riesgos, los ejes representan principalmente cuales dos variables cuya combinacion permite valorar el nivel de riesgo asociado a cada peligro identificado?","D","El precio de venta y el costo de produccion del bien","El volumen de ventas y el numero de clientes atendidos","La cantidad de publicidad y el alcance de la marca","La probabilidad de ocurrencia y la severidad de las consecuencias","","","","","",""
"multiplechoice","SUPSST","S4 Senalizacion y Mapa de Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Advertir sobre los peligros y orientar sobre las conductas seguras a seguir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","De acuerdo con el contenido del curso, la senalizacion en un entorno laboral resulta importante principalmente porque cumple cual funcion vinculada a la prevencion de riesgos y a la seguridad de los trabajadores del centro?","A","Advertir sobre los peligros y orientar sobre las conductas seguras a seguir","Difundir las ofertas comerciales a los clientes externos","Fijar los precios de los productos de la empresa","Publicitar la marca corporativa en los medios masivos","","","","","",""
"multiplechoice","SUPSST","S5 Investigacion e Inspecciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las fallas de la gestion o de la organizacion que subyacen al evento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SUPSST.","1","De acuerdo con el contenido del curso, en una investigacion de incidentes, las causas latentes se clasifican principalmente como aquellas que se relacionan con cual nivel de origen del evento dentro de la organizacion?","C","Las decisiones sobre los precios de venta de los productos","Las estrategias publicitarias de la marca corporativa","Las fallas de la gestion o de la organizacion que subyacen al evento","La cartera de clientes atendidos por la empresa","","","","","",""
