"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SIALA","S1 Base SST Actos y Condiciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que todos los trabajadores cumplan las normas de seguridad y esten capacitados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, cual de las siguientes opciones describe mejor la responsabilidad principal de un supervisor dentro de la gestion de la seguridad industrial en una instalacion productiva?","A","Asegurar que todos los trabajadores cumplan las normas de seguridad y esten capacitados","Ejecutar personalmente todas las tareas de riesgo","Delegar la seguridad exclusivamente a los operarios","Ignorar los reportes de condiciones inseguras","","","","","",""
"multiplechoice","SIALA","S2 Peligros y Valoracion Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: El ruido excesivo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, cual de los siguientes constituye un ejemplo tipico de peligro fisico dentro de un entorno industrial donde los trabajadores realizan tareas de operacion y mantenimiento?","C","La manipulacion de sustancias inflamables","La exposicion a virus y bacterias","El ruido excesivo","La presion por los plazos de entrega","","","","","",""
"multiplechoice","SIALA","S3 Jerarquia Control y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Minimizar la exposicion de los trabajadores a los peligros en el lugar de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, cual es el proposito principal de aplicar la jerarquia de control dentro de la gestion de los riesgos laborales de una organizacion industrial de proceso?","B","Aumentar la produccion sin ninguna proteccion","Minimizar la exposicion de los trabajadores a los peligros en el lugar de trabajo","Reducir el numero de trabajadores operativos","Eliminar la necesidad de evaluar los riesgos","","","","","",""
"multiplechoice","SIALA","S4 Maquinas y Trabajos Criticos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegura que las maquinas se detengan de forma segura en situaciones de emergencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, cual de las siguientes opciones describe mejor la importancia de un enclavamiento dentro de un sistema de seguridad aplicado a la maquinaria industrial de una planta?","D","Aumenta la velocidad de operacion de la maquina","Facilita el acceso directo a las partes moviles","Reduce la necesidad de mantenimiento del equipo","Asegura que las maquinas se detengan de forma segura en situaciones de emergencia","","","","","",""
"multiplechoice","SIALA","S5 Investigacion y Cultura Segura","Yes","¡Correcto! Segun el material del curso, lo correcto es: La notificacion del incidente a los supervisores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, cual es el primer paso que debe realizarse dentro del proceso de investigacion de un incidente laboral ocurrido en una instalacion industrial de proceso o manufactura?","A","La notificacion del incidente a los supervisores","La aplicacion inmediata de sanciones","El olvido del evento para evitar molestias","La modificacion de la escena del incidente","","","","","",""
"multiplechoice","SIALA","S1 Base SST Actos y Condiciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Situaciones o elementos del ambiente laboral que aumentan el riesgo de accidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","De acuerdo con el material del curso, como se definen las condiciones inseguras dentro de un entorno de trabajo industrial que gestiona diversos riesgos operativos de forma cotidiana?","C","Comportamientos correctos de los trabajadores","Medidas de proteccion que reducen los riesgos","Situaciones o elementos del ambiente laboral que aumentan el riesgo de accidentes","Procedimientos aprobados para tareas seguras","","","","","",""
"multiplechoice","SIALA","S2 Peligros y Valoracion Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las cargas pesadas y las posturas forzadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","De acuerdo con el material del curso, que tipo de peligros se clasifican como ergonomicos dentro de la identificacion de peligros presentes en un entorno laboral industrial de trabajo?","B","Los cortocircuitos electricos","Las cargas pesadas y las posturas forzadas","Las fugas de gases toxicos","Las superficies a alta temperatura","","","","","",""
"multiplechoice","SIALA","S3 Jerarquia Control y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los controles de ingenieria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","El material del curso presenta la jerarquia de control. Que tipo de medidas se consideran mas eficaces que los controles administrativos y el equipo de proteccion dentro de dicha jerarquia?","D","El equipo de proteccion personal","La senalizacion de advertencia","Los procedimientos escritos unicamente","Los controles de ingenieria","","","","","",""
"multiplechoice","SIALA","S4 Maquinas y Trabajos Criticos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detener inmediatamente todas las operaciones de la maquina.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","El material del curso describe el sistema de parada de emergencia. Segun el curso, cual es la funcion principal que cumple el boton de parada de emergencia dentro de la maquinaria industrial?","A","Detener inmediatamente todas las operaciones de la maquina","Aumentar la velocidad de la maquina","Iniciar el ciclo de trabajo del equipo","Desactivar la senalizacion de seguridad","","","","","",""
"multiplechoice","SIALA","S5 Investigacion y Cultura Segura","Yes","¡Correcto! Segun el material del curso, lo correcto es: La razon subyacente que origino el incidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","El material del curso describe la metodologia de investigacion de incidentes. Segun el curso, que representa la causa raiz de un evento dentro del analisis de un incidente laboral en la industria?","C","El sintoma visible del incidente","La consecuencia final del evento","La razon subyacente que origino el incidente","El nombre del trabajador involucrado","","","","","",""
"multiplechoice","SIALA","S1 Base SST Actos y Condiciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: No utilizar el equipo de proteccion personal adecuado durante tareas de riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, cual de las siguientes situaciones constituye un ejemplo tipico de acto inseguro dentro de la practica laboral en un entorno industrial de riesgo?","B","Instalar un resguardo en la maquinaria","No utilizar el equipo de proteccion personal adecuado durante tareas de riesgo","Reportar una fuga detectada en el proceso","Seguir el procedimiento de bloqueo de energia","","","","","",""
"multiplechoice","SIALA","S2 Peligros y Valoracion Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La presencia de sustancias inflamables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, entre los ejemplos industriales presentados, cual de las siguientes situaciones se considera un peligro quimico dentro de la clasificacion de peligros laborales?","D","El ruido de la maquinaria pesada","Las posturas forzadas del trabajador","Las vibraciones de las herramientas","La presencia de sustancias inflamables","","","","","",""
"multiplechoice","SIALA","S3 Jerarquia Control y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Actuar como ultima linea de defensa para proteger a los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, cual de las siguientes afirmaciones describe mejor la funcion del equipo de proteccion personal dentro de la jerarquia de control de riesgos laborales en la industria?","A","Actuar como ultima linea de defensa para proteger a los trabajadores","Ser la primera y unica medida de control","Eliminar el peligro directamente en su origen","Sustituir a los controles de ingenieria","","","","","",""
"multiplechoice","SIALA","S4 Maquinas y Trabajos Criticos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La deteccion de la presencia de un operario en la zona peligrosa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, que condicion podria activar un sistema de resguardos con deteccion en las lineas de produccion dentro de una instalacion industrial automatizada de manufactura?","C","El aumento de la produccion de la linea","La ausencia total de trabajadores","La deteccion de la presencia de un operario en la zona peligrosa","La correcta operacion del equipo","","","","","",""
"multiplechoice","SIALA","S5 Investigacion y Cultura Segura","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar e implementar acciones correctivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","Segun el material del curso, cual de las siguientes acciones debe tomarse una vez que se ha determinado la causa raiz de un incidente durante su investigacion dentro de la organizacion industrial?","B","Ocultar los hallazgos de la investigacion","Desarrollar e implementar acciones correctivas","Cerrar el caso sin ninguna medida","Sancionar al trabajador sin analizar causas","","","","","",""
"multiplechoice","SIALA","S1 Base SST Actos y Condiciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: El acto inseguro depende del comportamiento de la persona y la condicion insegura del entorno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIALA.","1","El material del curso distingue entre actos y condiciones inseguras. Cual es la diferencia fundamental entre un acto inseguro y una condicion insegura dentro del entorno laboral industrial?","D","Ambos conceptos son identicos e intercambiables","El acto inseguro se refiere solo al equipo","La condicion insegura depende de la conducta","El acto inseguro depende del comportamiento de la persona y la condicion insegura del entorno","","","","","",""
