"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SVIAL","S1 ISO 39001 y Marcos Globales","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar un estandar internacional para la gestion de la seguridad vial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, cual fue el principal objetivo que motivo el desarrollo de la norma ISO 39001 dentro del ambito de la gestion organizacional de la seguridad vial en las organizaciones?","A","Proporcionar un estandar internacional para la gestion de la seguridad vial","Certificar la calidad de los vehiculos fabricados","Regular unicamente el precio de los combustibles","Sustituir toda la legislacion nacional de transito","","","","","",""
"multiplechoice","SVIAL","S2 Vision Zero y Safe System","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las muertes y lesiones graves en el transito son inaceptables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, cual es el principio fundamental sobre el que se sustenta la filosofia de Vision Zero dentro del enfoque de la gestion de la seguridad vial en las organizaciones y los paises?","C","Un cierto numero de muertes es aceptable por movilidad","La velocidad debe priorizarse sobre la seguridad","Las muertes y lesiones graves en el transito son inaceptables","La responsabilidad recae solo en el conductor","","","","","",""
"multiplechoice","SVIAL","S3 Factores de Riesgo y Exposicion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las distracciones al volante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, cual de los siguientes se considera un factor de riesgo especialmente relevante en la exposicion vial durante las operaciones de transporte de una organizacion con flota de vehiculos?","B","El color del vehiculo utilizado","Las distracciones al volante","La marca comercial del combustible","El horario de las reuniones administrativas","","","","","",""
"multiplechoice","SVIAL","S4 Gestion del Conductor y Vehiculo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar la aptitud fisica y mental para conducir de manera segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, cual es el principal objetivo de realizar una evaluacion medica del conductor dentro de la gestion de la seguridad vial de una organizacion que opera una flota de transporte?","D","Aumentar la carga administrativa sin proposito","Reducir el numero de conductores contratados","Eliminar la capacitacion de los conductores","Determinar la aptitud fisica y mental para conducir de manera segura","","","","","",""
"multiplechoice","SVIAL","S5 Tecnologia KPI y Siniestros","Yes","¡Correcto! Segun el material del curso, lo correcto es: El frenado automatico de emergencia del vehiculo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, que significa la sigla AEB dentro del contexto de los sistemas avanzados de seguridad automotriz aplicados a los vehiculos de una flota de transporte de la organizacion?","A","El frenado automatico de emergencia del vehiculo","El ajuste electronico del combustible","El apagado electrico de la bateria","El aviso electronico de bocina","","","","","",""
"multiplechoice","SVIAL","S1 ISO 39001 y Marcos Globales","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para facilitar la integracion de los diferentes sistemas de gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","De acuerdo con el material del curso, para que se implementa la Estructura de Alto Nivel, conocida como HLS, dentro de las normas de sistemas de gestion como la norma ISO 39001 de seguridad vial?","C","Para aumentar la complejidad de la documentacion","Para separar por completo los sistemas de gestion","Para facilitar la integracion de los diferentes sistemas de gestion","Para eliminar la mejora continua del sistema","","","","","",""
"multiplechoice","SVIAL","S2 Vision Zero y Safe System","Yes","¡Correcto! Segun el material del curso, lo correcto es: Hacer la infraestructura mas perdonadora ante los errores humanos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","De acuerdo con el material del curso, dentro del enfoque conocido como Safe System o Sistema Seguro, que se busca lograr principalmente al intervenir la infraestructura vial de una organizacion o territorio?","B","Aumentar la velocidad de circulacion permitida","Hacer la infraestructura mas perdonadora ante los errores humanos","Eliminar la senalizacion de las vias","Trasladar toda la responsabilidad al conductor","","","","","",""
"multiplechoice","SVIAL","S3 Factores de Riesgo y Exposicion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El comportamiento, la aptitud y las condiciones del conductor que influyen en el riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","El material del curso presenta el factor humano dentro de los factores del sistema vial. Segun el curso, que abarca principalmente este factor dentro del analisis del riesgo vial de una organizacion de transporte?","D","Unicamente el estado mecanico del vehiculo","Solamente el estado de la via","Exclusivamente las condiciones climaticas","El comportamiento, la aptitud y las condiciones del conductor que influyen en el riesgo","","","","","",""
"multiplechoice","SVIAL","S4 Gestion del Conductor y Vehiculo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La apnea del sueno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","De acuerdo con el material del curso, que condicion medica se asocia comunmente con un mayor riesgo de siniestros de transito debido a la somnolencia que provoca en el conductor durante la conduccion?","A","La apnea del sueno","Una fractura ya consolidada","Una alergia estacional leve","Una miopia corregida con lentes","","","","","",""
"multiplechoice","SVIAL","S5 Tecnologia KPI y Siniestros","Yes","¡Correcto! Segun el material del curso, lo correcto es: El monitoreo de la ubicacion y del comportamiento del conductor en tiempo real.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","De acuerdo con el material del curso, en el contexto de la telematica, cual es una de sus principales aplicaciones dentro de la gestion de las flotas de transporte de una organizacion que busca mejorar su seguridad vial?","C","La fabricacion de nuevos vehiculos","La regulacion del precio del combustible","El monitoreo de la ubicacion y del comportamiento del conductor en tiempo real","La eliminacion de la gestion de la flota","","","","","",""
"multiplechoice","SVIAL","S1 ISO 39001 y Marcos Globales","Yes","¡Correcto! Segun el material del curso, lo correcto es: El marco propone reducir el numero global de muertes y lesiones graves en las carreteras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, cual de las siguientes afirmaciones se relaciona directamente con las metas del marco global de la Organizacion de Naciones Unidas respecto a la seguridad vial en el mundo?","B","El marco busca aumentar la velocidad en las vias","El marco propone reducir el numero global de muertes y lesiones graves en las carreteras","El marco elimina la necesidad de gestionar el riesgo","El marco prioriza la movilidad sobre la seguridad","","","","","",""
"multiplechoice","SVIAL","S2 Vision Zero y Safe System","Yes","¡Correcto! Segun el material del curso, lo correcto es: Buscar un equilibrio que acepte cierto nivel de muertes por movilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, cual de los siguientes aspectos NO constituye un componente clave del enfoque Vision Zero dentro de la filosofia de la gestion de la seguridad vial orientada a la eliminacion de siniestros graves?","D","Considerar inaceptables las muertes y lesiones graves","Disenar un sistema que tolere los errores humanos","Compartir la responsabilidad entre los actores del sistema","Buscar un equilibrio que acepte cierto nivel de muertes por movilidad","","","","","",""
"multiplechoice","SVIAL","S3 Factores de Riesgo y Exposicion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El estado mecanico, el mantenimiento y los sistemas de seguridad del vehiculo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, que abarca el factor vehiculo dentro de los factores que influyen en el riesgo vial de una organizacion que gestiona una flota de transporte de manera preventiva y sistematica?","A","El estado mecanico, el mantenimiento y los sistemas de seguridad del vehiculo","El comportamiento del conductor unicamente","El estado de la via de circulacion","Las condiciones del entorno externo","","","","","",""
"multiplechoice","SVIAL","S4 Gestion del Conductor y Vehiculo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mantener una velocidad constante y evitar los frenazos bruscos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, cual de las siguientes practicas constituye un ejemplo tipico de eco-driving dentro de la conduccion eficiente y segura promovida en la gestion de la flota de una organizacion de transporte?","C","Acelerar y frenar de forma brusca","Conducir a velocidades excesivas","Mantener una velocidad constante y evitar los frenazos bruscos","Ignorar el mantenimiento del vehiculo","","","","","",""
"multiplechoice","SVIAL","S5 Tecnologia KPI y Siniestros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar la eficiencia en la gestion de la flota.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, cual es el principal proposito de un indicador clave de desempeno, conocido como KPI, dentro del contexto de la investigacion y gestion de siniestros de una flota de transporte?","B","Aumentar el numero de siniestros","Evaluar la eficiencia en la gestion de la flota","Eliminar la investigacion de siniestros","Reducir la seguridad de la operacion","","","","","",""
"multiplechoice","SVIAL","S1 ISO 39001 y Marcos Globales","Yes","¡Correcto! Segun el material del curso, lo correcto es: La mejora continua del sistema de gestion de la seguridad vial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","El material del curso relaciona la Estructura de Alto Nivel con la mejora continua. Segun el curso, cual de los siguientes conceptos esta directamente vinculado a la HLS dentro de la norma ISO 39001?","D","La eliminacion de los objetivos de seguridad vial","El aumento de la exposicion al riesgo vial","La reduccion de la participacion de la direccion","La mejora continua del sistema de gestion de la seguridad vial","","","","","",""
"multiplechoice","SVIAL","S2 Vision Zero y Safe System","Yes","¡Correcto! Segun el material del curso, lo correcto es: El enfoque sistemico distribuye la responsabilidad y disena el sistema para tolerar errores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","El material del curso presenta el enfoque sistemico frente al tradicional. Segun el curso, que diferencia principalmente al enfoque Safe System del enfoque tradicional de la seguridad vial dentro de la gestion del riesgo?","A","El enfoque sistemico distribuye la responsabilidad y disena el sistema para tolerar errores","El enfoque sistemico culpa unicamente al conductor","El enfoque sistemico ignora la infraestructura","El enfoque tradicional elimina todos los siniestros","","","","","",""
"multiplechoice","SVIAL","S3 Factores de Riesgo y Exposicion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El diseno, el estado y la senalizacion de la infraestructura por la que circula el vehiculo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","El material del curso presenta el factor via dentro de los factores del sistema vial. Segun el curso, que elementos abarca este factor dentro del analisis del riesgo vial en las operaciones de transporte de la organizacion?","C","El comportamiento del conductor unicamente","El estado mecanico del vehiculo","El diseno, el estado y la senalizacion de la infraestructura por la que circula el vehiculo","La marca comercial del combustible","","","","","",""
"multiplechoice","SVIAL","S4 Gestion del Conductor y Vehiculo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el estado general del vehiculo y garantizar su seguridad y funcionalidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","El material del curso describe la inspeccion pre-marcha de los vehiculos. Segun el curso, cual es el proposito principal de realizar esta inspeccion antes de iniciar la operacion de un vehiculo de flota?","B","Aumentar el consumo de combustible","Evaluar el estado general del vehiculo y garantizar su seguridad y funcionalidad","Reducir la vida util del vehiculo","Eliminar el programa de mantenimiento","","","","","",""
"multiplechoice","SVIAL","S5 Tecnologia KPI y Siniestros","Yes","¡Correcto! Segun el material del curso, lo correcto es: El diagrama de Ishikawa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","El material del curso menciona el metodo para identificar causas de siniestros. Segun el curso, que metodo de analisis se utiliza para identificar las causas raiz de un siniestro dentro de la gestion de la seguridad vial de la organizacion?","D","El estado de resultados contable","El catalogo comercial de vehiculos","La encuesta de satisfaccion del cliente","El diagrama de Ishikawa","","","","","",""
"multiplechoice","SVIAL","S1 ISO 39001 y Marcos Globales","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Decenio de Accion para la Seguridad Vial 2021-2030.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, que iniciativa mundial establece metas de reduccion de muertes y lesiones graves en las carreteras dentro del periodo 2021 a 2030 para orientar la gestion de la seguridad vial?","A","El Decenio de Accion para la Seguridad Vial 2021-2030","Un plan exclusivo de fabricacion de vehiculos","Una norma de calidad de los combustibles","Un programa de reduccion de peajes","","","","","",""
"multiplechoice","SVIAL","S2 Vision Zero y Safe System","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que los seres humanos cometen errores y el sistema debe evitar que esos errores sean fatales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, sobre que premisa se construye el enfoque Safe System respecto al comportamiento de las personas dentro del sistema vial de una organizacion o territorio orientado a la seguridad?","C","Que los seres humanos nunca cometen errores","Que todos los errores deben castigarse severamente","Que los seres humanos cometen errores y el sistema debe evitar que esos errores sean fatales","Que la seguridad depende solo del vehiculo","","","","","",""
"multiplechoice","SVIAL","S3 Factores de Riesgo y Exposicion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La medida de cuanto se expone la organizacion al riesgo vial segun kilometros, horas y tipos de operacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, que representa la exposicion vial dentro del analisis del riesgo de una organizacion que opera vehiculos y busca gestionar de forma sistematica su seguridad vial en las operaciones?","B","El numero de vehiculos comprados al ano","La medida de cuanto se expone la organizacion al riesgo vial segun kilometros, horas y tipos de operacion","El precio del combustible consumido","La cantidad de reuniones administrativas","","","","","",""
"multiplechoice","SVIAL","S4 Gestion del Conductor y Vehiculo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La revision de normativas de transito, la conduccion defensiva y la prevencion de siniestros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, que elementos deben incluirse dentro de un programa de capacitacion dirigido a los conductores de una organizacion que gestiona la seguridad vial de su flota de transporte de forma integral?","D","Unicamente el manejo del sistema de audio","Solamente el llenado de formularios de oficina","Exclusivamente la limpieza del vehiculo","La revision de normativas de transito, la conduccion defensiva y la prevencion de siniestros","","","","","",""
"multiplechoice","SVIAL","S5 Tecnologia KPI y Siniestros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Revisar periodicamente los protocolos existentes para incorporar mejoras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","Segun el material del curso, que implica principalmente la mejora continua dentro de la gestion de los siniestros de una flota de transporte de una organizacion comprometida con la reduccion sostenida del riesgo vial?","A","Revisar periodicamente los protocolos existentes para incorporar mejoras","Mantener los protocolos sin ninguna revision","Ignorar los resultados de los siniestros","Eliminar la investigacion de los siniestros","","","","","",""
"multiplechoice","SVIAL","S1 ISO 39001 y Marcos Globales","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir y eventualmente eliminar las muertes y lesiones graves derivadas del transito.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","El material del curso presenta el proposito organizacional de la norma ISO 39001. Segun el curso, que busca lograr una organizacion al implementar un sistema de gestion de la seguridad vial basado en esta norma?","C","Aumentar el numero de vehiculos de la flota","Reducir el cumplimiento de la ley de transito","Reducir y eventualmente eliminar las muertes y lesiones graves derivadas del transito","Eliminar la evaluacion de los riesgos viales","","","","","",""
"multiplechoice","SVIAL","S2 Vision Zero y Safe System","Yes","¡Correcto! Segun el material del curso, lo correcto es: Entre los distintos actores que disenan y operan el sistema vial y no solo el usuario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SVIAL.","1","El material del curso relaciona Vision Zero con la responsabilidad compartida. Segun el curso, como se distribuye la responsabilidad de la seguridad vial dentro de la filosofia de Vision Zero aplicada al sistema de transporte?","B","Exclusivamente en el conductor del vehiculo","Entre los distintos actores que disenan y operan el sistema vial y no solo el usuario","Unicamente en las autoridades de transito","Solamente en los fabricantes de vehiculos","","","","","",""
