"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar el bienestar y la salud de los trabajadores mediante estrategias de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion del Sistema de, responde con precision: Cual es el objetivo principal del Sistema de Gestion de la Seguridad y Salud en el Trabajo (SG-SST) en Colombia?","A","Asegurar el bienestar y la salud de los trabajadores mediante estrategias de prevencion.","Implementar sanciones a las empresas que no cumplen con la normativa.","Incrementar la productividad de las empresas a costa de la seguridad","Minimizar la comunicacion entre trabajadores y administracion.","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Ministerio de Trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion del Sistema de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que organismo regula la obligatoriedad del SG-SST en Colombia?","C","La Superintendencia de Sociedades","La Organizacion Internacional del Trabajo (OIT)","El Ministerio de Trabajo","La Secretaria Distrital de Salud","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacitacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion del Sistema de, responde con precision: El ciclo PHVA del SG-SST se compone de cuatro etapas. Cual de las siguientes no es una etapa del ciclo?","B","Accion","Capacitacion","Planificacion","Evaluacion","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: La cultura de prevencion es fundamental en el SG-SST, ya que promueve un entorno laboral seguro y saludable, reduciendo la incidencia de accidentes y enfermedades laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion del Sistema de sobre este tema especifico y las buenas practicas descritas en el material, responde: Explique la importancia de la cultura de prevencion en el SG-SST.","D","El profesional de SST es responsable de identificar, evaluar y controlar riesgos laborales, garantizar el cumplimiento de las normativas SST, promover la capacitacion y concientiza","La cultura de seguridad es fundamental para crear un entorno laboral donde los trabajadores se sientan seguros y sean proactivos en la identificacion y reporte de riesgos.","Los principales riesgos asociados con los ambientes de espacios confinados, como la presencia de gases toxicos, la falta de oxigeno y la acumulacion de particulas peligrosas.","La cultura de prevencion es fundamental en el SG-SST, ya que promueve un entorno laboral seguro y saludable, reduciendo la incidencia de accidentes y enfermedades laborales.","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Prevenir accidentes laborales y enfermedades profesionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","De acuerdo con los fundamentos presentados en el curso Especialista en Aplicacion y Evaluacion del Sistema de, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual es la principal funcion de una ARL en Colombia?","B","Sancionar a las empresas por incumplimientos","Prevenir accidentes laborales y enfermedades profesionales","Ofrecer capacitaciones para todos los empleados","Proveer seguros de vida","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Riesgos fisicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","Considerando el enfoque metodologico del curso Especialista en Aplicacion y Evaluacion del Sistema de y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Que clase de riesgo corresponde a actividades como el manejo de maquinaria pesada?","D","Riesgos ergonomicos","Riesgos psicosociales","Riesgos biologicos","Riesgos fisicos","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollando programas de salud ocupacional y prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","En el marco del curso Especialista en Aplicacion y Evaluacion del Sistema de, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: De que manera contribuyen las ARL al bienestar de los trabajadores?","A","Desarrollando programas de salud ocupacional y prevencion","Contratando medicos para las empresas","Diagnosticando enfermedades cronicas","Ofreciendo turismo medico","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Decreto 472 de 2015.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion del Sistema de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es el decreto que regula la inspeccion laboral en Colombia?","C","Ley 100 de 1993","Decreto 181 de 2019","Decreto 472 de 2015","Decreto 1295 de 1994","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Multas en SMMLV.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion del Sistema de, responde con precision: Que sancion se establece por incumplimientos en los temas de seguridad y salud en el trabajo?","C","Detencion de recursos","Suspension del contrato laboral","Multas en SMMLV","Sanciones penales","","","","","",""
"multiplechoice","EAECO","C1 Fundamentos del SG-SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: La reincidencia en el incumplimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAECO.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion del Sistema de sobre este tema especifico y las buenas practicas descritas en el material, responde: Que factor puede aumentar la gravedad de las sanciones impuestas por el incumplimiento de normas laborales?","A","La reincidencia en el incumplimiento","La cantidad de empleados afectados","La instalacion de nuevas maquinas","El tipo de contrato de trabajo","","","","","",""
