"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","DASG","S1 Norma ISO 19011 y Clausulas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ofrecer orientacion adicional y ejemplos para la aplicacion practica de la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","Segun el material del curso, cual es el objeto del Anexo A de la norma ISO 19011 dentro del documento que orienta la auditoria de los sistemas de gestion de las organizaciones que aplican esta norma?","A","Ofrecer orientacion adicional y ejemplos para la aplicacion practica de la auditoria","Establecer requisitos certificables obligatorios","Sustituir el cuerpo principal de la norma","Eliminar los principios de auditoria","","","","","",""
"multiplechoice","DASG","S2 Tipos de Auditoria y Principios","Yes","¡Correcto! Segun el material del curso, lo correcto es: La falta de independencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","Segun el material del curso, cual de las siguientes NO constituye un principio fundamental que debe observar un auditor dentro de los principios establecidos por la norma ISO 19011 en el ambito de la auditoria de los sistemas de gestion?","C","La integridad del auditor","La confidencialidad de la informacion","La falta de independencia","El enfoque basado en la evidencia","","","","","",""
"multiplechoice","DASG","S3 Programa por Riesgo y Recursos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los objetivos, el alcance, los recursos, el cronograma y las responsabilidades del programa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","Segun el material del curso, que informacion incluye la documentacion del programa de auditoria dentro del diseno operativo de las auditorias de los sistemas de gestion de una organizacion conforme a la norma ISO 19011?","B","Unicamente el catalogo de productos","Los objetivos, el alcance, los recursos, el cronograma y las responsabilidades del programa","Solamente el estado de resultados","Exclusivamente el plan de marketing","","","","","",""
"multiplechoice","DASG","S4 Campo Informe y Seguimiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que sea verificable, pertinente y suficiente para respaldar los hallazgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","Segun el material del curso, que requisitos debe reunir la evidencia recopilada durante el trabajo de campo para respaldar de forma solida los hallazgos de una auditoria de los sistemas de gestion?","D","Que se base en opiniones sin respaldo","Que provenga de una unica fuente sin contrastar","Que carezca de relacion con los criterios","Que sea verificable, pertinente y suficiente para respaldar los hallazgos","","","","","",""
"multiplechoice","DASG","S5 Competencia Remota y Combinada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las evaluaciones de desempeno del auditor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","Segun el material del curso, que aspecto resulta esencial para medir la competencia de un auditor dentro de la evaluacion continua de los auditores conforme a las directrices de la norma ISO 19011 aplicadas en la organizacion?","A","Las evaluaciones de desempeno del auditor","La antiguedad sin evaluacion","La cantidad de auditorias sin analisis","La edad del auditor","","","","","",""
"multiplechoice","DASG","S1 Norma ISO 19011 y Clausulas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilita la comprension y aplicacion ordenada de las directrices de auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","El material del curso describe la estructura general de la norma ISO 19011. Segun el curso, que ventaja aporta una estructura organizada en clausulas dentro de la orientacion de la auditoria de los sistemas de gestion?","C","Aumenta la complejidad sin proposito","Elimina la orientacion para los auditores","Facilita la comprension y aplicacion ordenada de las directrices de auditoria","Sustituye los requisitos de los sistemas de gestion","","","","","",""
"multiplechoice","DASG","S2 Tipos de Auditoria y Principios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Informar con veracidad y exactitud los hallazgos y las conclusiones de la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","El material del curso describe el principio de presentacion ecuanime. Segun el curso, que exige este principio al auditor dentro de los principios que rigen la auditoria efectiva conforme a la norma ISO 19011 en la organizacion?","B","Omitir los hallazgos incomodos","Informar con veracidad y exactitud los hallazgos y las conclusiones de la auditoria","Alterar los resultados de la auditoria","Ocultar las no conformidades","","","","","",""
"multiplechoice","DASG","S3 Programa por Riesgo y Recursos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Organizar las auditorias en el tiempo asignando areas, fechas y recursos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","El material del curso presenta el cronograma anual del programa. Segun el curso, cual es la utilidad de elaborar un cronograma dentro del diseno operativo del programa de auditoria de una organizacion que gestiona sus auditorias de forma ordenada?","D","Aumentar la duracion sin proposito","Eliminar el orden de las auditorias","Reducir la cobertura del programa","Organizar las auditorias en el tiempo asignando areas, fechas y recursos","","","","","",""
"multiplechoice","DASG","S4 Campo Informe y Seguimiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: En los hallazgos y la evidencia recopilada durante la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","El material del curso describe la formulacion de conclusiones. Segun el curso, en que deben basarse las conclusiones de una auditoria de los sistemas de gestion orientada por las directrices de la norma ISO 19011 en la organizacion auditada?","A","En los hallazgos y la evidencia recopilada durante la auditoria","En las suposiciones del auditor","En la opinion del auditado","En la ausencia de evidencia","","","","","",""
"multiplechoice","DASG","S5 Competencia Remota y Combinada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque influyen en la comunicacion, la objetividad y la relacion con el auditado durante la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DASG.","1","El material del curso relaciona la competencia con el comportamiento personal. Segun el curso, por que los atributos personales del auditor resultan tan importantes como sus conocimientos tecnicos dentro de la auditoria de los sistemas de gestion?","C","Porque sustituyen la necesidad de conocimientos","Porque carecen de valor para la auditoria","Porque influyen en la comunicacion, la objetividad y la relacion con el auditado durante la auditoria","Porque reducen la objetividad del auditor","","","","","",""
