"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ICA","S1 Modelos Causales y Piramides","Yes","¡Correcto! Segun el material del curso, lo correcto es: Como la alineacion de fallas o agujeros en multiples capas de defensas que permite que el peligro atraviese todas las barreras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, como describe el modelo del queso suizo de James Reason la ocurrencia de los accidentes en un sistema con multiples defensas?","A","Como la alineacion de fallas o agujeros en multiples capas de defensas que permite que el peligro atraviese todas las barreras","Como el resultado exclusivo de un unico error humano del trabajador","Como un evento aleatorio sin relacion con las barreras del sistema","Como una consecuencia unicamente del azar sin causas identificables","","","","","",""
"multiplechoice","ICA","S2 Registro OSHA y Recordables","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un empleado que se corta profundamente en la mano y necesita tratamiento medico mas alla de los primeros auxilios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, cual de las siguientes situaciones califica como un registro obligatorio dentro del sistema de recordkeeping de lesiones y enfermedades laborales?","C","Un empleado que recibe una pequena curita por un rasguno leve","Un empleado que toma un descanso voluntario durante su turno","Un empleado que se corta profundamente en la mano y necesita tratamiento medico mas alla de los primeros auxilios","Un empleado que solicita informacion sobre su horario laboral","","","","","",""
"multiplechoice","ICA","S3 Metodo ICAM y Recoleccion 5P","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Incident Cause Analysis Method, un metodo estructurado basado en el modelo de Reason, ampliamente usado en mineria e industria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, que es la taxonomia ICAM y sobre que modelo teorico se fundamenta como metodo estructurado de analisis de causas de incidentes?","B","Un metodo de calculo salarial usado en la industria minera","El Incident Cause Analysis Method, un metodo estructurado basado en el modelo de Reason, ampliamente usado en mineria e industria","Un sistema de senalizacion por colores de las areas peligrosas","Un formulario de registro de horarios del personal operativo","","","","","",""
"multiplechoice","ICA","S4 Tecnicas de Analisis Causa Raiz","Yes","¡Correcto! Segun el material del curso, lo correcto es: En preguntar por que de forma iterativa hasta llegar a la causa raiz del problema o incidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, en que consiste la tecnica de los cinco porques (5-Why), originada en el Toyota Production System, para el analisis de causa raiz?","D","En calcular cinco tipos distintos de salario del personal","En definir cinco colores para senalizar el area del incidente","En programar cinco turnos de trabajo para la investigacion","En preguntar por que de forma iterativa hasta llegar a la causa raiz del problema o incidente","","","","","",""
"multiplechoice","ICA","S5 Entrevista Reporte y Recomendaciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: El efecto de recencia, que hace recordar mejor la informacion mas reciente frente a la anterior.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, cual de los siguientes sesgos cognitivos podria afectar la precision del testimonio durante una entrevista cognitiva en la investigacion?","A","El efecto de recencia, que hace recordar mejor la informacion mas reciente frente a la anterior","El efecto de la senalizacion por colores del area del evento","El efecto del salario del testigo sobre su declaracion","El efecto del horario laboral sobre la evidencia fisica","","","","","",""
"multiplechoice","ICA","S1 Modelos Causales y Piramides","Yes","¡Correcto! Segun el material del curso, lo correcto es: Decisiones de gestion, diseno defectuoso, capacitacion inadecuada, supervision deficiente o cultura organizacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material define las fallas latentes como el verdadero objetivo de la investigacion. Que tipo de factores constituyen estas fallas latentes segun el modelo de Reason?","C","Unicamente los actos inseguros visibles del trabajador de primera linea","El clima y las condiciones ambientales del dia del accidente","Decisiones de gestion, diseno defectuoso, capacitacion inadecuada, supervision deficiente o cultura organizacional","La antiguedad y el salario del personal involucrado en el evento","","","","","",""
"multiplechoice","ICA","S2 Registro OSHA y Recordables","Yes","¡Correcto! Segun el material del curso, lo correcto es: Son intervenciones iniciales y temporales que no alcanzan el nivel de tratamiento medico formal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material distingue entre primeros auxilios y tratamiento medico en el marco del registro de lesiones. Que caracteriza a los primeros auxilios segun los lineamientos del curso?","B","Son intervenciones que siempre requieren registro obligatorio","Son intervenciones iniciales y temporales que no alcanzan el nivel de tratamiento medico formal","Son procedimientos quirurgicos realizados por un especialista","Son tratamientos prolongados que exigen hospitalizacion","","","","","",""
"multiplechoice","ICA","S3 Metodo ICAM y Recoleccion 5P","Yes","¡Correcto! Segun el material del curso, lo correcto es: Acciones individuales o del equipo, condiciones del lugar de trabajo, factores organizacionales y defensas ausentes o fallidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material describe la taxonomia ICAM de cuatro niveles. Que niveles clasifica esta taxonomia para garantizar que la investigacion llegue mas alla de la persona?","D","Salario, horario, antiguedad y color de la senalizacion","Fatalidad, lesion seria, lesion menor y cuasi-accidente","Form 300, Form 301, Form 300A y primeros auxilios","Acciones individuales o del equipo, condiciones del lugar de trabajo, factores organizacionales y defensas ausentes o fallidas","","","","","",""
"multiplechoice","ICA","S4 Tecnicas de Analisis Causa Raiz","Yes","¡Correcto! Segun el material del curso, lo correcto es: Organizar visualmente las posibles causas de un problema agrupandolas por categorias para su analisis.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material presenta el diagrama de Ishikawa como tecnica de analisis. Que finalidad tiene el diagrama de Ishikawa dentro del analisis de causa raiz de un incidente?","A","Organizar visualmente las posibles causas de un problema agrupandolas por categorias para su analisis","Calcular el salario del personal involucrado en el incidente","Definir el color de la senalizacion de las areas de riesgo","Programar el horario de trabajo del turno operativo","","","","","",""
"multiplechoice","ICA","S5 Entrevista Reporte y Recomendaciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el testigo puede haber vivido un evento impactante y su estado afecta la calidad y precision de su testimonio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material aborda el manejo del trauma del testigo durante la entrevista de investigacion. Por que es importante considerar el trauma al entrevistar a un testigo de un incidente?","C","Porque el trauma define el salario que recibira el testigo","Porque el trauma establece el color del informe del incidente","Porque el testigo puede haber vivido un evento impactante y su estado afecta la calidad y precision de su testimonio","Porque el trauma programa el horario de la entrevista","","","","","",""
"multiplechoice","ICA","S1 Modelos Causales y Piramides","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un enfoque sistemico que busca las fallas latentes del sistema mas alla del error individual del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, cual es el enfoque que promueve el modelo de Reason para la gestion de la seguridad y la investigacion de accidentes?","B","Un enfoque centrado en sancionar al trabajador que cometio el error","Un enfoque sistemico que busca las fallas latentes del sistema mas alla del error individual del trabajador","Un enfoque que ignora las barreras y defensas de la organizacion","Un enfoque que atribuye todo accidente al azar sin analisis","","","","","",""
"multiplechoice","ICA","S2 Registro OSHA y Recordables","Yes","¡Correcto! Segun el material del curso, lo correcto es: Servir como registro detallado por empleado de cada lesion o enfermedad recordable durante el ano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, cual es el proposito del formulario Form 300 dentro del sistema de registro de lesiones y enfermedades laborales relacionadas con el trabajo?","D","Calcular el salario anual de cada empleado de la empresa","Definir el color de la senalizacion de las areas de riesgo","Programar el horario de trabajo de todo el personal","Servir como registro detallado por empleado de cada lesion o enfermedad recordable durante el ano","","","","","",""
"multiplechoice","ICA","S3 Metodo ICAM y Recoleccion 5P","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque asegura que la investigacion identifique factores organizacionales y del sistema, no solo la accion de la persona.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material, por que la taxonomia ICAM obliga a distribuir las causas entre lo individual y lo sistemico en la investigacion de un incidente?","A","Porque asegura que la investigacion identifique factores organizacionales y del sistema, no solo la accion de la persona","Porque busca sancionar unicamente al trabajador involucrado","Porque pretende ignorar las condiciones del lugar de trabajo","Porque intenta reducir la investigacion a un unico nivel","","","","","",""
"multiplechoice","ICA","S4 Tecnicas de Analisis Causa Raiz","Yes","¡Correcto! Segun el material del curso, lo correcto es: Categorias como maquina, metodo, mano de obra, material, medicion y medio ambiente para clasificar las posibles causas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material, que representan las categorias 6M utilizadas junto con el diagrama de Ishikawa en el analisis de las causas de un incidente laboral?","C","Seis tipos de salario del personal de la organizacion","Seis colores para senalizar las areas peligrosas de la planta","Categorias como maquina, metodo, mano de obra, material, medicion y medio ambiente para clasificar las posibles causas","Seis turnos de trabajo del personal operativo de la empresa","","","","","",""
"multiplechoice","ICA","S5 Entrevista Reporte y Recomendaciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Utilizarlas para mejorar la precision del recuerdo sin inducir ni contaminar el testimonio del testigo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, cual es la forma mas etica de utilizar las tecnicas mnemonicas durante una entrevista cognitiva a un testigo de un incidente?","B","Utilizarlas para inducir respuestas favorables a la empresa","Utilizarlas para mejorar la precision del recuerdo sin inducir ni contaminar el testimonio del testigo","Utilizarlas para calcular el salario del testigo entrevistado","Utilizarlas para definir el color del informe del incidente","","","","","",""
"multiplechoice","ICA","S1 Modelos Causales y Piramides","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una relacion de 1 a 29 a 300, es decir por cada fatalidad hay 29 lesiones serias y 300 menores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material presenta la piramide de Heinrich publicada en 1931. Cual es la relacion proporcional que postulo Heinrich entre fatalidades, lesiones serias y lesiones menores?","D","Una relacion de 1 a 1 a 1 entre los tres tipos de lesiones","Una relacion de 1 a 100 a 1000 sin lesiones intermedias","Una relacion que no establece ninguna proporcion numerica","Una relacion de 1 a 29 a 300, es decir por cada fatalidad hay 29 lesiones serias y 300 menores","","","","","",""
"multiplechoice","ICA","S2 Registro OSHA y Recordables","Yes","¡Correcto! Segun el material del curso, lo correcto es: El detalle individual de cada lesion recordable, con un plazo de siete dias calendario para su registro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material describe el formulario Form 301 dentro del recordkeeping de OSHA. Que informacion recoge principalmente este formulario y en que plazo debe completarse?","A","El detalle individual de cada lesion recordable, con un plazo de siete dias calendario para su registro","El salario del empleado, sin ningun plazo definido","El horario de la jornada laboral, con un plazo de un ano","El color de la senalizacion, sin relacion con las lesiones","","","","","",""
"multiplechoice","ICA","S3 Metodo ICAM y Recoleccion 5P","Yes","¡Correcto! Segun el material del curso, lo correcto es: La gestion del sitio, que asegura el area, controla accesos, preserva evidencia, atiende victimas e inicia el timeline preliminar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material presenta las fases del metodo ICAM. Cual es la primera fase y que acciones clave incluye la gestion del sitio tras ocurrir un incidente?","C","El calculo del salario del personal involucrado en el evento","La definicion del color de la senalizacion del sitio","La gestion del sitio, que asegura el area, controla accesos, preserva evidencia, atiende victimas e inicia el timeline preliminar","La programacion del horario de la investigacion","","","","","",""
"multiplechoice","ICA","S4 Tecnicas de Analisis Causa Raiz","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un analisis logico que descompone un evento no deseado en sus causas contribuyentes mediante compuertas logicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material describe el arbol de fallas o FTA como tecnica analitica. Que caracteriza al analisis mediante arbol de fallas en la investigacion de un incidente?","B","Un calculo del salario del personal involucrado en el evento","Un analisis logico que descompone un evento no deseado en sus causas contribuyentes mediante compuertas logicas","Un esquema de colores para senalizar el sitio del incidente","Un calendario para programar el horario de la investigacion","","","","","",""
"multiplechoice","ICA","S5 Entrevista Reporte y Recomendaciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: La introduccion, que presenta el contexto y el proposito del informe de investigacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","El material describe la estructura de un informe tecnico de investigacion. Que seccion es esencial al inicio de un informe tecnico de incidente segun el curso?","D","El calculo del salario del personal de la investigacion","El esquema de colores de la senalizacion del sitio","El horario de trabajo del turno en que ocurrio el evento","La introduccion, que presenta el contexto y el proposito del informe de investigacion","","","","","",""
"multiplechoice","ICA","S1 Modelos Causales y Piramides","Yes","¡Correcto! Segun el material del curso, lo correcto es: La actualizo a una relacion 1 a 10 a 30 a 600 e incorporo los near misses o cuasi-accidentes en la base.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material del curso, como actualizo Bird en 1969 la piramide causal e que elemento incorporo en la base respecto de la propuesta original de Heinrich?","A","La actualizo a una relacion 1 a 10 a 30 a 600 e incorporo los near misses o cuasi-accidentes en la base","La redujo a una relacion de 1 a 1 eliminando las lesiones menores","La limito unicamente a las fatalidades sin otras categorias","La reemplazo por completo por el modelo del queso suizo","","","","","",""
"multiplechoice","ICA","S2 Registro OSHA y Recordables","Yes","¡Correcto! Segun el material del curso, lo correcto es: Resumir anualmente los casos registrados para su publicacion conforme a los plazos establecidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICA.","1","Segun el material, que funcion cumple el formulario Form 300A dentro del sistema de registro de lesiones y enfermedades laborales del marco regulatorio presentado en el curso?","C","Registrar el salario mensual de cada trabajador de la empresa","Definir el color de la senalizacion de las areas peligrosas","Resumir anualmente los casos registrados para su publicacion conforme a los plazos establecidos","Programar las vacaciones anuales del personal operativo","","","","","",""
