"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","HSL","S1 Concepto y Elementos del HSL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque diferencia el hostigamiento de una interaccion consentida siendo la falta de consentimiento lo que configura la conducta prohibida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Conforme al material del curso, por que el caracter no deseado de la conducta es un elemento clave del hostigamiento sexual laboral?","A","Porque diferencia el hostigamiento de una interaccion consentida siendo la falta de consentimiento lo que configura la conducta prohibida","Porque el caracter no deseado determina el salario del trabajador afectado","Porque el caracter no deseado establece el horario de atencion de las oficinas","Porque el caracter no deseado reduce el consumo de energia de los equipos","","","","","",""
"multiplechoice","HSL","S2 Asimetria Poder y Sujetos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La jerarquia puede generar una asimetria de poder que incremente el riesgo de que una persona con autoridad ejerza hostigamiento sobre otra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Conforme al material del curso, que relacion existe entre la jerarquia laboral y el riesgo de hostigamiento sexual en la organizacion?","C","La jerarquia laboral determina el salario que corresponde a cada trabajador del area","La jerarquia laboral establece el horario de atencion de las oficinas administrativas","La jerarquia puede generar una asimetria de poder que incremente el riesgo de que una persona con autoridad ejerza hostigamiento sobre otra","La jerarquia laboral reduce el consumo de energia de los equipos de la planta","","","","","",""
"multiplechoice","HSL","S3 Perspectiva de Genero","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque un lenguaje inadecuado puede culpabilizarla reforzar estereotipos o exponerla contribuyendo a su revictimizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Conforme al material del curso, por que el lenguaje utilizado al comunicar sobre un caso de hostigamiento debe cuidar la dignidad de la persona afectada?","B","Porque el lenguaje determina el salario que corresponde a la persona afectada","Porque un lenguaje inadecuado puede culpabilizarla reforzar estereotipos o exponerla contribuyendo a su revictimizacion","Porque el lenguaje establece el horario de atencion de las oficinas administrativas","Porque el lenguaje reduce el consumo de energia de los equipos de la planta","","","","","",""
"multiplechoice","HSL","S4 Denuncia Plazos y Proteccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite que presente sus descargos y pruebas garantizando un proceso justo y el respeto al debido procedimiento para ambas partes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Conforme al material del curso, cual es la importancia del derecho de defensa de la persona denunciada en el procedimiento administrativo?","D","Permite determinar el salario que corresponde a la persona denunciada","Permite establecer el horario de atencion de las oficinas administrativas","Permite reducir el consumo de energia de los equipos utilizados en la planta","Permite que presente sus descargos y pruebas garantizando un proceso justo y el respeto al debido procedimiento para ambas partes","","","","","",""
"multiplechoice","HSL","S5 Responsabilidad y Autoridades","Yes","¡Correcto! Segun el material del curso, lo correcto es: Coordinar acciones de prevencion atencion y derivacion respetando las competencias de cada entidad para proteger a la persona afectada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Conforme al material del curso, que aspecto es fundamental al establecer colaboraciones con las autoridades competentes en materia de hostigamiento?","A","Coordinar acciones de prevencion atencion y derivacion respetando las competencias de cada entidad para proteger a la persona afectada","Determinar el salario que corresponde a cada trabajador de la organizacion","Establecer el horario de atencion de las oficinas administrativas de la empresa","Reducir el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","HSL","S1 Concepto y Elementos del HSL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las conductas de naturaleza sexual no deseadas que afectan la dignidad y generan un ambiente hostil para las personas en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Tal como indica el material del curso, que busca prevenir principalmente la normativa contra el hostigamiento sexual laboral en las organizaciones?","C","El incremento de los salarios del personal de la empresa contratante","El aumento del horario de atencion de las oficinas administrativas","Las conductas de naturaleza sexual no deseadas que afectan la dignidad y generan un ambiente hostil para las personas en el trabajo","El consumo excesivo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","HSL","S2 Asimetria Poder y Sujetos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el hostigamiento puede afectar a trabajadores practicantes proveedores de servicios u otras personas vinculadas al centro de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Tal como indica el material del curso, por que la proteccion frente al hostigamiento se extiende a diversas personas del centro de trabajo?","B","Porque la proteccion determina el salario que corresponde a cada persona vinculada","Porque el hostigamiento puede afectar a trabajadores practicantes proveedores de servicios u otras personas vinculadas al centro de trabajo","Porque la proteccion establece el horario de atencion de las oficinas administrativas","Porque la proteccion reduce el consumo de energia de los equipos de la planta","","","","","",""
"multiplechoice","HSL","S3 Perspectiva de Genero","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los estereotipos de genero pueden sustentar tratos desiguales y prejuicios que derivan en discriminacion contra las personas en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Tal como indica el material del curso, que relacion existe entre los estereotipos de genero y la discriminacion en el entorno laboral?","D","Los estereotipos de genero determinan el salario que corresponde a cada trabajador","Los estereotipos de genero establecen el horario de atencion de las oficinas","Los estereotipos de genero reducen el consumo de energia de los equipos","Los estereotipos de genero pueden sustentar tratos desiguales y prejuicios que derivan en discriminacion contra las personas en el trabajo","","","","","",""
"multiplechoice","HSL","S4 Denuncia Plazos y Proteccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el hostigamiento genera un impacto emocional y el acompanamiento psicologico ayuda a la recuperacion y al bienestar de la persona afectada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Tal como indica el material del curso, por que el apoyo psicologico forma parte de las medidas de atencion a la victima de hostigamiento?","A","Porque el hostigamiento genera un impacto emocional y el acompanamiento psicologico ayuda a la recuperacion y al bienestar de la persona afectada","Porque el apoyo psicologico determina el salario que corresponde a la victima","Porque el apoyo psicologico establece el horario de atencion de las oficinas","Porque el apoyo psicologico reduce el consumo de energia de los equipos","","","","","",""
"multiplechoice","HSL","S5 Responsabilidad y Autoridades","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fiscalizar que las empresas cumplan sus obligaciones de prevencion y atencion y aplicar sanciones ante los incumplimientos detectados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HSL.","1","Tal como indica el material del curso, cual es la funcion de la autoridad de inspeccion del trabajo frente al hostigamiento sexual laboral?","C","Determinar el salario que corresponde a cada trabajador del sector privado","Establecer el horario de atencion de las oficinas administrativas de la empresa","Fiscalizar que las empresas cumplan sus obligaciones de prevencion y atencion y aplicar sanciones ante los incumplimientos detectados","Reducir el consumo de energia de los equipos utilizados en la planta","","","","","",""
