"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","RENI","S1 Componentes y Planos Electricos","Yes","¡Correcto! Segun el material del curso, lo correcto es: El aumento del riesgo de fallas, incendios y accidentes electricos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","Conforme al material, que consecuencia puede tener la falta de mantenimiento preventivo en los componentes de una instalacion electrica industrial cubierta por el curso de riesgo electrico?","A","El aumento del riesgo de fallas, incendios y accidentes electricos","La reduccion automatica del consumo de energia","La mejora del color de la senalizacion","El incremento seguro de la tension del sistema","","","","","",""
"multiplechoice","RENI","S2 Riesgos Arco y Electrocucion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una descarga de energia entre puntos que genera calor y radiacion peligrosos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","Conforme al material del curso, que puede desencadenar un arco electrico en una instalacion cuando existen fallas de aislamiento o conexiones defectuosas en los circuitos energizados de la empresa?","C","Una reduccion del consumo de energia del sistema","Una mejora en la eficiencia del motor electrico","Una descarga de energia entre puntos que genera calor y radiacion peligrosos","Un registro automatico del mantenimiento realizado","","","","","",""
"multiplechoice","RENI","S3 Normas NFPA 70E e IEEE 1584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar el nivel de proteccion necesario para el trabajador expuesto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","Conforme al material, que rol cumple el calculo de la energia incidente dentro de la seleccion de las medidas de proteccion frente al arco electrico segun las normas aplicadas en el curso?","B","Fijar el precio de venta de los equipos","Determinar el nivel de proteccion necesario para el trabajador expuesto","Definir el color de la senalizacion del area","Establecer el horario de descanso del personal","","","","","",""
"multiplechoice","RENI","S4 EPP Arc Rated y Categorias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque cada tarea presenta un nivel de riesgo y energia incidente distinto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","Conforme al material, por que un equipo de proteccion personal frente al arco electrico debe seleccionarse en funcion de la tarea especifica y no de forma generica en el trabajo electrico de la empresa?","D","Porque todas las tareas presentan el mismo riesgo","Porque el equipo generico siempre es suficiente","Porque la tarea no influye en la proteccion necesaria","Porque cada tarea presenta un nivel de riesgo y energia incidente distinto","","","","","",""
"multiplechoice","RENI","S5 Reglas de Oro y Bloqueo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Instalar sensores de temperatura en el tablero electrico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","Conforme al material, que control se puede establecer para prevenir el mal funcionamiento por sobrecalentamiento de un tablero electrico dentro de las instalaciones industriales de la empresa?","A","Instalar sensores de temperatura en el tablero electrico","Retirar toda proteccion del tablero electrico","Aumentar la carga del tablero sin control","Eliminar la senalizacion de advertencia","","","","","",""
"multiplechoice","RENI","S1 Componentes y Planos Electricos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Interrumpe automaticamente la corriente ante sobrecargas o cortocircuitos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","De acuerdo con el contenido, que caracteriza a un disyuntor frente a otros dispositivos de proteccion respecto a su capacidad de interrumpir la corriente ante una condicion peligrosa?","C","Aumenta la corriente cuando detecta una falla","Almacena la energia sobrante del circuito","Interrumpe automaticamente la corriente ante sobrecargas o cortocircuitos","Representa graficamente el sistema electrico","","","","","",""
"multiplechoice","RENI","S2 Riesgos Arco y Electrocucion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Disminuye la corriente y por lo tanto la energia del arco.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","De acuerdo con el curso, que consecuencia sobre la corriente y la energia del arco tiene el aumento de la impedancia dentro de un sistema electrico industrial cubierto por el material?","B","Aumenta la corriente y la energia del arco","Disminuye la corriente y por lo tanto la energia del arco","No produce ningun efecto sobre la corriente","Elimina por completo el riesgo de arco","","","","","",""
"multiplechoice","RENI","S3 Normas NFPA 70E e IEEE 1584","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite evidenciar el estado del sistema y planificar acciones correctivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","De acuerdo con el contenido, que importancia tiene documentar regularmente las pruebas de las instalaciones electricas dentro del cumplimiento de las normas de seguridad de la empresa?","D","Permite reducir el precio de los equipos","Determina el color de la senalizacion del area","Fija el horario del personal de mantenimiento","Permite evidenciar el estado del sistema y planificar acciones correctivas","","","","","",""
"multiplechoice","RENI","S4 EPP Arc Rated y Categorias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permitir comparar la proteccion del equipo con la energia incidente esperada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","De acuerdo con el contenido del curso, que finalidad tiene expresar la proteccion del equipo arc rated en calorias por centimetro cuadrado dentro de la seleccion del EPP para el trabajo electrico?","A","Permitir comparar la proteccion del equipo con la energia incidente esperada","Determinar el precio de venta del equipo","Definir el color de la senalizacion del area","Fijar el horario laboral del trabajador","","","","","",""
"multiplechoice","RENI","S5 Reglas de Oro y Bloqueo","Yes","¡Correcto! Segun el material del curso, lo correcto es: El incremento del riesgo de fallas, accidentes y lesiones al personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RENI.","1","De acuerdo con el contenido, que consecuencia podria derivarse de no seguir los procedimientos y controles de seguridad establecidos durante un trabajo electrico en las instalaciones de la empresa?","C","La reduccion del consumo economico de energia","La mejora de la eficiencia del sistema electrico","El incremento del riesgo de fallas, accidentes y lesiones al personal","El aumento seguro de la vida util del equipo","","","","","",""
