"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TLABO","S1 Cultura Preventiva y Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Seguir las normativas de seguridad y reportar condiciones inseguras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","Segun el material del curso, como puede un trabajador individual contribuir de manera concreta al fortalecimiento de una cultura de seguridad preventiva en su entorno laboral cotidiano?","A","Seguir las normativas de seguridad y reportar condiciones inseguras","Ocultar los incidentes menores para evitar sanciones","Trabajar mas rapido sin usar los equipos de proteccion","Modificar los procedimientos por cuenta propia","","","","","",""
"multiplechoice","TLABO","S2 Controles LOTO y Electrico","Yes","¡Correcto! Segun el material del curso, lo correcto es: La calidad del aislamiento electrico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","El material aborda el arco electrico como un fenomeno peligroso. Segun el curso, cual de los siguientes factores tiene mayor influencia en la formacion de un arco electrico en un entorno industrial?","C","El color de los cables de la instalacion","La marca comercial de los interruptores","La calidad del aislamiento electrico","La temperatura ambiente del exterior","","","","","",""
"multiplechoice","TLABO","S3 Fuego ATEX y Confinados","Yes","¡Correcto! Segun el material del curso, lo correcto es: La exposicion a gases toxicos o inflamables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","El curso identifica los riesgos comunes en espacios confinados. Cual de los siguientes representa uno de los peligros mas frecuentes al ingresar a este tipo de espacios dentro de la industria?","B","La abundancia garantizada de oxigeno","La exposicion a gases toxicos o inflamables","La ausencia total de cualquier riesgo","El exceso de iluminacion natural","","","","","",""
"multiplechoice","TLABO","S4 Altura Izaje y Permisos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar la seguridad y la salud de los trabajadores durante la ejecucion de tareas especificas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","Segun el curso, cual es el principal objetivo de emitir permisos de trabajo antes de ejecutar tareas de alto riesgo dentro de un entorno industrial de proceso o mantenimiento?","D","Aumentar la carga administrativa sin proposito","Retrasar deliberadamente el inicio de las tareas","Eliminar la necesidad de evaluar los riesgos","Garantizar la seguridad y la salud de los trabajadores durante la ejecucion de tareas especificas","","","","","",""
"multiplechoice","TLABO","S5 EPI Investigacion y Normas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La falta de formacion en protocolos de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","El material del curso aborda la investigacion de accidentes. Cual de los siguientes se identifica como un ejemplo de evento administrable dentro de una empresa que puede prevenirse con gestion adecuada?","A","La falta de formacion en protocolos de seguridad","Un fenomeno natural totalmente imprevisible","Un evento ajeno por completo a la organizacion","Una condicion imposible de controlar","","","","","",""
"multiplechoice","TLABO","S1 Cultura Preventiva y Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La observacion sistematica y el reporte de actos y condiciones inseguras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","El curso aborda el reconocimiento de peligros en planta como competencia esencial. Que actividad permite a los trabajadores detectar condiciones inseguras antes de que se conviertan en incidentes?","C","La espera pasiva a que la supervision detecte los problemas","La confianza absoluta en que los equipos nunca fallan","La observacion sistematica y el reporte de actos y condiciones inseguras","La reduccion de la comunicacion entre companeros","","","","","",""
"multiplechoice","TLABO","S2 Controles LOTO y Electrico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar protocolos de desconexion segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","Segun el curso, que procedimiento resulta esencial para prevenir la ocurrencia de arcos electricos durante la intervencion o el mantenimiento de equipos electricos en la industria?","B","Trabajar siempre con los circuitos energizados","Implementar protocolos de desconexion segura","Aumentar la tension de operacion de los equipos","Eliminar las etiquetas de advertencia","","","","","",""
"multiplechoice","TLABO","S3 Fuego ATEX y Confinados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar la atmosfera del espacio confinado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","De acuerdo con el material del curso, cual es el control prioritario que debe realizarse antes de autorizar el ingreso de un trabajador a un espacio confinado en una instalacion industrial?","D","Ingresar de inmediato para ahorrar tiempo","Confiar en que la atmosfera siempre es segura","Retirar todo el equipo de monitoreo","Evaluar la atmosfera del espacio confinado","","","","","",""
"multiplechoice","TLABO","S4 Altura Izaje y Permisos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La identificacion de los riesgos, su evaluacion y la implementacion de controles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","El material del curso describe la evaluacion de riesgos previa a la emision de un permiso de trabajo. Que debe incluir este procedimiento antes de autorizar la tarea correspondiente?","A","La identificacion de los riesgos, su evaluacion y la implementacion de controles","La autorizacion inmediata sin analisis previo","La omision de cualquier medida de control","La delegacion a personal no capacitado","","","","","",""
"multiplechoice","TLABO","S5 EPI Investigacion y Normas","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de causa y efecto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","Dentro del analisis causal descrito en el curso, que tecnica se utiliza comunmente para identificar la raiz de los problemas recurrentes tras la ocurrencia de un incidente en la planta?","C","La eliminacion de los reportes de incidentes","La suposicion sin evidencia de las causas","El analisis de causa y efecto","La omision del analisis de los hechos","","","","","",""
"multiplechoice","TLABO","S1 Cultura Preventiva y Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Peligros fisicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","En relacion con los tipos de peligros presentados en el material, cual de las siguientes categorias corresponde a agentes como ruido, vibraciones, radiaciones y temperaturas extremas en el trabajo?","B","Peligros unicamente administrativos","Peligros fisicos","Peligros exclusivamente financieros","Peligros de tipo contractual","","","","","",""
"multiplechoice","TLABO","S2 Controles LOTO y Electrico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Previene caminos de baja resistencia que pueden originar un arco y reduce cortocircuitos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","El curso explica por que la calidad del aislamiento electrico es critica en el control del arco electrico. Que efecto principal produce un buen aislamiento sobre este fenomeno peligroso?","D","Aumenta la probabilidad de descargas electricas","Incrementa la corriente disponible en el circuito","No influye en la formacion del arco electrico","Previene caminos de baja resistencia que pueden originar un arco y reduce cortocircuitos","","","","","",""
"multiplechoice","TLABO","S3 Fuego ATEX y Confinados","Yes","¡Correcto! Segun el material del curso, lo correcto es: Lugares no disenados para la ocupacion humana continua que presentan riesgos variados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","Segun el curso, como se definen los espacios confinados y por que su correcta gestion es relevante dentro de la seguridad industrial en las instalaciones de proceso?","A","Lugares no disenados para la ocupacion humana continua que presentan riesgos variados","Areas amplias diseñadas para el trabajo permanente","Zonas sin ningun tipo de riesgo asociado","Espacios exclusivos para almacenamiento seguro","","","","","",""
"multiplechoice","TLABO","S4 Altura Izaje y Permisos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los trabajos en caliente como soldaduras o corte con soplete.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TLABO.","1","Segun el curso, cual de los siguientes tipos de actividad requiere un permiso de trabajo especifico debido a su elevado nivel de riesgo dentro de las operaciones industriales?","C","El llenado rutinario de formularios de oficina","La lectura de manuales en la sala de reuniones","Los trabajos en caliente como soldaduras o corte con soplete","El descanso programado del personal","","","","","",""
