"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! La seguridad industrial en planta significa gestionar el trabajo y los riesgos de forma sistematica para que la actividad se ejecute de manera controlada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","Segun el material, que significa la seguridad industrial aplicada al entorno real de una planta de acuerdo con lo expuesto en el contenido tecnico del curso?","A","Gestionar el trabajo y los riesgos de forma sistematica para que la actividad se ejecute de manera controlada","Evitar unicamente los accidentes visibles","Aumentar la produccion sin considerar riesgos","Eliminar la necesidad de mantenimiento","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! La seguridad industrial busca reducir la probabilidad e impacto de lesiones a personas, danos a equipos, interrupciones operativas y perdidas asociadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","De acuerdo con el documento, que impactos busca reducir la seguridad industrial en la operacion de una planta conforme a lo desarrollado en el material de estudio de la unidad?","B","Solo el costo de la materia prima","Lesiones a personas, danos a equipos, interrupciones operativas y perdidas asociadas","Unicamente el consumo de energia","Exclusivamente los tiempos administrativos","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! La seguridad industrial no es un resultado aislado, sino una forma sistematica de gestionar el trabajo y los riesgos de manera continua.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","Segun el material, por que la seguridad industrial no se considera un resultado aislado tal como se explica en el contenido teorico presentado en el curso?","C","Porque solo depende del presupuesto","Porque no influye en la operacion","Porque es una forma sistematica de gestionar el trabajo y los riesgos de manera continua","Porque se limita a las auditorias externas","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! Las normas y estandares actuan como referencia tecnica compartida que describe un buen desempeno y ayuda a estructurar controles con criterios verificables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","Conforme al documento, que funcion cumplen las normas y estandares en la seguridad industrial segun la informacion tecnica desarrollada a lo largo del material?","D","Aumentar el costo de la operacion","Reemplazar la gestion del riesgo","Eliminar la necesidad de controles","Actuar como referencia tecnica compartida que describe un buen desempeno con criterios verificables","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! Se cita el IFS Food (International Featured Standards) version 8 como ejemplo de esquema que estructura requisitos auditables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","Segun el material, que esquema normativo se cita como ejemplo de estructura de requisitos auditables de acuerdo con los conceptos presentados en el contenido de la unidad?","A","IFS Food (International Featured Standards) version 8","La norma ISO 9001 exclusivamente","El reglamento FSMA","La norma ISO 45001","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! La version 8 del esquema IFS Food fue publicada en octubre de 2023.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","De acuerdo con el documento, en que fecha fue publicada la version 8 del esquema IFS Food de acuerdo con lo expuesto en el contenido tecnico del curso?","B","En enero de 2020","En octubre de 2023","En 1998","En diciembre de 2015","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! Un esquema normativo estructura requisitos para que sean auditables, es decir, que puedan evaluarse de forma consistente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","Segun el material, por que se dice que un esquema normativo estructura requisitos para que sean auditables conforme a lo desarrollado en el material de estudio de la unidad?","C","Porque elimina la necesidad de controles","Porque reduce el costo de la certificacion","Porque permite que puedan evaluarse de forma consistente","Porque sustituye la gestion del riesgo","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! El IFS Food es uno de los esquemas de certificacion reconocidos por la GFSI.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","Conforme al documento, que reconocimiento internacional tiene el esquema IFS Food tal como se explica en el contenido teorico presentado en el curso?","D","No tiene reconocimiento internacional","Solo es valido en Estados Unidos","Reemplaza a la GFSI","Es uno de los esquemas de certificacion reconocidos por la GFSI","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! El IFS Food es particularmente exigido por retailers de Alemania, Francia, Italia y Europa continental.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","Segun el material, en que mercados es particularmente exigido el esquema IFS Food segun la informacion tecnica desarrollada a lo largo del material?","A","En retailers de Alemania, Francia, Italia y Europa continental","Solo en el mercado asiatico","Unicamente en America Latina","Exclusivamente en Estados Unidos","","","","","",""
"multiplechoice","SIP","SP1 Fundamentos y Marco Normativo","Yes","¡Correcto! La seguridad industrial se relaciona con el desempeno operativo, la continuidad de la operacion y el control de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIP.","1","De acuerdo con el documento, que relacion tiene la seguridad industrial con el desempeno operativo de la planta de acuerdo con los conceptos presentados en el contenido de la unidad?","B","No tiene relacion con el desempeno","Se relaciona con el desempeno operativo, la continuidad y el control de riesgos","Solo afecta el costo de la energia","Reemplaza la produccion","","","","","",""
