"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EARRN","S1 Seleccion de Metodos y Arbol Decision","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ordena las intervenciones para atender primero los riesgos mas relevantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El curso enfatiza que un plan de accion ergonomico debe basarse en los riesgos priorizados. Que aporta un plan de accion bien construido segun el material de evaluacion de riesgos ergonomicos aplicado a la mejora de los puestos de trabajo?","A","Ordena las intervenciones para atender primero los riesgos mas relevantes","Elimina la necesidad de evaluar las posturas de trabajo","Sustituye la aplicacion de cualquier metodo ergonomico","Fija el sueldo del personal encargado de las mejoras","","","","","",""
"multiplechoice","EARRN","S2 Metodos RULA y REBA Postura","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para identificar a tiempo cambios en el riesgo y ajustar las medidas de control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El curso destaca la importancia de repetir el analisis REBA de forma periodica. Por que conviene un analisis regular con el metodo REBA segun el material de evaluacion de riesgos ergonomicos aplicado al seguimiento de las tareas del trabajo?","C","Para elevar el sueldo del personal evaluado","Para fijar el precio de venta del producto fabricado","Para identificar a tiempo cambios en el riesgo y ajustar las medidas de control","Para reducir la iluminacion del puesto analizado","","","","","",""
"multiplechoice","EARRN","S3 Ecuacion NIOSH Levantamiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un indice alto senala la necesidad de modificar la tarea para reducir el riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El curso explica que la ecuacion NIOSH ayuda a decidir cuando una tarea de levantamiento debe rediscenarse. Como orienta esa decision el resultado de la ecuacion segun el material de evaluacion de riesgos ergonomicos aplicado a las cargas?","B","Un indice alto indica que la tarea es totalmente segura","Un indice alto senala la necesidad de modificar la tarea para reducir el riesgo","El resultado fija el precio del producto manipulado","El resultado determina el sueldo del trabajador","","","","","",""
"multiplechoice","EARRN","S4 Metodos OWAS OCRA ROSA HARM","Yes","¡Correcto! Segun el material del curso, lo correcto es: De forma complementaria a otros metodos para cubrir el riesgo de la extremidad superior.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El curso explica que HARM se emplea de forma complementaria dentro del conjunto de metodos ergonomicos. Como se utiliza HARM segun el material de evaluacion de riesgos ergonomicos aplicado a la seleccion e integracion de metodos en el trabajo?","D","Como unico metodo valido para cualquier tarea","Como sustituto de toda medicion de ruido","Como metodo exclusivo para el levantamiento de cargas","De forma complementaria a otros metodos para cubrir el riesgo de la extremidad superior","","","","","",""
"multiplechoice","EARRN","S5 Antropometria ISO y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: La ISO 7250 aporta las dimensiones del cuerpo y la ISO 14738 las aplica al diseno del puesto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El curso relaciona las normas ISO 7250 e ISO 14738 como complementarias en el diseno del puesto. Como se articulan ambas normas segun el material de evaluacion de riesgos ergonomicos aplicado al diseno antropometrico de los puestos de trabajo?","A","La ISO 7250 aporta las dimensiones del cuerpo y la ISO 14738 las aplica al diseno del puesto","Ambas normas regulan el nivel de ruido de la maquinaria","Ambas fijan la temperatura de operacion de los equipos","Ambas determinan el precio del mobiliario de oficina","","","","","",""
"multiplechoice","EARRN","S1 Seleccion de Metodos y Arbol Decision","Yes","¡Correcto! Segun el material del curso, lo correcto es: El tipo de tarea y la exigencia fisica predominante que presenta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El material describe que la seleccion de metodos considera tanto el tipo de tarea como la exigencia fisica dominante. Que combinacion guia esa seleccion segun el curso de evaluacion de riesgos ergonomicos aplicado a la clasificacion de tareas?","C","El color del equipo y el sueldo del trabajador","El precio del producto y la hora del turno","El tipo de tarea y la exigencia fisica predominante que presenta","La antiguedad contable y la marca de la maquina","","","","","",""
"multiplechoice","EARRN","S2 Metodos RULA y REBA Postura","Yes","¡Correcto! Segun el material del curso, lo correcto es: RULA se orienta a tareas sedentarias del miembro superior y REBA a tareas dinamicas de cuerpo completo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El material contrasta RULA y REBA segun el tipo de tarea a la que se adaptan mejor. Cual es la diferencia clave entre ambos metodos segun el curso de evaluacion de riesgos ergonomicos aplicado a la seleccion del metodo postural adecuado?","B","RULA mide ruido y REBA mide temperatura ambiental","RULA se orienta a tareas sedentarias del miembro superior y REBA a tareas dinamicas de cuerpo completo","RULA es quimico y REBA es un metodo biologico","Ambos son identicos y producen siempre el mismo valor","","","","","",""
"multiplechoice","EARRN","S3 Ecuacion NIOSH Levantamiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: El peso maximo de referencia en condiciones ideales antes de aplicar los multiplicadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El material presenta la constante de carga como el punto de partida del calculo del RWL. Que representa esa constante de carga segun el curso de evaluacion de riesgos ergonomicos aplicado a la ecuacion NIOSH de levantamiento manual de cargas?","D","El nivel de ruido de referencia del puesto de trabajo","La temperatura ideal del ambiente de levantamiento","El costo de referencia de la maquinaria empleada","El peso maximo de referencia en condiciones ideales antes de aplicar los multiplicadores","","","","","",""
"multiplechoice","EARRN","S4 Metodos OWAS OCRA ROSA HARM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para captar como se distribuyen las distintas posturas a lo largo de la jornada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El material senala que OWAS emplea un muestreo temporal de las posturas durante la tarea. Por que se realiza ese muestreo en el tiempo segun el curso de evaluacion de riesgos ergonomicos aplicado al metodo OWAS en tareas variadas del trabajo?","A","Para captar como se distribuyen las distintas posturas a lo largo de la jornada","Para medir el nivel de ruido en distintos momentos","Para registrar la temperatura del ambiente cada hora","Para calcular el sueldo del trabajador por postura","","","","","",""
"multiplechoice","EARRN","S5 Antropometria ISO y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque no acomoda a los trabajadores mas pequenos ni a los mas grandes de la poblacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EARRN.","1","El material advierte que disenar solo para el trabajador promedio deja fuera a parte de la poblacion. Por que se evita ese enfoque segun el curso de evaluacion de riesgos ergonomicos aplicado al diseno antropometrico de los puestos de trabajo?","C","Porque el promedio encarece el mobiliario del puesto","Porque el promedio aumenta el ruido del ambiente","Porque no acomoda a los trabajadores mas pequenos ni a los mas grandes de la poblacion","Porque el promedio eleva la temperatura del puesto","","","","","",""
