"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: La implementacion de sistemas de trazabilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes aspectos es fundamental para la defensa alimentaria en Colombia?","A","La implementacion de sistemas de trazabilidad.","La produccion de alimentos convencionales sin regulaciones.","La importacion masiva de productos alimenticios.","El aumento del uso de pesticidas sin control.","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger la salud publica y prevenir enfermedades.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el contexto colombiano, cual es uno de los principales objetivos de la regulacion sanitaria en los alimentos?","C","Fomentar la economia a traves de la reduccion de costos.","Promover la globalizacion en la industria alimentaria.","Proteger la salud publica y prevenir enfermedades.","Asegurar la competitividad del mercado global.","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Enfatiza la necesidad de produccion local sostenible y segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Con base en el material del curso Cumplimiento Regulatorio Alimentario y Autoridades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que papel juega el contexto nacional en la urgencia de implementar estrategias de defensa alimentaria en Colombia?","B","Fomenta la competencia desleal entre empresas nacionales.","Enfatiza la necesidad de produccion local sostenible y segura.","Permite el aumento de importaciones sin restricciones.","Reduce la importancia de la innovacion en la industria alimentaria.","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aplicar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de los siguientes verbos es el mas adecuado para describir un objetivo de aprendizaje en el ambito de la regulacion sanitaria?","D","Analizar","Evaluar","Describir","Aplicar","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar auditorias de calidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","De acuerdo con los fundamentos presentados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual de las siguientes tareas es fundamental para garantizar la inocuidad alimentaria en Colombia?","B","Desarrollar campanias publicitarias","Realizar auditorias de calidad","Promover habitos alimenticios","Establecer relaciones comerciales","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mejora la calidad del servicio y reduce riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cuales son los beneficios de 'capacitar' al personal en la implementacion de normas sanitarias?","D","Limita los procesos innovadores","Aumenta la rotacion de personal","Genera desconfianza en la direccion","Mejora la calidad del servicio y reduce riesgos","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite el acceso a material en cualquier momento y lugar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la principal ventaja del aprendizaje e-learning en la capacitacion de responsables de calidad e inocuidad?","A","Permite el acceso a material en cualquier momento y lugar.","Reduce el tiempo dedicado al estudio a la mitad.","Elimina la necesidad de evaluacion continua.","Facilita el contacto directo y constante con el instructor.","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Foros de discusion entre estudiantes sobre casos practicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el contexto del objeto de estudio de la defensa alimentaria, que recurso interactivo es especialmente util?","C","Infografias estaticas sobre la calidad del alimento.","Videos tutoriales sobre normativas regulatorias.","Foros de discusion entre estudiantes sobre casos practicos.","Articulos academicos que abordan la teoria basica.","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite la personalizacion de contenidos segun las necesidades del estudiante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de las siguientes afirmaciones describe mejor la ruta de estudio en un programa e-learning para calidad e inocuidad?","C","Involucra unicamente clases magistrales grabadas.","El seguimiento solo se realiza al final del curso.","Permite la personalizacion de contenidos segun las necesidades del estudiante.","Es un camino fijo donde los alumnos siguen un solo libro de texto.","","","","","",""
"multiplechoice","ASNCO","C1 Marco Sanitario de Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer un marco teorico sobre la normativa internacional de inocuidad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Tomando en cuenta lo estudiado en el curso Cumplimiento Regulatorio Alimentario y Autoridades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el objetivo principal de la primera etapa del curso sobre calidad e inocuidad alimentaria?","A","Establecer un marco teorico sobre la normativa internacional de inocuidad alimentaria.","Revisar casos de fallos alimentarios en el pasado.","Enseniar tecnicas culinarias modernas.","Implementar practicas de auditoria en empresas alimentarias.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las amenazas potenciales y como mitigarlas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","De acuerdo con los fundamentos presentados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Durante la segunda fase del curso, que elementos se analizan en relacion a la defensa alimentaria?","A","Las amenazas potenciales y como mitigarlas.","Las tendencias en el consumo alimentario.","El proceso de produccion de alimentos.","Las tecnicas de marketing de productos alimentarios.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los participantes deben poder diseniar un plan de accion de control especifico para una empresa alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual es un resultado esperado al finalizar la etapa de implementacion de medidas de control en el curso?","C","Los participantes deben ser capaces de cocinar platos sin riesgos sanitarios.","Los participantes deben haber completado un examen teorico sobre inocuidad alimentaria.","Los participantes deben poder diseniar un plan de accion de control especifico para una empresa alimentaria.","Los participantes deben haber estudiado la historia de las regulaciones en alimentos.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer normas para la proteccion y promocion de la salud publica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el objetivo principal de la Ley 9 de 1979 en el contexto sanitario colombiano?","B","Regular los precios de los medicamentos en el mercado.","Establecer normas para la proteccion y promocion de la salud publica.","Regular el comercio internacional de productos agropecuarios.","Fomentar la competencia entre empresas de alimentos.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer la clasificacion de riesgo de los alimentos y su control sanitario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: La Resolucion 2674 de 2013 tiene como funcion principal:","D","Aumentar los impuestos sobre productos agroalimentarios.","Prohibir la importacion de alimentos no procesados.","Regular el etiquetado y la publicidad de productos alimenticios.","Establecer la clasificacion de riesgo de los alimentos y su control sanitario.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Instituto Nacional de Vigilancia de Medicamentos y Alimentos (INVIMA).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Que entidad es la responsable de la implementacion de las normas establecidas en la Ley 9 de 1979?","B","El Ministerio de Agricultura y Desarrollo Rural.","El Instituto Nacional de Vigilancia de Medicamentos y Alimentos (INVIMA).","La Superintendencia de Industria y Comercio.","La Unidad Administrativa Especial de Sanidad Animal.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Regular y controlar productos alimenticios y farmaceuticos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Tomando en cuenta lo estudiado en el curso Cumplimiento Regulatorio Alimentario y Autoridades sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es la principal funcion del INVIMA en el contexto regulatorio colombiano?","D","Desarrollar politicas agrarias para el sector agricola.","Promover la comercializacion de productos agricolas.","Proveer financiamiento a agricultores locales.","Regular y controlar productos alimenticios y farmaceuticos.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Supervisar las condiciones de sanidad animal y vegetal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","De acuerdo con los fundamentos presentados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: El ICA se encarga de:","A","Supervisar las condiciones de sanidad animal y vegetal.","Garantizar la calidad de los productos farmaceuticos.","Gestionar la educacion alimentaria en los colegios.","Regular el comercio internacional de semillas.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mediante el establecimiento de normativas y evaluaciones constantes a las practicas agricolas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Considerando el enfoque metodologico del curso Cumplimiento Regulatorio Alimentario y Autoridades y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Como se garantiza la competencia del ICA sobre la inocuidad alimentaria?","C","A traves de la supervision exclusiva de las fabricas de alimentos.","Por medio de campanias educativas dirigidas a consumidores finales.","Mediante el establecimiento de normativas y evaluaciones constantes a las practicas agricolas.","A traves de la implementacion de sistemas de gestion de calidad.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La prevencion y control de riesgos, garantizando la inocuidad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","En el marco del curso Cumplimiento Regulatorio Alimentario y Autoridades, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes es un principio fundamental en la regulacion sanitaria de alimentos en Colombia?","C","La libre comercializacion de productos sin certificacion.","La promocion de la produccion masiva sin considerar las normas sanitarias.","La prevencion y control de riesgos, garantizando la inocuidad alimentaria.","El aumento de precios como medida sanitaria.","","","","","",""
"multiplechoice","ASNCO","C2 INVIMA e ICA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Ministerio de Salud y Proteccion Social.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun los contenidos desarrollados en el curso Cumplimiento Regulatorio Alimentario y Autoridades, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que entidad es responsable de la vigilancia y control de la salud publica en Colombia?","A","El Ministerio de Salud y Proteccion Social.","El Instituto Colombiano de Normas Tecnicas y Certificacion.","La Superintendencia de Industria y Comercio.","La Secretaria de Agricultura y Desarrollo Rural.","","","","","",""
"multiplechoice","ASNCO","C3 Instrumentos y Tramites","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer condiciones generales para la produccion y comercializacion de alimentos garantizando su inocuidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Con base en el material del curso Cumplimiento Regulatorio Alimentario y Autoridades y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual es el proposito del Reglamento Sanitario de Alimentos en Colombia?","A","Establecer condiciones generales para la produccion y comercializacion de alimentos garantizando su inocuidad.","Regular solo los precios de los alimentos.","Servir unicamente de guia para la elaboracion de productos alimenticios.","Aumentar la cantidad de productos importados sin control.","","","","","",""
"multiplechoice","ASNCO","C3 Instrumentos y Tramites","Yes","¡Correcto! Segun el material del curso, lo correcto es: Termometro infrarrojo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de los siguientes instrumentos sanitarios se utiliza principalmente para la medicion de temperatura en productos alimenticios sin contacto directo?","C","Termometro digital con sonda","Higrometro","Termometro infrarrojo","Termometro de mercurio","","","","","",""
"multiplechoice","ASNCO","C3 Instrumentos y Tramites","Yes","¡Correcto! Segun el material del curso, lo correcto es: Instrumentos de laboratorio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: En la clasificacion de los instrumentos de medicion, que categoria corresponde a los dispositivos que realizan analisis microbiologicos?","B","Instruments de campo","Instrumentos de laboratorio","Instrumentos de inspeccion","Equipos de monitoreo ambiental","","","","","",""
"multiplechoice","ASNCO","C3 Instrumentos y Tramites","Yes","¡Correcto! Segun el material del curso, lo correcto es: Termometro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Que tipo de instrumento sanitario es fundamental para garantizar que los alimentos se manipulan a temperaturas seguras y evitar la proliferacion de bacterias?","D","pH-metro","Contador de celulas","Balanza","Termometro","","","","","",""
"multiplechoice","ASNCO","C3 Instrumentos y Tramites","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registro Sanitario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNCO.","1","Segun el material del curso Cumplimiento Regulatorio Alimentario y Autoridades, responde con precision: Cual de los siguientes documentos es esencial para llevar a cabo un tramite sanitario en Colombia relacionado con productos alimenticios?","B","Factura comercial","Registro Sanitario","Permiso de importacion","Certificado de calidad","","","","","",""
