"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar un marco teorico que integre conocimientos de mantenimiento y HSE.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","En el marco del curso Resguardos, Interbloqueos y Prevencion del Arranque, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el proposito principal del curso en relacion con la industria de maquinaria?","A","Proporcionar un marco teorico que integre conocimientos de mantenimiento y HSE.","Capacitar en el uso de maquinaria pesada unicamente.","Desarrollar habilidades tecnicas especificas en maquinaria industrial.","Ofrecer certificaciones de operador de maquinaria industrial.","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Normas de seguridad industrial y HSE.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","Segun los contenidos desarrollados en el curso Resguardos, Interbloqueos y Prevencion del Arranque, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual de las siguientes normas debe ser respetada en el marco del curso?","C","Normas ISO 14001 para gestion ambiental.","Normas de eficiencia energetica en maquinaria.","Normas de seguridad industrial y HSE.","Normas ISO 9001 sobre gestion de calidad.","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar competencias practicas para roles de integracion y mantenimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","Con base en el material del curso Resguardos, Interbloqueos y Prevencion del Arranque y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: El alcance profesional del curso se centra principalmente en:","B","Entrenar solo en analisis de datos de rendimiento.","Desarrollar competencias practicas para roles de integracion y mantenimiento.","Capacitar exclusivamente en la gestion administrativa de la maquinaria.","Proporcionar conocimientos teoricos sin aplicacion practica.","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacidad de aplicar conocimientos tecnicos en situaciones reales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","Segun el material del curso Resguardos, Interbloqueos y Prevencion del Arranque, responde con precision: Cual de los siguientes elementos se considera clave para la evaluacion de los resultados de aprendizaje en profesionales de ingenieria industrial?","D","Experiencia previa en el sector unicamente","Requisitos de formacion academica estrictos","Certificaciones internacionales sin validez","La capacidad de aplicar conocimientos tecnicos en situaciones reales","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementacion de protocolos de seguridad adecuados y actualizados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","Segun el material del curso Resguardos, Interbloqueos y Prevencion del Arranque, responde con precision: En el contexto de HSE, que desempenio profesional es vital para garantizar la seguridad en el trabajo?","B","Capacidad de gestionar equipos sin supervision","Implementacion de protocolos de seguridad adecuados y actualizados","Realizacion de tareas administrativas solamente","Conocimiento de las ultimas maquinarias","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La alineacion de objetivos tecnicos con expectativas de stakeholders.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","Considerando el enfoque metodologico del curso Resguardos, Interbloqueos y Prevencion del Arranque y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Que aspecto de la planificacion de proyectos es esencial para los ingenieros en su desempenio profesional?","D","Siguiendo unicamente el presupuesto disponible","La seleccion aleatoria de materiales","La revision de documentacion solo al finalizar el proyecto","La alineacion de objetivos tecnicos con expectativas de stakeholders","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la comprension y el aprendizaje autonomo de los estudiantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","En el marco del curso Resguardos, Interbloqueos y Prevencion del Arranque, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la principal funcion de un recurso didactico en la metodologia de ensenianza a distancia?","A","Facilitar la comprension y el aprendizaje autonomo de los estudiantes.","Solo servir como material de consulta para examenes.","Proporcionar contenido teorico sin interaccion.","Aumentar la carga de trabajo de los estudiantes.","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Emplear graficos y diagramas que resalten la informacion clave.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","Segun los contenidos desarrollados en el curso Resguardos, Interbloqueos y Prevencion del Arranque, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el marco de la metodologia de ensenianza visual, cual de las siguientes estrategias es mas efectiva?","C","Utilizar textos largos y complejos.","Ignorar el uso de elementos visuales en favor de la teoria pura.","Emplear graficos y diagramas que resalten la informacion clave.","Presentar solamente informacion auditiva.","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluaciones basadas en proyectos y auto-reflexion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","Con base en el material del curso Resguardos, Interbloqueos y Prevencion del Arranque y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que metodo es mas adecuado para evaluar estudiantes en un entorno de aprender a aprender?","C","Examenes orales con preguntas cerradas.","Pruebas tipo seleccion multiple sin feedback.","Evaluaciones basadas en proyectos y auto-reflexion.","Revisiones de tareas sin interaccion con el estudiante.","","","","","",""
"multiplechoice","RISM","C1 Jerarquia y Resguardos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La secuencia de los contenidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RISM.","1","Tomando en cuenta lo estudiado en el curso Resguardos, Interbloqueos y Prevencion del Arranque sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de los siguientes elementos es fundamental para la organizacion de un programa en maquinaria industrial?","A","La secuencia de los contenidos","El tamanio de las maquinas","Los costos operativos","Las expectativas del cliente","","","","","",""
