"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! Codigo de Salud, RTCA y registro sanitario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","De acuerdo con el contenido, que tres pilares se presentan como el marco aplicable en Guatemala para el cumplimiento alimentario.","A","Codigo de Salud, RTCA y registro sanitario","Aranceles, subsidios y cuotas de exportacion","Normas ISO, HACCP y auditorias privadas","Contratos, seguros y garantias comerciales","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! Proteger la salud publica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el material, cual es el objeto principal que persigue el Codigo de Salud como norma marco del sistema sanitario.","B","Promover la libre competencia comercial","Proteger la salud publica","Fijar los precios de los alimentos","Regular la publicidad de marcas","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! En los RTCA y reglamentos tecnicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Conforme al documento, en que se concreta el desarrollo del Codigo de Salud para el sector de alimentos.","C","En resoluciones judiciales individuales","En acuerdos privados entre empresas","En los RTCA y reglamentos tecnicos","En manuales internos de cada planta","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! Porque el analisis de ambito identifica que obligaciones le resultan exigibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el contenido, por que una planta de alimentos debe delimitar el ambito de aplicacion de una norma y no solo conocerla.","D","Porque todas las normas aplican siempre por igual","Porque la autoridad no revisa la aplicabilidad","Porque conocer la norma exime de cumplirla","Porque el analisis de ambito identifica que obligaciones le resultan exigibles","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! Armonizan los requisitos alimentarios entre paises de Centroamerica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el material, que papel cumplen los reglamentos tecnicos centroamericanos respecto de los requisitos alimentarios en la region.","A","Armonizan los requisitos alimentarios entre paises de Centroamerica","Prohiben el comercio entre paises vecinos","Eliminan la necesidad de registro sanitario","Regulan solo el transporte maritimo","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! El Codigo de Salud como norma marco.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el contenido, cual es el fundamento juridico de las competencias de las autoridades sanitarias en Guatemala.","B","Un convenio internacional de comercio","El Codigo de Salud como norma marco","El reglamento interno de cada empresa","Una guia tecnica voluntaria","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! Que el foco nacional esta en la exigencia local, diferenciada de los fundamentos internacionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Conforme al material, que relacion establece el curso entre el marco legal nacional y los cursos transversales internacionales.","C","Que el marco nacional es irrelevante frente a lo internacional","Que ambos tratan exactamente los mismos requisitos","Que el foco nacional esta en la exigencia local, diferenciada de los fundamentos internacionales","Que lo internacional sustituye al marco nacional","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! Aplicarla correctamente a la operacion real de la empresa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","De acuerdo con el contenido, que se busca al interpretar una exigencia normativa dentro del marco sanitario nacional.","D","Evitar por completo su cumplimiento","Trasladar la obligacion a la autoridad","Retrasar indefinidamente su aplicacion","Aplicarla correctamente a la operacion real de la empresa","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! Permite ubicar cada requisito en su base legal y su desarrollo tecnico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Conforme al documento, cual es la utilidad de comprender la jerarquia entre norma marco y desarrollo tecnico.","C","Permite ignorar los reglamentos tecnicos","Sirve solo para tramites de exportacion","Permite ubicar cada requisito en su base legal y su desarrollo tecnico","No tiene aplicacion practica en la empresa","","","","","",""
"multiplechoice","ASNGT","S1 Marco Legal Nacional","Yes","¡Correcto! Un enfoque centrado en Guatemala y su marco regulatorio local.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el contenido, que enfoque nacional adopta el curso al desarrollar el cumplimiento regulatorio alimentario.","A","Un enfoque centrado en Guatemala y su marco regulatorio local","Un enfoque exclusivamente europeo","Un enfoque limitado al comercio digital","Un enfoque sin referencia a autoridades","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! En productos primarios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Conforme al material, en que casos interviene el MAGA como autoridad competente segun el curso.","B","En alimentos ultraprocesados envasados","En productos primarios","En servicios financieros de la empresa","En publicidad de marcas comerciales","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! Los alimentos procesados o elaborados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","De acuerdo con el documento, que tipo de alimentos regulan principalmente el MSPAS y el DRCA.","A","Los alimentos procesados o elaborados","Unicamente semillas sin procesar","Solo alimentos de consumo animal","Exclusivamente bebidas alcoholicas","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! Con el registro, la vigilancia y la inspeccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el material, con que actuaciones se relacionan las funciones de las autoridades sanitarias competentes.","D","Con la fijacion de precios minimos","Con la contratacion de personal","Con la publicidad en medios","Con el registro, la vigilancia y la inspeccion","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! Departamento de Regulacion y Control de Alimentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el documento, que significa la sigla DRCA en el marco institucional guatemalteco.","C","Direccion Regional de Comercio Alimentario","Departamento de Recursos y Control Ambiental","Departamento de Regulacion y Control de Alimentos","Direccion de Registro y Certificacion Agricola","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! Las funciones de vigilancia y control se relacionan con la preparacion documental.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Conforme al documento, que relacion existe entre las funciones de la autoridad y la preparacion documental de la empresa.","B","No existe relacion alguna","Las funciones de vigilancia y control se relacionan con la preparacion documental","La empresa define las funciones de la autoridad","La documentacion sustituye a la inspeccion","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! Segun el tipo de producto, atendiendo lo primario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","De acuerdo con el contenido, como debe distinguirse el ambito del MAGA frente al de otras autoridades.","A","Segun el tipo de producto, atendiendo lo primario","Segun el precio del producto","Segun la marca de la empresa","Segun el idioma de la etiqueta","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! El conjunto de autoridades sanitarias con competencias diferenciadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el documento, que integran conjuntamente MSPAS, DRCA y MAGA en el marco descrito.","D","Un tribunal de comercio exterior","Una bolsa de valores agricola","Un consorcio privado de exportadores","El conjunto de autoridades sanitarias con competencias diferenciadas","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! En el Ministerio de Salud Publica y Asistencia Social.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el contenido, dentro de que ministerio se ubica el Departamento de Regulacion y Control de Alimentos.","C","En el Ministerio de Economia","En el Ministerio de Agricultura, Ganaderia y Alimentacion","En el Ministerio de Salud Publica y Asistencia Social","En el Ministerio de Finanzas","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! Clasificar la competencia institucional por tipo de producto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el material, que permite el mapa de decision institucional propuesto en la unidad de autoridades.","D","Fijar precios de exportacion","Eliminar tramites sanitarios","Reemplazar a la autoridad competente","Clasificar la competencia institucional por tipo de producto","","","","","",""
"multiplechoice","ASNGT","S2 Autoridades Sanitarias","Yes","¡Correcto! El MAGA.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Conforme al contenido, que autoridad regula la etapa primaria de la cadena alimentaria en Guatemala.","B","El DRCA de forma exclusiva","El MAGA","La camara de exportadores","El Ministerio de Economia","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! Las herramientas con las que la empresa demuestra su cumplimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el material, que son los instrumentos regulatorios dentro del cumplimiento sanitario de una empresa de alimentos.","A","Las herramientas con las que la empresa demuestra su cumplimiento","Los precios fijados por la autoridad","Los contratos entre empresas privadas","Las campanas publicitarias del producto","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! El registro habilita el producto y la notificacion comunica eventos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","De acuerdo con el documento, que diferencia funcional se establece entre registro y notificacion.","C","Ambos habilitan el establecimiento","Ambos comunican precios a la autoridad","El registro habilita el producto y la notificacion comunica eventos","No existe diferencia entre ellos","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! La licencia o autorizacion del establecimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el material, que instrumento debe gestionar la empresa para operar legalmente su establecimiento.","B","El registro sanitario del producto","La licencia o autorizacion del establecimiento","La notificacion de eventos","El certificado de exportacion","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! Ante el MSPAS.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el documento, ante quien se gestiona el Registro Sanitario de Referencia de alimentos en Guatemala.","A","Ante el MSPAS","Ante el Ministerio de Economia","Ante la camara de comercio","Ante el pais importador","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! Los registros sanitarios, licencias y notificaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el material, que evidencia demuestra el cumplimiento mediante los instrumentos regulatorios.","D","Solo la publicidad del producto","Unicamente las ventas realizadas","El numero de empleados","Los registros sanitarios, licencias y notificaciones","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! La licencia autoriza el establecimiento y el registro habilita el producto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","De acuerdo con el contenido, que instrumento autoriza el establecimiento y cual habilita el producto.","C","El registro autoriza el establecimiento y la licencia el producto","Ambos autorizan solo el establecimiento","La licencia autoriza el establecimiento y el registro habilita el producto","Ninguno se relaciona con producto o establecimiento","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! Incurre en incumplimiento frente a la autoridad sanitaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el documento, que ocurre si la empresa no cuenta con los instrumentos regulatorios exigidos.","B","No hay consecuencia alguna","Incurre en incumplimiento frente a la autoridad sanitaria","Obtiene beneficios fiscales automaticos","Se le exime de inspecciones","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! La informacion exigida por la norma para cada tramite.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Conforme al material, que informacion suele asociarse a la gestion de los instrumentos regulatorios.","A","La informacion exigida por la norma para cada tramite","El precio de la competencia","La estrategia de ventas mensual","El organigrama financiero","","","","","",""
"multiplechoice","ASNGT","S3 Instrumentos Regulatorios","Yes","¡Correcto! Un enfoque operativo del cumplimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ASNGT.","1","Segun el material, que enfoque se adopta al distinguir registro, notificacion, permiso y licencia.","C","Un enfoque estrictamente financiero","Un enfoque publicitario","Un enfoque operativo del cumplimiento","Un enfoque de reduccion de personal","","","","","",""
