"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El BRCGS, originalmente British Retail Consortium, fue creado en 1998 por la asociacion de retailers britanicos para armonizar los requisitos de inocuidad de proveedores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","Segun el material, en que ano y por que organizacion fue creado el BRCGS, originalmente conocido como British Retail Consortium?","A","En 1998 por la asociacion de retailers britanicos para armonizar requisitos de inocuidad de proveedores","En 2009 por la Fundacion FSSC","En 2003 por retailers de Alemania y Francia","En 1993 por el Codex Alimentarius","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El BRCGS es el esquema mas antiguo reconocido por la GFSI, junto con SQF e IFS.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","De acuerdo con el documento, que distincion tiene el BRCGS respecto a otros esquemas reconocidos por la GFSI de acuerdo con lo expuesto en el contenido tecnico del curso?","B","Es el unico esquema no reconocido por la GFSI","Es el esquema mas antiguo reconocido por la GFSI, junto con SQF e IFS","Es el unico que no incluye HACCP","Es un esquema exclusivo del mercado asiatico","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El Global Standard for Food Safety del BRCGS se aplica a fabricantes que suministran al retail, ya sea de marca propia o marca nacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","Segun el material, a que tipo de organizaciones se aplica el Global Standard for Food Safety del BRCGS conforme a lo desarrollado en el material de estudio de la unidad?","C","Solo a los retailers minoristas","Unicamente a los transportistas de alimentos","A fabricantes que suministran retail, ya sea de marca propia o nacional","Exclusivamente a productores primarios agricolas","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! La version 9 del BRCGS, de 2022, actualizo el estandar con enfasis en la cultura de inocuidad, la sostenibilidad y la autenticidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","Conforme al documento, en que aspectos puso enfasis la actualizacion de la version 9 del BRCGS publicada en 2022 tal como se explica en el contenido teorico presentado en el curso?","D","En reducir el numero de capitulos a tres","En eliminar el plan HACCP","En sustituir la certificacion por autoevaluacion","En la cultura de inocuidad, la sostenibilidad y la autenticidad","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El estandar BRCGS version 9 se estructura en nueve capitulos prescriptivos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","Segun el material, cuantos capitulos estructuran el estandar BRCGS version 9 de inocuidad alimentaria segun la informacion tecnica desarrollada a lo largo del material?","A","Nueve capitulos","Seis capitulos","Tres capitulos","Doce capitulos","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El capitulo 1, Senior management commitment, se centra en el compromiso visible de la direccion, la cultura, los recursos y los indicadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","De acuerdo con el documento, cual es el foco del capitulo 1 del BRCGS, Senior management commitment de acuerdo con los conceptos presentados en el contenido de la unidad?","B","La documentacion y el control de documentos","El compromiso visible de la direccion, la cultura, los recursos y los indicadores","El diseno higienico de los equipos","El control de productos comercializados","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El capitulo 2 del BRCGS exige un plan HACCP completo conforme al Codex como Food Safety Plan.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","Segun el material, que exige el capitulo 2 del BRCGS relativo al Food safety plan de acuerdo con lo expuesto en el contenido tecnico del curso?","C","La gestion de productos comercializados","El control de zonas de alto riesgo","Un plan HACCP completo conforme al Codex","La capacitacion e higiene del personal","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El capitulo 8 del BRCGS aborda las zonas de alto riesgo (RTE, lacteos), estableciendo requisitos adicionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","Conforme al documento, que aborda el capitulo 8 del BRCGS sobre High-risk, high-care zones conforme a lo desarrollado en el material de estudio de la unidad?","D","El compromiso de la alta direccion","El plan HACCP del sitio","La documentacion del sistema de gestion","Las zonas de alto riesgo, como RTE o lacteos, con requisitos adicionales","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El capitulo 9 del BRCGS cubre los Traded products, es decir los productos comercializados que no son producidos por el sitio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","Segun el material, que cubre el capitulo 9 del BRCGS relativo a Traded products tal como se explica en el contenido teorico presentado en el curso?","A","Los productos comercializados no producidos por el sitio","El compromiso de la direccion","El diseno del layout interno","La gestion de alergenos","","","","","",""
"multiplechoice","BRCGS","BR1 Origen Estructura y GFSI","Yes","¡Correcto! El BRCGS v9 se estructura en 9 capitulos prescriptivos, mientras FSSC 22000 v6 combina la ISO 22000, la ISO/TS 22002 y requisitos adicionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BRCGS.","1","De acuerdo con el documento, en que se diferencia la estructura del BRCGS v9 respecto a la del FSSC 22000 v6?","B","El BRCGS carece de reconocimiento GFSI","El BRCGS usa 9 capitulos prescriptivos, mientras FSSC combina ISO 22000, ISO/TS 22002 y requisitos adicionales","El BRCGS no incluye HACCP y FSSC si","Ambos usan exactamente la misma estructura","","","","","",""
