"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Niveles de respuesta segun capacitacion y equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","Segun el material, que distingue el esquema HAZWOPER en la respuesta a emergencias quimicas.","A","Niveles de respuesta segun capacitacion y equipo","Los precios de los productos quimicos","Las marcas de los proveedores","El horario del personal","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Reconocer el incidente y activar la alarma.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","De acuerdo con el contenido, que funcion cumple el nivel awareness o de concienciacion.","C","Controlar activamente la fuente","Neutralizar el derrame directamente","Reconocer el incidente y activar la alarma","Cerrar valvulas de la fuente","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Contiene sin contacto directo: aisla, evacua y protege.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","Segun el documento, que caracteriza al nivel operations o defensivo de HAZWOPER.","B","Controla la fuente en contacto directo","Contiene sin contacto directo: aisla, evacua y protege","No realiza ninguna accion","Solo fija precios de kits","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Personal con equipo y entrenamiento especializado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","Conforme al material, quien ejecuta el nivel technician u ofensivo de respuesta.","D","Cualquier trabajador sin equipo","Solo el personal administrativo","Unicamente visitantes","Personal con equipo y entrenamiento especializado","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Trajes quimicos y equipos de respiracion autonoma.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","Segun el documento, que equipo requiere el nivel technician para actuar sobre la fuente.","A","Trajes quimicos y equipos de respiracion autonoma","Solo guantes de tela","Ningun equipo especial","Solo un chaleco reflectante","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Se elige defensiva por defecto y ofensiva solo si es segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","De acuerdo con el material, que principio rige la eleccion entre respuesta defensiva y ofensiva.","C","Se elige ofensiva siempre","Se elige segun el precio del producto","Se elige defensiva por defecto y ofensiva solo si es segura","Se elige al azar","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Olores inusuales, nieblas, envases danados o sintomas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","Segun el contenido, que reconoce el personal en nivel awareness ante una posible liberacion quimica.","B","El precio del quimico","Olores inusuales, nieblas, envases danados o sintomas","La marca del proveedor","El horario de trabajo","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Aproximarse a investigar la fuente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","Conforme al documento, que NO debe hacer el personal de nivel awareness ante la duda.","D","Dar la alarma","Reconocer las senales","Mantener la distancia","Aproximarse a investigar la fuente","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Alejar y resguardar a las personas cercanas desde zona segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","Conforme al material, que hace la respuesta defensiva para proteger a terceros.","A","Alejar y resguardar a las personas cercanas desde zona segura","Controlar la fuente sin equipo","Fijar precios de emergencia","Ignorar a las personas","","","","","",""
"multiplechoice","REQ","C1 Niveles HAZWOPER","Yes","¡Correcto! Porque salva vidas y evita exposicion innecesaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso REQ.","1","De acuerdo con el documento, por que la mayoria del personal debe mantenerse en acciones defensivas.","C","Porque es mas barato","Porque la marca lo exige","Porque salva vidas y evita exposicion innecesaria","Porque asi lo pide el cliente","","","","","",""
