"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","OMS","S1 Clasificacion y Normativa OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El manual de usuario del fabricante del montacargas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme a la reglamentacion presentada, que documento debe consultar obligatoriamente el operario antes de iniciar la operacion de un montacargas para conocer sus especificaciones y limitaciones tecnicas?","A","El manual de usuario del fabricante del montacargas","El contrato laboral del operador","El registro contable de ventas del almacen","La factura de compra del equipo","","","","","",""
"multiplechoice","OMS","S2 Inspeccion y Checklist Diario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reportar la falla y no operar el equipo hasta su reparacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme al contenido, que debe hacer el operador si durante la inspeccion diaria detecta una fuga en el sistema hidraulico del montacargas antes de iniciar la operacion?","C","Continuar operando y reportarla al final del turno","Limpiar la fuga y seguir trabajando normalmente","Reportar la falla y no operar el equipo hasta su reparacion","Reducir la carga para compensar la fuga","","","","","",""
"multiplechoice","OMS","S3 Estabilidad y Centro de Carga","Yes","¡Correcto! Segun el material del curso, lo correcto es: El formado por las ruedas de apoyo y el punto de pivote del equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme al material del curso, que triangulo de estabilidad describe el equilibrio de un montacargas de contrapeso y como influye en la seguridad de la operacion?","B","El formado por las tres horquillas del sistema de elevacion","El formado por las ruedas de apoyo y el punto de pivote del equipo","El area de la cabina donde se sienta el operador","El espacio libre entre el equipo y la estanteria","","","","","",""
"multiplechoice","OMS","S4 Maniobras y Manejo de Cargas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar el peso, el centro de carga y la estabilidad del objeto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme al material, que debe hacer el operador antes de recoger una carga con el montacargas para asegurar que la maniobra de elevacion sea segura y estable?","D","Elevar las horquillas al maximo antes de acercarse","Acelerar hacia la carga para insertar las horquillas","Descender del equipo para empujar la carga a mano","Verificar el peso, el centro de carga y la estabilidad del objeto","","","","","",""
"multiplechoice","OMS","S5 EPP y Prevencion de Volcamiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: El techo protector o guarda superior instalada sobre la cabina.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme al material del curso, que medida de proteccion estructural del montacargas ayuda a resguardar al operador frente a la caida de objetos durante la operacion?","A","El techo protector o guarda superior instalada sobre la cabina","El color reflectante de la carroceria del equipo","La bocina de advertencia del montacargas","El asiento acolchado del puesto de operacion","","","","","",""
"multiplechoice","OMS","S1 Clasificacion y Normativa OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Clase VII, montacargas para terreno irregular.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","De acuerdo con el curso, que clase de montacargas se asigna a los equipos disenados especificamente para operar sobre terreno irregular o superficies no pavimentadas en exteriores?","C","Clase I, montacargas electricos de contrapeso","Clase II, montacargas electricos de pasillo estrecho","Clase VII, montacargas para terreno irregular","Clase III, montacargas electricos operados a pie","","","","","",""
"multiplechoice","OMS","S2 Inspeccion y Checklist Diario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Confirmar que el equipo esta en condiciones seguras antes de operarlo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","De acuerdo con el material del curso, cual es el objetivo del checklist previo al uso dentro de la prevencion de accidentes en la operacion de montacargas industriales?","B","Registrar el numero de cargas transportadas al dia","Confirmar que el equipo esta en condiciones seguras antes de operarlo","Evaluar el desempeno administrativo del almacen","Determinar la ruta contable de la mercancia","","","","","",""
"multiplechoice","OMS","S3 Estabilidad y Centro de Carga","Yes","¡Correcto! Segun el material del curso, lo correcto es: Disminuye significativamente y aumenta el riesgo de volcadura lateral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","De acuerdo con el curso, que sucede con la estabilidad lateral del montacargas cuando el operador realiza un giro con una carga elevada a gran altura?","D","Aumenta debido al mayor peso en altura","Permanece constante sin importar la altura","Mejora la traccion de las ruedas delanteras","Disminuye significativamente y aumenta el riesgo de volcadura lateral","","","","","",""
"multiplechoice","OMS","S4 Maniobras y Manejo de Cargas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Alinear las horquillas, introducirlas por completo y luego elevar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","De acuerdo con el curso, cual es la forma correcta de introducir las horquillas bajo una tarima o carga para levantarla sin danar la mercancia ni comprometer la estabilidad?","A","Alinear las horquillas, introducirlas por completo y luego elevar","Introducir solo la punta de las horquillas y elevar rapido","Elevar mientras se introducen las horquillas en movimiento","Empujar la tarima con las horquillas hasta desplazarla","","","","","",""
"multiplechoice","OMS","S5 EPP y Prevencion de Volcamiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque la sobrecarga desestabiliza el equipo y favorece la volcadura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","De acuerdo con el curso, por que se prohibe superar la capacidad nominal de carga como medida clave para prevenir el volcamiento del montacargas durante las maniobras?","C","Porque la sobrecarga incrementa la velocidad maxima","Porque la sobrecarga mejora la visibilidad del operador","Porque la sobrecarga desestabiliza el equipo y favorece la volcadura","Porque la sobrecarga reduce el desgaste de las ruedas","","","","","",""
"multiplechoice","OMS","S1 Clasificacion y Normativa OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir el riesgo de accidentes derivados del manejo inadecuado del equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Segun el material, cual es la razon por la que las normas de seguridad exigen que solo personal formado y autorizado opere un montacargas dentro de las instalaciones industriales?","B","Cumplir con un requisito meramente administrativo sin efecto real","Reducir el riesgo de accidentes derivados del manejo inadecuado del equipo","Aumentar el numero de operadores disponibles en la empresa","Disminuir el consumo de combustible del montacargas","","","","","",""
"multiplechoice","OMS","S2 Inspeccion y Checklist Diario","Yes","¡Correcto! Segun el material del curso, lo correcto es: El operador asignado al equipo antes de comenzar a operarlo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Segun el curso, quien es el responsable directo de realizar la inspeccion previa al uso del montacargas antes de iniciar las tareas de manipulacion de cargas durante la jornada?","D","El personal de contabilidad de la empresa","El proveedor externo de combustible","El cliente que recibe la mercancia","El operador asignado al equipo antes de comenzar a operarlo","","","","","",""
"multiplechoice","OMS","S3 Estabilidad y Centro de Carga","Yes","¡Correcto! Segun el material del curso, lo correcto es: Equilibrar el peso de la carga y mantener la estabilidad del equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Segun el material, cual es el proposito del contrapeso instalado en la parte trasera de un montacargas de contrapeso durante la manipulacion de cargas pesadas?","A","Equilibrar el peso de la carga y mantener la estabilidad del equipo","Aumentar la velocidad maxima de desplazamiento","Reducir el consumo de combustible en pendientes","Facilitar el giro rapido en pasillos estrechos","","","","","",""
"multiplechoice","OMS","S4 Maniobras y Manejo de Cargas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una velocidad reducida y controlada que permita detenerse a tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Segun el material del curso, que velocidad debe mantener el operador al maniobrar un montacargas en zonas de circulacion peatonal o intersecciones dentro de la planta?","C","La velocidad maxima permitida por el equipo","Una velocidad alta para liberar rapido el paso","Una velocidad reducida y controlada que permita detenerse a tiempo","La misma velocidad que en pasillos despejados","","","","","",""
"multiplechoice","OMS","S5 EPP y Prevencion de Volcamiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conducir a velocidad moderada y reducirla en curvas y desniveles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Segun el material, que comportamiento del operador respecto a la velocidad contribuye a prevenir el volcamiento del montacargas en las zonas de maniobra de la planta?","B","Mantener la velocidad maxima en todo momento","Conducir a velocidad moderada y reducirla en curvas y desniveles","Acelerar en las curvas para completarlas rapido","Frenar bruscamente al final de cada recorrido","","","","","",""
"multiplechoice","OMS","S1 Clasificacion y Normativa OSHA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su fuente de energia, tipo de neumatico y ambiente de uso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme al contenido del curso, que aspecto define la clasificacion de un montacargas dentro del sistema normativo empleado para seleccionar el equipo adecuado a cada operacion?","D","El color de la carroceria y la marca comercial","La antiguedad del equipo y su valor de mercado","El nombre del operador asignado al turno","Su fuente de energia, tipo de neumatico y ambiente de uso","","","","","",""
"multiplechoice","OMS","S2 Inspeccion y Checklist Diario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque unos frenos defectuosos aumentan el riesgo de colisiones y atropellos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme al material, por que resulta indispensable que el operador verifique el funcionamiento de los frenos como parte del checklist diario del montacargas?","A","Porque unos frenos defectuosos aumentan el riesgo de colisiones y atropellos","Porque los frenos determinan la capacidad de carga","Porque los frenos indican el color de la senalizacion","Porque los frenos definen la clase del montacargas","","","","","",""
"multiplechoice","OMS","S3 Estabilidad y Centro de Carga","Yes","¡Correcto! Segun el material del curso, lo correcto es: Inclinada ligeramente hacia atras con la carga baja.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme al contenido, como debe posicionarse la torre de elevacion al desplazarse con una carga para favorecer la estabilidad del conjunto del montacargas?","C","Inclinada hacia adelante con la carga elevada","Totalmente vertical con la carga en el punto mas alto","Inclinada ligeramente hacia atras con la carga baja","Sin importar la inclinacion mientras avance despacio","","","","","",""
"multiplechoice","OMS","S4 Maniobras y Manejo de Cargas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Disminuir la velocidad y usar la bocina para advertir su presencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OMS.","1","Conforme al contenido, que accion debe realizar el operador al aproximarse a una esquina o cruce sin visibilidad mientras maniobra el montacargas cargado?","B","Acelerar para cruzar lo mas rapido posible","Disminuir la velocidad y usar la bocina para advertir su presencia","Elevar la carga para observar por encima del obstaculo","Continuar sin senalizar confiando en el paso libre","","","","","",""
