"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer los parametros normativos a seguir en la industria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","En el marco del curso Dispositivos de Proteccion Electrosensibles y Distancias, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el objetivo principal de la sumilla en el contexto del curso de maquinaria industrial?","A","Establecer los parametros normativos a seguir en la industria.","Definir los materiales utilizados en las clases.","Listar a los participantes del curso.","Proporcionar un resumen de contenido de un curso.","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las disposicioneslegales y estandares industriales aplicables en la materia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","Segun los contenidos desarrollados en el curso Dispositivos de Proteccion Electrosensibles y Distancias, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el contexto del curso, que se entiende por el alcance normativo de la sumilla?","C","Las fechas y horarios de las clases.","Los contenidos academicos y su estructura tematica.","Las disposicioneslegales y estandares industriales aplicables en la materia.","Las reglas que regulan como se deben realizar los examenes.","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis del contexto legal y regulatorio existente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","Con base en el material del curso Dispositivos de Proteccion Electrosensibles y Distancias y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que elemento de la sumilla es esencial para la correcta aplicacion normativa en la industria?","B","La identificacion de los proveedores.","El analisis del contexto legal y regulatorio existente.","La programacion de actividades semanales.","La creacion de un plan de marketing.","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analizar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","Segun el material del curso Dispositivos de Proteccion Electrosensibles y Distancias, responde con precision: Cual de los siguientes verbos se considera medible en el contexto de la evaluacion de resultados de aprendizaje en ingenieria?","D","Comprender","Saber","Conocer","Analizar","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Especifico y medible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","De acuerdo con los fundamentos presentados en el curso Dispositivos de Proteccion Electrosensibles y Distancias, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Un resultado de aprendizaje efectivo debe ser:","B","Ambiguo y general","Especifico y medible","Opcional y flexible","Teorico sin aplicacion","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitan la creacion de evaluaciones objetivas y especificas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","Segun el material del curso Dispositivos de Proteccion Electrosensibles y Distancias, responde con precision: Cual de las siguientes opciones describe mejor la aplicacion de verbos medibles en la formulacion de objetivos de aprendizaje?","D","Permiten un enfoque general sobre las expectativas del curso.","Ayudan a asegurar que el contenido es atractivo.","Son irrelevantes para la planificacion educativa.","Facilitan la creacion de evaluaciones objetivas y especificas.","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Simuladores de maquinaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","En el marco del curso Dispositivos de Proteccion Electrosensibles y Distancias, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes recursos didacticos es mas adecuado para la formacion practica en ingenieria de maquinaria industrial?","A","Simuladores de maquinaria","Conferencias magistrales","Articulos de revistas","Libros de texto","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Eficiencia operativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","Segun los contenidos desarrollados en el curso Dispositivos de Proteccion Electrosensibles y Distancias, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el analisis de un caso sectorial sobre maquinaria industrial, cual es el aspecto mas critico a evaluar?","C","Tendencias del mercado","Promociones de ventas","Eficiencia operativa","Costo de produccion","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aprendizaje basado en proyectos (ABP).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","Segun el material del curso Dispositivos de Proteccion Electrosensibles y Distancias, responde con precision: Cual de las siguientes metodologias es mas adecuada para fomentar el aprendizaje colaborativo en ingenieria de disenio?","C","Exposiciones individuales","Evaluaciones estandarizadas","Aprendizaje basado en proyectos (ABP)","Clases magistrales","","","","","",""
"multiplechoice","DPES","C1 ESPE vs Resguardo Fisico","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","Tomando en cuenta lo estudiado en el curso Dispositivos de Proteccion Electrosensibles y Distancias sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de los siguientes elementos es fundamental para la estructura de una propuesta de proyecto en ingenieria?","A","El analisis de riesgos.","La lista de materiales.","El cronograma estimado.","El presupuesto detallado.","","","","","",""
"multiplechoice","DPES","C2 Tipos AOPD y AOPDDR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La diversidad de actividades y recursos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso DPES.","1","Segun el material del curso Dispositivos de Proteccion Electrosensibles y Distancias, responde con precision: En el contexto de secuencia tematica, que aspecto es crucial para mantener el interes del aprendiz durante un programa de formacion?","A","La diversidad de actividades y recursos.","La repeticion de contenidos.","El enfoque uniforme en todas las sesiones.","El uso de un solo metodo de ensenianza.","","","","","",""
