"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que la OIT estima que 1 de cada 5 personas trabajadoras (22,8 por ciento) ha experimentado violencia o acoso en su vida laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","Segun el material, un estudio de la OIT (Organizacion Internacional del Trabajo) de 2022 estima la proporcion de personas trabajadoras que ha experimentado violencia o acoso en su vida laboral. Cual es esa proporcion?","B","1 de cada 50 (2 por ciento)","1 de cada 5 (22,8 por ciento)","1 de cada 100 (1 por ciento)","La mitad (50 por ciento)","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que 1 de cada 15 personas trabajadoras (6,3 por ciento) ha sufrido violencia o acoso sexual segun la OIT.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","El material cita el dato de la OIT sobre quienes han sufrido violencia o acoso sexual en el trabajo. Cual es esa proporcion segun el curso?","C","1 de cada 2 personas","1 de cada 5 personas","1 de cada 15 (6,3 por ciento)","1 de cada 500 personas","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que las cifras estan probablemente subestimadas por el subregistro: muchas victimas no reportan por temor, verguenza, falta de canales o desconfianza.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","Segun el material, las cifras de acoso laboral son probablemente una subestimacion. Cual es la causa segun el curso?","A","El subregistro: muchas victimas no reportan por temor, verguenza, falta de canales o desconfianza","Que las cifras estan infladas por denuncias falsas","Que solo se cuentan los casos judiciales","Que la OIT exagera los datos","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que el acoso laboral produce consecuencias en tres planos: la persona, la organizacion y la sociedad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","El material describe las consecuencias del acoso laboral en tres planos. Cuales son segun el curso?","D","Solo el economico","Solo el legal","Solo el familiar","La persona, la organizacion y la sociedad","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que en la persona el acoso produce ansiedad, depresion, trastornos del sueno, sintomas psicosomaticos, perdida de autoestima y, en casos extremos, ideacion suicida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","Segun el material, entre las consecuencias del acoso laboral en la persona se incluyen efectos graves de salud. Cual de los siguientes menciona el curso?","B","Mejora del sueno","Ansiedad, depresion, trastornos del sueno y, en casos extremos, ideacion suicida","Aumento de la autoestima","Mayor productividad personal","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que en la organizacion el acoso produce ausentismo, rotacion, presentismo, mal clima, caida de la productividad, litigios y dano reputacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","El material lista las consecuencias del acoso en la organizacion. Cual de las siguientes menciona el curso?","C","Aumento de la productividad","Mejora del clima laboral","Ausentismo, rotacion, mal clima, caida de la productividad, litigios y dano reputacional","Reduccion de costos","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que el Convenio C190 de la OIT fue adoptado en junio de 2019.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","Segun el material, el Convenio C190 de la OIT sobre la Violencia y el Acoso en el Mundo del Trabajo fue adoptado en cierto ano. Cual es segun el curso?","A","Junio de 2019","Enero de 2003","Marzo de 2011","Diciembre de 2022","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que el Convenio C190 define la violencia y el acoso como comportamientos que causan o pueden causar dano fisico, psicologico, sexual o economico, incluyendo el acoso por razon de genero.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","El material presenta la definicion de violencia y acoso del Convenio C190 de la OIT. Segun esa definicion, que tipos de dano pueden causar estos comportamientos?","D","Solo dano fisico","Solo dano economico","Solo dano psicologico","Dano fisico, psicologico, sexual o economico, e incluye el acoso por razon de genero","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que el Convenio C190 define la violencia y el acoso como comportamientos que se manifiesten una sola vez o de manera repetida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","Segun el material, la definicion del Convenio C190 aclara si el comportamiento debe repetirse para constituir violencia o acoso. Que establece?","B","Que debe repetirse al menos diez veces","Que puede manifestarse una sola vez o de manera repetida","Que solo cuenta si dura seis meses","Que requiere testigos siempre","","","","","",""
"multiplechoice","PALV","S1 Panorama Global y OIT","Yes","¡Correcto! El material indica que la prevencion del acoso no recae en un solo actor, sino que requiere la accion complementaria de todos los niveles de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PALV.","1","El material describe el papel complementario de los actores en la prevencion del acoso. Que afirma sobre en quien recae la prevencion segun el curso?","C","Recae solo en la victima","Recae solo en el area de recursos humanos","No recae en un solo actor: requiere la accion complementaria de todos los niveles de la organizacion","Recae solo en la alta direccion","","","","","",""
