"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! La GFSI no certifica directamente, sino que reconoce los esquemas de certificacion que cumplen sus Benchmarking Requirements.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Segun el material, por que se dice que la GFSI no certifica directamente a las empresas segun la informacion tecnica desarrollada a lo largo del material?","C","Porque no tiene relacion con la inocuidad alimentaria","Porque solo trabaja con organismos gubernamentales","Porque su funcion es reconocer esquemas que cumplen sus Benchmarking Requirements, no emitir certificados","Porque delega la certificacion en los retailers","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! La GFSI armoniza estandares para facilitar el reconocimiento mutuo de esquemas de certificacion equivalentes en el mercado global de alimentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Conforme al documento, que objetivo persigue la GFSI al armonizar los estandares de inocuidad alimentaria de acuerdo con los conceptos presentados en el contenido de la unidad?","D","Aumentar el costo de la certificacion","Reducir el numero de normas tecnicas a una sola","Eliminar las auditorias de las plantas","Facilitar el reconocimiento mutuo de esquemas equivalentes en el mercado global","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! FSSC 22000 es uno de los esquemas de certificacion reconocidos por la GFSI por cumplir sus requisitos de benchmarking.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Segun el material, que relacion existe entre FSSC 22000 y la GFSI en cuanto a reconocimiento de acuerdo con lo expuesto en el contenido tecnico del curso?","A","FSSC 22000 es uno de los esquemas reconocidos por la GFSI","La GFSI es un componente interno de FSSC 22000","FSSC 22000 reemplaza a la GFSI","La GFSI certifica a las plantas segun FSSC 22000","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! La unidad de estructura busca que el estudiante identifique la estructura y los componentes del esquema FSSC 22000.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","De acuerdo con el documento, que resultado busca la unidad sobre estructura del esquema FSSC 22000 conforme a lo desarrollado en el material de estudio de la unidad?","B","Calcular el costo de la certificacion","Identificar la estructura y los componentes del esquema","Eliminar los PRP sectoriales","Reemplazar la norma ISO 22000","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! Los esquemas reconocidos por la GFSI, como FSSC 22000, BRCGS o IFS Food, cumplen sus Benchmarking Requirements de inocuidad alimentaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Segun el material, que caracteriza a los esquemas reconocidos por la GFSI como FSSC 22000, BRCGS o IFS Food tal como se explica en el contenido teorico presentado en el curso?","C","Que son normas exclusivamente gubernamentales","Que certifican directamente sin auditorias","Que cumplen los Benchmarking Requirements de la GFSI para inocuidad alimentaria","Que sustituyen la necesidad de HACCP","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! Los grandes retailers exigen la aceptacion GFSI a sus proveedores, lo que la convierte en un requisito comercial casi obligatorio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Conforme al documento, que papel juegan los grandes retailers en la relevancia comercial de la certificacion GFSI segun la informacion tecnica desarrollada a lo largo del material?","D","Financian directamente a la GFSI","Emiten los certificados de inocuidad","Definen las normas tecnicas de PRP","Exigen la aceptacion GFSI a sus proveedores, haciendola casi obligatoria","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! La serie ISO/TS 22002 define los prerrequisitos (PRP) detallados por sector dentro del esquema FSSC 22000.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Segun el material, que serie de normas define los prerrequisitos detallados por sector dentro de FSSC 22000 de acuerdo con los conceptos presentados en el contenido de la unidad?","A","La serie ISO/TS 22002","La norma ISO 9001","El reglamento FSMA","La norma ISO/IEC 17021","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! En FSSC 22000, la ISO 22000 es la base del sistema y los requisitos adicionales FSSC la complementan con exigencias especificas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","De acuerdo con el documento, como se relacionan la ISO 22000 y los requisitos adicionales dentro del esquema FSSC 22000?","B","Los requisitos adicionales reemplazan a la ISO 22000","La ISO 22000 es la base y los requisitos adicionales FSSC la complementan con exigencias especificas","Ambos son documentos independientes sin relacion","La ISO 22000 solo aplica a los retailers","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! Los PRP sectoriales de la serie ISO/TS 22002 se aplican a sectores como procesamiento de alimentos, fabricacion de envases y transporte.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Segun el material, que sectores ejemplifican la aplicacion de los PRP sectoriales de la serie ISO/TS 22002 de acuerdo con lo expuesto en el contenido tecnico del curso?","C","Solo la venta minorista","Unicamente la produccion agricola","Procesamiento de alimentos, fabricacion de envases y transporte, entre otros","Exclusivamente la produccion de bebidas","","","","","",""
"multiplechoice","FSSC22","F1 Estructura FSSC y GFSI","Yes","¡Correcto! FSSC 22000 se estructura en tres componentes para combinar la base de gestion de la ISO 22000, los prerrequisitos sectoriales y las exigencias adicionales especificas del esquema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Conforme al documento, por que el esquema FSSC 22000 se estructura en tres componentes en lugar de una sola norma?","D","Para aumentar el costo de la certificacion","Para eliminar la necesidad de auditorias","Para reducir el numero de retailers participantes","Para combinar la base de gestion, los prerrequisitos sectoriales y las exigencias adicionales especificas","","","","","",""
"multiplechoice","FSSC22","F2 Cambios de la Version 5 a la 6","Yes","¡Correcto! El analisis de amenazas TACCP, parte de Food Defense, analiza amenazas deliberadas para definir medidas de mitigacion documentadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Segun el material, cual es el proposito del analisis de amenazas TACCP incorporado como parte de Food Defense en la version 6?","C","Reducir la perdida de alimentos","Verificar el etiquetado de alergenos","Analizar amenazas deliberadas para definir medidas de mitigacion","Monitorear patogenos ambientales","","","","","",""
"multiplechoice","FSSC22","F2 Cambios de la Version 5 a la 6","Yes","¡Correcto! El analisis de vulnerabilidad VACCP busca identificar vulnerabilidades por materia prima y proveedor para prevenir el fraude alimentario.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Conforme al documento, que busca el analisis de vulnerabilidad VACCP dentro del requisito de Food Fraud conforme a lo desarrollado en el material de estudio de la unidad?","D","Reducir el desperdicio de alimentos","Verificar la limpieza de alergenos","Monitorear patogenos ambientales","Identificar vulnerabilidades para prevenir el fraude alimentario","","","","","",""
"multiplechoice","FSSC22","F2 Cambios de la Version 5 a la 6","Yes","¡Correcto! La version 6 introduce indicadores de cultura porque busca promover una cultura de calidad e inocuidad con mejora continua y capacitacion de liderazgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Segun el material, por que la version 6 introduce indicadores de cultura de inocuidad como requisito tal como se explica en el contenido teorico presentado en el curso?","A","Para promover una cultura de calidad e inocuidad con mejora continua y liderazgo","Para eliminar el plan HACCP","Para reducir el numero de proveedores","Para sustituir el monitoreo ambiental","","","","","",""
"multiplechoice","FSSC22","F2 Cambios de la Version 5 a la 6","Yes","¡Correcto! El Environmental Monitoring es obligatorio segun el producto, particularmente en aquellos de mayor riesgo como RTE, lacteos o carnicos cocidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","De acuerdo con el documento, en que se diferencia el requisito de Environmental Monitoring de otros requisitos por su obligatoriedad?","B","Es siempre opcional independientemente del producto","Es obligatorio segun el producto, especialmente en productos de mayor riesgo","Solo aplica a los retailers","Reemplaza a la gestion de alergenos","","","","","",""
"multiplechoice","FSSC22","F2 Cambios de la Version 5 a la 6","Yes","¡Correcto! El plan de comunicacion en crisis gestiona la comunicacion interna y externa ante eventos como un recall o una contaminacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FSSC22.","1","Segun el material, que finalidad tiene el plan de comunicacion en crisis exigido por la version 6 segun la informacion tecnica desarrollada a lo largo del material?","C","Reducir el costo de la certificacion","Eliminar las auditorias de vigilancia","Gestionar la comunicacion interna y externa ante eventos como recall o contaminacion","Sustituir el control de alergenos","","","","","",""
