"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Cual de los siguientes verbos es considerado medible y especifico para describir los resultados de aprendizaje en un curso de seguridad industrial?","A","Implementar","Analizar","Comprender","Conocer","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: Listas de verificacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Que herramienta del curso se puede utilizar para evaluar la implementacion de procedimientos de seguridad en una empresa?","C","Debates","Presentaciones","Listas de verificacion","Lecturas","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ser alcanzable y medible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Cual es una de las caracteristicas de un objetivo de aprendizaje bien formulado en el contexto de la seguridad industrial?","B","Enfocarse en el conocimiento teorico","Ser alcanzable y medible","Requerir un alto nivel de intuicion","Ser vago y amplio","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: La seleccion de verbos especificos es crucial porque permite establecer metas claras y medibles, facilitan la evaluacion del aprendizaje y aseguran que los estudiantes comprendan exactamente lo que se espera de ellos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Explique la importancia de seleccionar verbos especificos al redactar resultados de aprendizaje en un curso de seguridad industrial.","D","Ejemplos de herramientas como simulaciones, listas de verificacion o estudios de caso que permiten a los participantes aplicar lo aprendido en situaciones practicas y reales.","Un estudio de Gage R&R se utiliza para evaluar la variabilidad en los instrumentos de medicion y el impacto de los operadores en la precision de las mediciones.","Centrarse en la importancia de la capacitacion continua para mantener al personal informado sobre las mejores practicas, nuevos riesgos y protocolos de seguridad actualizados.","La seleccion de verbos especificos es crucial porque permite establecer metas claras y medibles, facilitan la evaluacion del aprendizaje y aseguran que los estudiantes comprendan exactamente lo que se espera de ellos.","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ejemplos de herramientas como simulaciones, listas de verificacion o estudios de caso que permiten a los participantes aplicar lo aprendido en situaciones practicas y reales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Describa como las herramientas proporcionadas en el curso pueden ayudar a mejorar el cumplimiento de las normativas de seguridad en una empresa.","B","La validacion estadistica es el proceso mediante el cual se asegura que los resultados obtenidos de una accion de mejora son significativos y no se deben al azar.","Ejemplos de herramientas como simulaciones, listas de verificacion o estudios de caso que permiten a los participantes aplicar lo aprendido en situaciones practicas y reales.","La seleccion de verbos especificos es crucial porque permite establecer metas claras y medibles, facilitan la evaluacion del aprendizaje y aseguran que los estudiantes comprendan exactamente lo que se espera de ellos.","Describir que los indicadores HSE permiten medir el desempenio en seguridad y salud, identificando areas de mejora en procesos industriales.","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: Modalidad a distancia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Cual es la modalidad de estudio mas adecuada para un profesional en seguridad industrial que busca actualizar sus conocimientos de manera flexible?","D","Modalidad semipresencial","Modalidad presencial","Modalidad hibrida","Modalidad a distancia","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: Simuladores virtuales de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Que recurso es fundamental para el aprendizaje efectivo en el ambito de la seguridad industrial?","A","Simuladores virtuales de seguridad","Reuniones presenciales frecuentes","Libros de texto tradicional","Documentos PDF","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: A traves de foros de discusion y actividades interactivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun los contenidos desarrollados en el curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En un entorno de aprendizaje a distancia, como se debe interactuar principalmente con el contenido?","C","Realizando solo examenes","Solo mediante lecturas pasivas","A traves de foros de discusion y actividades interactivas","Asistiendo a sesiones en video sin participacion","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un buen respuesta debe incluir la descripcion de como los recursos de aprendizaje interactivos, como simuladores y ejercicios en linea, facilitan la practica y la aplicacion de con.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Describe la importancia de los recursos de aprendizaje interactivos en la formacion de profesionales en seguridad industrial.","C","Cubrir que la identificacion de causas raiz permite abordar problemas desde su origen, minimizando asi la recurrecion de fallas y riesgos.","El bloque formativo D es crucial para los profesionales de seguridad industrial porque se centra en la aplicacion practica de los conocimientos adquiridos en situaciones de alto riesgo.","Un buen respuesta debe incluir la descripcion de como los recursos de aprendizaje interactivos, como simuladores y ejercicios en linea, facilitan la practica y la aplicacion de con","Para que la respuesta se considere correcta, debe incluir que el baseline es una linea de referencia establecida a partir de datos historicos o actuales, que se utiliza para medir el desempenio futuro de un proceso.","","","","","",""
"multiplechoice","SSARA","C1 Fundamentos y Roles Six Sigma","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analizar situaciones de riesgo especificas en el sector industrial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SSARA.","1","Segun el material del curso Seis Sigma Aplicado a la Reduccion de Accidentes con DMAIC, responde con precision: Cual es el proposito principal del bloque formativo A en el plan de seguridad industrial?","A","Analizar situaciones de riesgo especificas en el sector industrial.","Establecer normas de evaluacion y auditoria de seguridad.","Proporcionar conocimientos basicos sobre seguridad y salud laboral.","Desarrollar habilidades de gestion en emergencias.","","","","","",""
