"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar una guia clara sobre las competencias que los estudiantes deben adquirir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","En el marco del curso Especializacion en Aplicacion y Evaluacion del Reglamento, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo de definir resultados de aprendizaje en un curso de SST/HSE?","A","Proporcionar una guia clara sobre las competencias que los estudiantes deben adquirir.","Cumplir con una necesidad administrativa del curso.","Aumentar el numero de clases en el curso.","Optimizar los recursos financieros de la institucion educativa.","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: El desarrollo de habilidades practicas que puedan aplicarse en situaciones reales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","Segun los contenidos desarrollados en el curso Especializacion en Aplicacion y Evaluacion del Reglamento, y considerando las definiciones presentadas en el material, indica la alternativa correcta: La evaluacion de los resultados de aprendizaje deberia considerar principalmente:","C","La calidad del profesorado involucrado en el curso.","La cantidad de material cubierto en las clases teoricas.","El desarrollo de habilidades practicas que puedan aplicarse en situaciones reales.","La satisfaccion de los estudiantes sobre el contenido del curso.","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: La importancia de los criterios de evaluacion medibles para garantizar la objetividad y la claridad en la evaluacion del desempenio de los estudiantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","Con base en el material del curso Especializacion en Aplicacion y Evaluacion del Reglamento y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Por que es importante establecer criterios de evaluacion medibles en SST/HSE?","B","Resaltar que la capacitacion en seguridad y salud ocupacional es crucial para prevenir accidentes y enfermedades, empoderar a los trabajadores para que manejen correctamente los ri","La importancia de los criterios de evaluacion medibles para garantizar la objetividad y la claridad en la evaluacion del desempenio de los estudiantes.","El empleador tiene la responsabilidad de notificar a las autoridades competentes y a la seguridad social en un plazo estipulado, tal como lo exige la legislacion.",", como minimo, las siguientes medidas: uso de equipos de proteccion personal (EPP) como cascos y guantes; capacitacion continua a los operadores sobre el uso seguro de las maquinas","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: La importancia de alinear los resultados de aprendizaje con las competencias esperadas del mercado laboral y las necesidades especificas de las empresas guatemaltecas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","Segun el material del curso Especializacion en Aplicacion y Evaluacion del Reglamento, responde con precision: Describe un enfoque efectivo para integrar los resultados de aprendizaje en la planificacion curricular de un curso de SST/HSE.","D","La identificacion de peligros especificos como el movimiento de la noria, riesgos de atrapamiento y caidas.","La relacion entre el control del calor y la reduccion de riesgos de salud, como deshidratacion y golpes de calor.","El SGSST y la productividad estan intimamente conectados, ya que un entorno de trabajo seguro y saludable reduce accidentes y enfermedades laborales, lo que a su vez minimiza el au","La importancia de alinear los resultados de aprendizaje con las competencias esperadas del mercado laboral y las necesidades especificas de las empresas guatemaltecas.","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proyectos colaborativos que involucren casos reales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","Segun el material del curso Especializacion en Aplicacion y Evaluacion del Reglamento, responde con precision: En la evaluacion continua, cual de los siguientes metodos se considera mas efectivo para monitorear el progreso de los estudiantes en SST/HSE?","B","Examenes finales con preguntas de opcion multiple.","Proyectos colaborativos que involucren casos reales.","Asistencias en clase como unica medida de evaluacion.","Realizacion de ensayos escritos sobre la teoria.","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un enfoque de aprendizaje que utiliza tecnologia para facilitar el estudio independiente y la gestion del conocimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","Segun el material del curso Especializacion en Aplicacion y Evaluacion del Reglamento, responde con precision: Cual de las siguientes opciones describe mejor el concepto de e-learning en el contexto de la SST/HSE?","D","Un programa de capacitacion que no incluye recursos adicionales ni interaccion con el instructor.","Un metodo tradicional de ensenianza basado exclusivamente en clases presenciales.","Un tipo de educacion que solo es efectivo para estudiantes que aprenden mejor en grupos.","Un enfoque de aprendizaje que utiliza tecnologia para facilitar el estudio independiente y la gestion del conocimiento.","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: Plataformas de evaluacion continua que permiten al estudiante gestionar su progreso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","En el marco del curso Especializacion en Aplicacion y Evaluacion del Reglamento, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: En un curso e-learning, que recurso es esencial para fomentar la autonomia del estudiante?","A","Plataformas de evaluacion continua que permiten al estudiante gestionar su progreso.","Clases presenciales obligatorias cada semana.","Tutorias individuales que limitan la participacion grupal.","Aulas llenas de material didactico tradicional.","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es fundamental para guiar al estudiante en su proceso de aprendizaje y mejora continua.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","Segun los contenidos desarrollados en el curso Especializacion en Aplicacion y Evaluacion del Reglamento, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que rol juega la retroalimentacion en el contexto de la metodologia e-learning?","C","Es util unicamente para cursos que utilizan examenes finales.","Solo debe brindarse al final del curso para evaluar el rendimiento general.","Es fundamental para guiar al estudiante en su proceso de aprendizaje y mejora continua.","Es un elemento opcional que no afecta la calidad del aprendizaje.","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ministerio de Trabajo y Prevision Social.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","Segun el material del curso Especializacion en Aplicacion y Evaluacion del Reglamento, responde con precision: Cual de los siguientes actores institucionales es responsable en Guatemala de la regulacion y supervision de la seguridad y salud en el trabajo?","C","Instituto Guatemalteco de Seguridad Social","Ministerio de Economia","Ministerio de Trabajo y Prevision Social","Ministerio de Salud Publica y Asistencia Social","","","","","",""
"multiplechoice","EASO","C1 Marco Legal AG 229-2014","Yes","¡Correcto! Segun el material del curso, lo correcto es: Explicaciones sobre como la trazabilidad normativa implica el seguimiento y la gestion de la evolucion de las normativas relacionadas con la SST, permitiendo identificar claramente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EASO.","1","Tomando en cuenta lo estudiado en el curso Especializacion en Aplicacion y Evaluacion del Reglamento sobre este tema especifico y las buenas practicas descritas en el material, responde: Describa el concepto de trazabilidad normativa en el contexto de la seguridad y salud en el trabajo.","A","Explicaciones sobre como la trazabilidad normativa implica el seguimiento y la gestion de la evolucion de las normativas relacionadas con la SST, permitiendo identificar claramente","La relacion entre el control del calor y la reduccion de riesgos de salud, como deshidratacion y golpes de calor.","Describir que el analisis de riesgos permite identificar y evaluar peligros potenciales asociados al funcionamiento de la caldera, facilitando la implementacion de controles y medidas preventivas.","Una metodologia de auditoria estructurada y transparente fomenta la responsabilidad y la rendicion de cuentas entre los empleados, mejora la identificacion de riesgos y permite una cultura de mejora continua.","","","","","",""
