"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","AINTE","S1 Principios ISO 19011 y Tipos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite enfocar la auditoria en las areas de mayor importancia y probabilidad de impacto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","El material del curso describe el enfoque basado en riesgos incorporado a la norma ISO 19011. Segun el curso, que aporta considerar el riesgo dentro de la planificacion y ejecucion de la auditoria?","A","Permite enfocar la auditoria en las areas de mayor importancia y probabilidad de impacto","Permite ignorar las areas criticas","Elimina la necesidad de recopilar evidencia","Reduce la objetividad del proceso","","","","","",""
"multiplechoice","AINTE","S2 Programa y Planificacion Audit","Yes","¡Correcto! Segun el material del curso, lo correcto es: El contacto inicial con el auditado y la determinacion de la viabilidad de la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","Segun el material del curso, que actividad marca el inicio formal de una auditoria dentro del proceso de realizacion de una auditoria orientado por las directrices de la norma ISO 19011 en la organizacion?","C","La emision inmediata del informe final","El cierre de la auditoria sin evidencia","El contacto inicial con el auditado y la determinacion de la viabilidad de la auditoria","La aplicacion de sanciones al auditado","","","","","",""
"multiplechoice","AINTE","S3 Ejecucion y Evidencia in situ","Yes","¡Correcto! Segun el material del curso, lo correcto es: Confirmar el plan, presentar al equipo y establecer los canales de comunicacion con el auditado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","Segun el material del curso, cual es el proposito de la reunion de apertura dentro del inicio de las actividades in situ de una auditoria de sistemas de gestion orientada por la norma ISO 19011 en la organizacion?","B","Emitir las conclusiones finales de la auditoria","Confirmar el plan, presentar al equipo y establecer los canales de comunicacion con el auditado","Aplicar sanciones al area auditada","Eliminar la necesidad de recopilar evidencia","","","","","",""
"multiplechoice","AINTE","S4 Entrevistas y Hallazgos NC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Obtener informacion mas rica y detallada sobre el funcionamiento del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","Segun el material del curso, cual es la ventaja principal de emplear preguntas abiertas frente a preguntas cerradas durante una entrevista de auditoria de sistemas de gestion realizada por el auditor en la organizacion?","D","Limitar las respuestas a una sola palabra","Reducir la informacion que aporta el auditado","Impedir que el auditado se explique","Obtener informacion mas rica y detallada sobre el funcionamiento del sistema","","","","","",""
"multiplechoice","AINTE","S5 Informe Competencia y HSEQ","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","Segun el material del curso, que herramienta se utiliza comunmente para identificar peligros dentro de un sistema de gestion de la seguridad y salud en el trabajo de una organizacion que aplica la norma ISO 45001?","A","El analisis de riesgos","El estado de resultados financieros","El catalogo comercial de productos","La encuesta de satisfaccion del cliente","","","","","",""
"multiplechoice","AINTE","S1 Principios ISO 19011 y Tipos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La de primera parte la realiza la propia organizacion y la de tercera parte un organismo externo independiente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","Segun el material del curso, cual es la diferencia principal entre una auditoria de primera parte y una auditoria de tercera parte dentro de la clasificacion establecida por la norma ISO 19011?","C","Ambas las realiza siempre un tercero","La de primera parte la realiza un proveedor","La de primera parte la realiza la propia organizacion y la de tercera parte un organismo externo independiente","No existe ninguna diferencia entre ambas","","","","","",""
"multiplechoice","AINTE","S2 Programa y Planificacion Audit","Yes","¡Correcto! Segun el material del curso, lo correcto es: El plan de auditoria y los documentos de trabajo como los checklists.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","El material del curso describe la preparacion de las actividades de auditoria. Segun el curso, que se elabora durante la preparacion antes de la ejecucion de la auditoria in situ dentro del proceso de auditoria?","B","Unicamente el informe final de la auditoria","El plan de auditoria y los documentos de trabajo como los checklists","Solamente la carta de sancion al auditado","Exclusivamente el catalogo de productos","","","","","",""
"multiplechoice","AINTE","S3 Ejecucion y Evidencia in situ","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los hallazgos de auditoria que indican conformidad o no conformidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","El material del curso relaciona la evidencia con la conclusion de la auditoria. Segun el curso, que se obtiene al comparar la evidencia recopilada frente a los criterios de auditoria dentro del proceso de auditoria?","D","La eliminacion de los criterios de auditoria","La certificacion automatica del sistema","La ausencia de cualquier conclusion","Los hallazgos de auditoria que indican conformidad o no conformidad","","","","","",""
"multiplechoice","AINTE","S4 Entrevistas y Hallazgos NC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque solo al abordar la causa raiz se evita la recurrencia de la no conformidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","El material del curso relaciona la causa raiz con la accion correctiva. Segun el curso, por que es fundamental identificar la causa raiz antes de definir una accion correctiva ante una no conformidad de auditoria?","A","Porque solo al abordar la causa raiz se evita la recurrencia de la no conformidad","Porque la causa raiz es irrelevante","Porque la accion correctiva no requiere causas","Porque basta con corregir el sintoma visible","","","","","",""
"multiplechoice","AINTE","S5 Informe Competencia y HSEQ","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los objetivos, el alcance, los criterios, los hallazgos y las conclusiones de la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AINTE.","1","El material del curso presenta el informe de auditoria. Segun el curso, que debe contener la estructura de un informe de auditoria correctamente elaborado dentro de un sistema de gestion de la organizacion auditada?","C","Unicamente la firma del auditor lider","Solamente la fecha sin hallazgos","Los objetivos, el alcance, los criterios, los hallazgos y las conclusiones de la auditoria","La ausencia de conclusiones de la auditoria","","","","","",""
