"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SPA","S1 Texas City y Origen API RP 754","Yes","¡Correcto! Segun el material del curso, lo correcto es: La asociacion internacional de productores de petroleo y gas y el CCPS.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso presenta la adopcion del API RP 754 por parte de la industria despues de 2010. De acuerdo con el material, entre las organizaciones que impulsaron su adopcion se encuentran asociaciones sectoriales como:","A","La asociacion internacional de productores de petroleo y gas y el CCPS","Las agencias de publicidad del sector","Las camaras de fijacion de precios","Los gremios de mercadeo industrial","","","","","",""
"multiplechoice","SPA","S2 Piramide y Concepto de LOPC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar tendencias que anticipan eventos mas graves de seguridad de procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso relaciona el concepto de perdida de contencion primaria con la deteccion temprana de fallas. De acuerdo con el material, registrar las perdidas de contencion primaria permite:","C","Fijar el precio de venta de los productos","Ampliar la campana publicitaria","Identificar tendencias que anticipan eventos mas graves de seguridad de procesos","Aumentar las metas de venta del periodo","","","","","",""
"multiplechoice","SPA","S3 Eventos Tier 1 y Tier 2","Yes","¡Correcto! Segun el material del curso, lo correcto es: La categoria del material y la cantidad frente a los umbrales del estandar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso senala que la clasificacion de un evento considera la categoria del material y la cantidad liberada. De acuerdo con el material, tras confirmar la perdida de contencion se evalua:","B","El precio de venta del material","La categoria del material y la cantidad frente a los umbrales del estandar","La campana publicitaria del producto","La meta comercial del periodo","","","","","",""
"multiplechoice","SPA","S4 Tier 3 Tier 4 y Cultura PSM","Yes","¡Correcto! Segun el material del curso, lo correcto es: La existencia de una cultura de reporte abierta sin temor a represalias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso describe las senales de madurez en la cultura de seguridad de procesos. De acuerdo con el material, una senal de madurez es:","D","El aumento del precio de venta","La ampliacion de la campana publicitaria","El incremento de las metas de venta","La existencia de una cultura de reporte abierta sin temor a represalias","","","","","",""
"multiplechoice","SPA","S5 Tableros Dashboard y Caso Final","Yes","¡Correcto! Segun el material del curso, lo correcto es: El calculo de tasas y la elaboracion de un tablero para la direccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso presenta un caso integrador para aplicar los indicadores del API RP 754. De acuerdo con el material, ese caso incluye la clasificacion de los eventos por niveles y:","A","El calculo de tasas y la elaboracion de un tablero para la direccion","La fijacion de precios de venta de los productos","El diseno de la campana publicitaria","La proyeccion de las metas comerciales","","","","","",""
"multiplechoice","SPA","S1 Texas City y Origen API RP 754","Yes","¡Correcto! Segun el material del curso, lo correcto es: Comparar su desempeno de seguridad de procesos con el de otras organizaciones del sector.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso explica la relevancia del benchmarking sectorial en la aplicacion del API RP 754. De acuerdo con el material, ese benchmarking permite a las empresas:","C","Comparar los precios de venta de sus productos","Comparar sus campanas publicitarias","Comparar su desempeno de seguridad de procesos con el de otras organizaciones del sector","Comparar sus metas comerciales","","","","","",""
"multiplechoice","SPA","S2 Piramide y Concepto de LOPC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Retener el material cuando falla la contencion primaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso explica que la contencion secundaria complementa a la contencion primaria. De acuerdo con el material, la contencion secundaria cumple la funcion de:","B","Fijar el precio de venta del material","Retener el material cuando falla la contencion primaria","Difundir la campana publicitaria","Cumplir las metas comerciales","","","","","",""
"multiplechoice","SPA","S3 Eventos Tier 1 y Tier 2","Yes","¡Correcto! Segun el material del curso, lo correcto es: Condiciones distintas a la cantidad liberada que igualmente definen la severidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso menciona la existencia de criterios alternativos en la clasificacion de los eventos. De acuerdo con el material, esos criterios alternativos corresponden a:","D","Precios alternativos de venta","Campanas publicitarias alternativas","Metas comerciales alternativas","Condiciones distintas a la cantidad liberada que igualmente definen la severidad","","","","","",""
"multiplechoice","SPA","S4 Tier 3 Tier 4 y Cultura PSM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar una cultura de reporte de incidentes y peligros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso explica el proposito del programa de prevencion basado en el reporte de incidentes y peligros. De acuerdo con el material, ese programa busca:","A","Desarrollar una cultura de reporte de incidentes y peligros","Fijar el precio de venta de los productos","Disenar la campana publicitaria","Calcular las metas comerciales","","","","","",""
"multiplechoice","SPA","S5 Tableros Dashboard y Caso Final","Yes","¡Correcto! Segun el material del curso, lo correcto es: Normalizar los eventos para comparar el desempeno de seguridad de procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso describe el calculo de tasas dentro del caso integrador de indicadores. De acuerdo con el material, calcular esas tasas permite:","C","Fijar el precio de venta de los productos","Disenar la campana publicitaria","Normalizar los eventos para comparar el desempeno de seguridad de procesos","Calcular las metas comerciales del ano","","","","","",""
"multiplechoice","SPA","S1 Texas City y Origen API RP 754","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los indicadores ocupacionales por si solos no reflejan el riesgo de proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso relaciona el accidente de Texas City con la necesidad de medir la seguridad de procesos de forma especifica. De acuerdo con el material, ese caso evidencio que:","B","Los precios de venta debian reducirse","Los indicadores ocupacionales por si solos no reflejan el riesgo de proceso","La publicidad debia intensificarse","Las metas comerciales debian aumentarse","","","","","",""
"multiplechoice","SPA","S2 Piramide y Concepto de LOPC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar de forma objetiva la severidad del evento de seguridad de procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso senala que la clasificacion de una liberacion depende de la categoria del material y de la cantidad. De acuerdo con el material, esa clasificacion busca:","D","Fijar el precio de venta del material","Disenar la campana publicitaria","Calcular las metas comerciales","Determinar de forma objetiva la severidad del evento de seguridad de procesos","","","","","",""
"multiplechoice","SPA","S3 Eventos Tier 1 y Tier 2","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar la cantidad liberada que se compara con el umbral del evento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso describe el periodo de referencia de una hora en la evaluacion de una liberacion. De acuerdo con el material, ese periodo de una hora se utiliza para:","A","Determinar la cantidad liberada que se compara con el umbral del evento","Fijar el precio de venta del producto","Disenar la campana publicitaria","Calcular las metas comerciales","","","","","",""
"multiplechoice","SPA","S4 Tier 3 Tier 4 y Cultura PSM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomenta que los empleados informen los eventos y las condiciones inseguras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso explica como la cultura de reporte impacta en la deteccion de fallas en las barreras de seguridad. De acuerdo con el material, una cultura de reporte solida:","C","Aumenta las ventas del periodo","Reduce el precio de los productos","Fomenta que los empleados informen los eventos y las condiciones inseguras","Amplia la campana publicitaria","","","","","",""
"multiplechoice","SPA","S5 Tableros Dashboard y Caso Final","Yes","¡Correcto! Segun el material del curso, lo correcto es: Comunicar de forma clara el estado de la seguridad de procesos para la toma de decisiones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso incluye la elaboracion de un tablero para la direccion como parte del caso integrador. De acuerdo con el material, ese tablero dirigido a la direccion busca:","B","Fijar el precio de venta de los productos","Comunicar de forma clara el estado de la seguridad de procesos para la toma de decisiones","Disenar la campana publicitaria","Calcular las metas comerciales","","","","","",""
"multiplechoice","SPA","S1 Texas City y Origen API RP 754","Yes","¡Correcto! Segun el material del curso, lo correcto es: Alinear los indicadores de desempeno con la gestion de la seguridad de procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso describe la integracion del API RP 754 con el marco de seguridad de procesos basada en riesgo del CCPS. De acuerdo con el material, esa integracion busca:","D","Fijar los precios de venta del sector","Coordinar la campana publicitaria","Definir las metas comerciales del periodo","Alinear los indicadores de desempeno con la gestion de la seguridad de procesos","","","","","",""
"multiplechoice","SPA","S2 Piramide y Concepto de LOPC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionan estandares claros para clasificar de forma consistente los eventos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso describe la importancia de los umbrales en la evaluacion de las liberaciones. De acuerdo con el material, esos umbrales son importantes porque:","A","Proporcionan estandares claros para clasificar de forma consistente los eventos","Fijan el precio de venta del material","Definen la campana publicitaria","Establecen las metas comerciales del periodo","","","","","",""
"multiplechoice","SPA","S3 Eventos Tier 1 y Tier 2","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analizar los casos dudosos para asignar el nivel correcto al evento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso explica el papel del comite de revision en la clasificacion de los eventos limite. De acuerdo con el material, ese comite se encarga de:","C","Fijar el precio de venta de los productos","Disenar la campana publicitaria","Analizar los casos dudosos para asignar el nivel correcto al evento","Definir las metas comerciales del periodo","","","","","",""
"multiplechoice","SPA","S4 Tier 3 Tier 4 y Cultura PSM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar auditorias regulares para identificar posibles fallas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso describe una accion proactiva en la identificacion de riesgos de seguridad de procesos. De acuerdo con el material, un ejemplo de accion proactiva es:","B","Reducir el precio de los productos","Implementar auditorias regulares para identificar posibles fallas","Ampliar la campana publicitaria","Aumentar las metas de venta","","","","","",""
"multiplechoice","SPA","S5 Tableros Dashboard y Caso Final","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que los cambios temporales se cierren y no se prolonguen sin control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SPA.","1","El material del curso presenta el plan de cierre de los cambios temporales dentro del caso integrador. De acuerdo con el material, incluir ese plan busca:","D","Reducir el precio de venta de los productos","Ampliar la campana publicitaria","Aumentar las metas de venta","Asegurar que los cambios temporales se cierren y no se prolonguen sin control","","","","","",""
