"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! La proteccion real de la inocuidad se asegura combinando la vestimenta como barrera con las practicas de higiene, especialmente el lavado de manos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","Segun el material, que combinacion asegura una proteccion real de la inocuidad en el manipulador de alimentos segun la informacion tecnica desarrollada a lo largo del material?","C","Solo la vestimenta sin higiene","Solo el control de temperaturas","La vestimenta como barrera junto con practicas de higiene como el lavado de manos","Unicamente los guantes desechables","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! Las manos requieren especial atencion porque son el punto de contacto mas frecuente con los alimentos en el trabajo del manipulador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","Conforme al documento, por que las manos requieren especial atencion en la higiene del manipulador de acuerdo con los conceptos presentados en el contenido de la unidad?","D","Porque son la prenda mas costosa","Porque no requieren proteccion","Porque solo se usan al final del proceso","Porque son el punto de contacto mas frecuente con los alimentos","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! El calzado adecuado contribuye, como parte de la vestimenta, a reducir la contaminacion en el entorno de trabajo del manipulador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","Segun el material, que funcion preventiva cumple el calzado adecuado del manipulador de alimentos de acuerdo con lo expuesto en el contenido tecnico del curso?","A","Contribuir como barrera a reducir la contaminacion en el entorno de trabajo","Reemplazar el lavado de manos","Sustituir el control de temperaturas","Eliminar la contaminacion cruzada por completo","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! Si se usa la vestimenta correcta pero se descuida el lavado de manos, la barrera pierde efectividad porque no se cumple el paso critico de higiene.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","De acuerdo con el documento, que ocurre si se usa la vestimenta correcta pero se descuida el lavado de manos?","B","La inocuidad queda totalmente garantizada","La barrera pierde efectividad porque el paso critico de higiene no se cumple","Se elimina la contaminacion cruzada","Se controla la temperatura de los alimentos","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! La vestimenta debe entenderse como parte de un sistema preventivo que complementa la higiene personal y el lavado de manos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","Segun el material, como debe entenderse la vestimenta del manipulador dentro del enfoque preventivo conforme a lo desarrollado en el material de estudio de la unidad?","C","Como un sustituto de la higiene personal","Como un elemento decorativo","Como parte de un sistema que complementa la higiene y el lavado de manos","Como un reemplazo del control de temperaturas","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! El mandil actua como barrera adicional frente a contaminantes dentro de la vestimenta preventiva del manipulador de alimentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","Conforme al documento, que aporta el mandil dentro de la vestimenta preventiva del manipulador tal como se explica en el contenido teorico presentado en el curso?","D","Reemplaza el lavado de manos","Sustituye la cofia","Elimina la necesidad de calzado","Actua como barrera adicional frente a contaminantes en el trabajo con alimentos","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! La higiene personal es parte del sistema preventivo porque reduce la posibilidad de que el manipulador introduzca contaminantes en los alimentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","Segun el material, por que la higiene personal se considera parte del sistema preventivo del manipulador segun la informacion tecnica desarrollada a lo largo del material?","A","Porque reduce la posibilidad de que el manipulador introduzca contaminantes en los alimentos","Porque aumenta la produccion","Porque reemplaza la vestimenta","Porque elimina la necesidad de guantes","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! Los guantes ayudan como barrera, pero no sustituyen el paso critico del lavado correcto de manos del manipulador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","De acuerdo con el documento, que relacion existe entre los guantes y el lavado de manos en la vestimenta del manipulador?","B","Los guantes reemplazan el lavado de manos","Los guantes ayudan como barrera pero no sustituyen el lavado correcto de manos","El lavado de manos solo se hace con guantes puestos","Los guantes eliminan la necesidad de higiene","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! El uso correcto de la vestimenta protege la inocuidad alimentaria al reducir la contaminacion, funcionando como barrera complementaria a la higiene.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","Segun el material, cual es el proposito general del uso correcto de la vestimenta en el manipulador de alimentos de acuerdo con los conceptos presentados en el contenido de la unidad?","C","Aumentar la rapidez del servicio","Reducir el costo de la operacion","Proteger la inocuidad alimentaria reduciendo la contaminacion como barrera","Eliminar la necesidad de temperaturas seguras","","","","","",""
"multiplechoice","HMA","HM1 Higiene Personal y Vestimenta","Yes","¡Correcto! La barrera de la vestimenta depende del comportamiento del manipulador porque se vuelve efectiva solo si este mantiene practicas de higiene, especialmente el lavado de manos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HMA.","1","Conforme al documento, por que la barrera de la vestimenta depende tambien del comportamiento del manipulador de acuerdo con lo expuesto en el contenido tecnico del curso?","D","Porque la vestimenta actua sola sin la persona","Porque el comportamiento no influye en la inocuidad","Porque la vestimenta reemplaza la higiene","Porque la barrera se vuelve efectiva solo si el manipulador mantiene practicas de higiene como el lavado de manos","","","","","",""
