"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ICRS","S1 Normativa y Roles del Izaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer los requisitos para la seguridad en la operacion e inspeccion de gruas y equipos de izaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","Segun el material del curso, cual es el proposito principal de la normativa ASME B30 en el contexto de las operaciones de izaje de cargas en la industria?","A","Establecer los requisitos para la seguridad en la operacion e inspeccion de gruas y equipos de izaje","Definir las tarifas de inspeccion que deben cobrarse por cada equipo de izaje","Regular la emision de licencias comerciales para las empresas de construccion","Proveer formacion basica de primeros auxilios para el personal de la obra","","","","","",""
"multiplechoice","ICRS","S2 Gruas Tabla de Carga y Permiso","Yes","¡Correcto! Segun el material del curso, lo correcto es: Indicar los limites de peso y las configuraciones permitidas de la grua segun el radio y la posicion de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","Segun el material del curso, cual es el proposito principal de la tabla de carga en las operaciones de izaje con grua en la industria?","C","Listar todos los equipos disponibles en la obra durante la jornada laboral","Actuar como un registro historico de los trabajos de izaje realizados en el ano","Indicar los limites de peso y las configuraciones permitidas de la grua segun el radio y la posicion de trabajo","Proporcionar un instructivo comercial de venta para el fabricante de la grua","","","","","",""
"multiplechoice","ICRS","S3 Eslingas Cables y Accesorios","Yes","¡Correcto! Segun el material del curso, lo correcto es: La carga maxima de trabajo que la eslinga puede soportar de forma segura durante la maniobra de izaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","Segun el material del curso, que significa la sigla WLL en el contexto de las eslingas sinteticas utilizadas en operaciones de izaje?","B","El peso total del equipo de izaje utilizado durante toda la operacion","La carga maxima de trabajo que la eslinga puede soportar de forma segura durante la maniobra de izaje","La carga de rotura a partir de la cual la eslinga se destruye por completo","El limite de temperatura al que puede exponerse la eslinga sin danarse","","","","","",""
"multiplechoice","ICRS","S4 Configuraciones y Angulo WLL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite aprovechar la capacidad maxima de la eslinga ya que la carga se aplica en linea recta sin reduccion por angulo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","Segun el material del curso, cual es la ventaja principal de la configuracion vertical en las operaciones de izaje de cargas con eslingas?","D","Permite elevar cargas de peso ilimitado sin importar la etiqueta de la eslinga","Permite prescindir de la inspeccion previa de los accesorios de izaje utilizados","Permite operar la grua sin necesidad de consultar la tabla de carga del equipo","Permite aprovechar la capacidad maxima de la eslinga ya que la carga se aplica en linea recta sin reduccion por angulo","","","","","",""
"multiplechoice","ICRS","S5 Peso Densidad y Centro Gravedad","Yes","¡Correcto! Segun el material del curso, lo correcto es: El punto donde se concentra el peso del objeto y alrededor del cual la carga se equilibra durante la maniobra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","Segun el material del curso, cual es la definicion mas precisa del centro de gravedad de un objeto en el contexto del izaje de cargas?","A","El punto donde se concentra el peso del objeto y alrededor del cual la carga se equilibra durante la maniobra","El punto mas alto del objeto donde se conecta el gancho de la grua","El punto de mayor temperatura del objeto durante la operacion de izaje","El punto donde la eslinga toca la superficie de la carga a desplazar","","","","","",""
"multiplechoice","ICRS","S1 Normativa y Roles del Izaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ejecutar el movimiento de la carga con precision y de forma segura operando la grua correctamente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","De acuerdo con el material del curso, cual es la principal responsabilidad de un operador de grua durante las operaciones de izaje de cargas?","C","Colocar las senales manuales para guiar el izaje de la carga desde el suelo","Realizar la evaluacion del terreno antes de posicionar la grua en el area","Ejecutar el movimiento de la carga con precision y de forma segura operando la grua correctamente","Supervisar el tiempo de duracion del izaje para garantizar la productividad","","","","","",""
"multiplechoice","ICRS","S2 Gruas Tabla de Carga y Permiso","Yes","¡Correcto! Segun el material del curso, lo correcto es: A la cercania entre el peso de la carga y la capacidad maxima de la grua que aumenta el riesgo de la maniobra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","De acuerdo con el material del curso, a que se refiere la criticidad por capacidad en el contexto de una operacion de izaje de cargas?","B","Al numero de trabajadores presentes en el area durante la operacion de izaje","A la cercania entre el peso de la carga y la capacidad maxima de la grua que aumenta el riesgo de la maniobra","A la velocidad con que el operador desplaza la carga durante la maniobra","Al color de la senalizacion utilizada para delimitar la zona de trabajo","","","","","",""
"multiplechoice","ICRS","S3 Eslingas Cables y Accesorios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fibras sinteticas como el poliester que ofrecen resistencia flexibilidad y ligereza para el manejo de cargas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","De acuerdo con el material del curso, cual es el material mas comunmente utilizado en la fabricacion de las eslingas sinteticas de izaje?","D","Acero fundido que garantiza rigidez total durante el desplazamiento de la carga","Madera tratada que resiste la humedad del ambiente industrial de trabajo","Concreto reforzado que aporta estabilidad a la carga durante el izaje","Fibras sinteticas como el poliester que ofrecen resistencia flexibilidad y ligereza para el manejo de cargas","","","","","",""
"multiplechoice","ICRS","S4 Configuraciones y Angulo WLL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Equilibrada de modo que la carga se reparta de forma uniforme entre los ramales de la eslinga evitando desbalances.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","De acuerdo con el material del curso, como debe ser la distribucion de la carga en el sistema de canasta o basket para garantizar la seguridad?","A","Equilibrada de modo que la carga se reparta de forma uniforme entre los ramales de la eslinga evitando desbalances","Concentrada en un solo ramal para simplificar la maniobra de izaje","Desigual para que la carga se incline durante el desplazamiento previsto","Aleatoria sin importar como quede distribuido el peso de la carga","","","","","",""
"multiplechoice","ICRS","S5 Peso Densidad y Centro Gravedad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite ubicar los puntos de anclaje de forma que la carga se eleve equilibrada evitando inclinaciones o balanceos peligrosos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ICRS.","1","De acuerdo con el material del curso, por que es fundamental conocer el centro de gravedad de una carga antes de ejecutar un izaje?","C","Porque permite determinar el precio del servicio de izaje cobrado al cliente","Porque permite reducir el consumo de combustible de la grua en la maniobra","Porque permite ubicar los puntos de anclaje de forma que la carga se eleve equilibrada evitando inclinaciones o balanceos peligrosos","Porque permite prescindir de la inspeccion previa de las eslingas utilizadas","","","","","",""
