"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ERIPE","S1 RISST Purpose and Scope","Yes","¡Correcto! Segun el material del curso, lo correcto es: To establish internal rules that protect the safety and health of workers.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","According to the course material, the primary purpose of the RISST, the Internal Regulation of Occupational Safety and Health in Peru, is best described as fulfilling which of the following goals within an organization?","A","To establish internal rules that protect the safety and health of workers","To define the commercial pricing strategy of the company","To manage the payroll and remuneration of the personnel","To promote the corporate brand in the national market","","","","","",""
"multiplechoice","ERIPE","S2 RISST vs SST Documents","Yes","¡Correcto! Segun el material del curso, lo correcto es: Being a voluntary commercial document about the products of the company.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","According to the course material, when comparing the RISST with other occupational safety and health documents, one characteristic that is NOT a distinctive feature of the RISST is best identified as which of the following?","C","Being a mandatory internal regulation of the organization","Setting internal safety rules for the conduct of workers","Being a voluntary commercial document about the products of the company","Supporting compliance with the safety and health law","","","","","",""
"multiplechoice","ERIPE","S3 Chapter I Objectives Stakeholders","Yes","¡Correcto! Segun el material del curso, lo correcto es: To protect the safety and health of workers through internal preventive rules.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","According to the course material, the primary objective of the RISST as outlined in Chapter I is best described as pursuing which of the following goals within the occupational safety and health management of the organization?","B","To define the commercial pricing strategy of the products","To protect the safety and health of workers through internal preventive rules","To manage the payroll and remuneration of the personnel","To promote the corporate brand in the national market","","","","","",""
"multiplechoice","ERIPE","S4 Leadership and Responsibilities","Yes","¡Correcto! Segun el material del curso, lo correcto es: To drive and support the safety and health efforts across the organization.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","According to the course material, the primary role of leadership in the context of the safety management system, as discussed in Chapter II of the RISST, is best described as involving which of the following contributions to prevention?","D","To define the commercial pricing of the products offered","To manage the payroll and remuneration of the personnel","To promote the corporate brand in the national market","To drive and support the safety and health efforts across the organization","","","","","",""
"multiplechoice","ERIPE","S5 Operational Standards Risk Maps","Yes","¡Correcto! Segun el material del curso, lo correcto es: To establish concrete rules for safe operations in the workplace.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","According to the course material, the primary purpose of the operational standards within the RISST is best described as pursuing which of the following goals in the daily safety management of the organization?","A","To establish concrete rules for safe operations in the workplace","To define the commercial pricing of the products offered","To manage the payroll and remuneration of the personnel","To promote the corporate brand in the national market","","","","","",""
"multiplechoice","ERIPE","S1 RISST Purpose and Scope","Yes","¡Correcto! Segun el material del curso, lo correcto es: The occupational safety and health conduct of all workers in the organization.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","Based on the course content, the scope of the RISST regulations within a workplace is best understood as applying primarily to which of the following domains inside an organization that adopts this regulation?","C","Only the sales results of the commercial department","Only the workers with an indefinite employment contract","The occupational safety and health conduct of all workers in the organization","Only the entities of the national public sector","","","","","",""
"multiplechoice","ERIPE","S2 RISST vs SST Documents","Yes","¡Correcto! Segun el material del curso, lo correcto es: A complementary relationship in which the RISST sets internal binding rules.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","Based on the course content, the way the RISST integrates with the broader context of occupational safety and health documentation is best described as establishing which of the following relationships with the other preventive documents?","B","A competing relationship focused on commercial sales results","A complementary relationship in which the RISST sets internal binding rules","An unrelated relationship centered on the pricing of products","A replacing relationship that removes all other safety documents","","","","","",""
"multiplechoice","ERIPE","S3 Chapter I Objectives Stakeholders","Yes","¡Correcto! Segun el material del curso, lo correcto es: The external commercial clients who buy the products of the company.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","Based on the course content, according to Chapter I of the RISST, which of the following is NOT considered a stakeholder in occupational health and safety, since it falls outside the parties involved in prevention?","D","The workers of the organization exposed to risks","The employer responsible for the safety of the workplace","The management that leads the preventive efforts","The external commercial clients who buy the products of the company","","","","","",""
"multiplechoice","ERIPE","S4 Leadership and Responsibilities","Yes","¡Correcto! Segun el material del curso, lo correcto es: The availability of resources assigned to the safety initiatives.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","Based on the course content, the political factors most likely to influence resource allocation for safety initiatives, as presented in Chapter II of the RISST, are best understood as affecting primarily which of the following aspects of preventive management?","A","The availability of resources assigned to the safety initiatives","The selling prices of the products of the company","The advertising campaigns of the corporate brand","The accounting records of the invoices of the company","","","","","",""
"multiplechoice","ERIPE","S5 Operational Standards Risk Maps","Yes","¡Correcto! Segun el material del curso, lo correcto es: The strengthening of a shared safety culture among the workers.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ERIPE.","1","Based on the course content, the role of leadership in promoting a culture of safety, as described in Chapter IV of the RISST, is best understood as contributing primarily to which of the following outcomes within the organization?","C","The increase of the commercial sales of the products","The reduction of the tax obligations of the organization","The strengthening of a shared safety culture among the workers","The promotion of the corporate brand in the market","","","","","",""
