"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","LSDT","S1 Marco Normativo SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger la vida y la salud del trabajador previniendo los riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","Segun el material del curso, cual es el principal objetivo del marco normativo en materia de seguridad y salud en el trabajo dentro del sistema legal peruano que rige la prevencion de riesgos laborales?","A","Proteger la vida y la salud del trabajador previniendo los riesgos","Aumentar las horas de trabajo efectivas del personal","Reducir los costos operativos de las empresas","Regular las relaciones laborales sin considerar el riesgo","","","","","",""
"multiplechoice","LSDT","S2 Ley 30222 y Sanciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promover la seguridad y salud en el trabajo reduciendo los riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","Segun el material del curso, cual es el objetivo principal de la Ley que regula la seguridad y salud en el trabajo en el Peru dentro del marco normativo que rige la prevencion de los riesgos laborales?","C","Aumentar las sanciones sin considerar la prevencion","Regular las relaciones laborales sin considerar el riesgo","Promover la seguridad y salud en el trabajo reduciendo los riesgos","Eliminar los sindicatos de las empresas del pais","","","","","",""
"multiplechoice","LSDT","S3 Comite y RISST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promover y velar por la seguridad y salud de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","Segun el material del curso, cual es la principal funcion del Comite de Seguridad y Salud en el Trabajo dentro de las organizaciones sujetas a la normativa peruana de prevencion de riesgos laborales?","B","Realizar auditorias contables de cumplimiento normativo","Promover y velar por la seguridad y salud de los trabajadores","Establecer sanciones ante el incumplimiento del personal","Designar a los supervisores del area de recursos humanos","","","","","",""
"multiplechoice","LSDT","S4 Matriz de Riesgos y Registros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y priorizar los riesgos para implementar medidas de control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","Segun el material del curso, cual es el proposito principal de la matriz de riesgo en el contexto de la gestion de la seguridad y salud en el trabajo dentro de las organizaciones sujetas a la normativa peruana?","D","Disenar un plan de capacitacion para nuevos empleados","Evaluar el rendimiento de los empleados segun su desempeno","Clasificar las actividades laborales segun su costo economico","Identificar y priorizar los riesgos para implementar medidas de control","","","","","",""
"multiplechoice","LSDT","S5 SUNAFIL y Sistema SGSST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fiscalizar el cumplimiento de las normas de seguridad y salud en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","Segun el material del curso, cual es una de las competencias principales de SUNAFIL en el ambito de la fiscalizacion laboral dentro del sistema de seguridad y salud en el trabajo regulado por la normativa peruana?","A","Fiscalizar el cumplimiento de las normas de seguridad y salud en el trabajo","Elaborar la publicidad de las empresas fiscalizadas","Gestionar la nomina del personal de las organizaciones","Establecer los precios de venta de los productos","","","","","",""
"multiplechoice","LSDT","S1 Marco Normativo SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: El principio de prevencion que exige actuar antes del dano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","De acuerdo con el material del curso, que principio del marco normativo de seguridad y salud en el trabajo destaca la responsabilidad del empleador en la prevencion de los riesgos laborales del personal?","C","El principio de precaucion sin relacion con el empleador","El principio de responsabilidad compartida con terceros","El principio de prevencion que exige actuar antes del dano","El principio de participacion ciudadana externa","","","","","",""
"multiplechoice","LSDT","S2 Ley 30222 y Sanciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: La aplicacion de sanciones administrativas al infractor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","De acuerdo con el material del curso, segun el articulo correspondiente del Codigo Penal, una infraccion leve en materia de seguridad y salud en el trabajo tiene como consecuencia principalmente cual medida?","B","Una pena de prision de hasta un ano","La aplicacion de sanciones administrativas al infractor","La suspension definitiva de todas las licencias","La disolucion inmediata de la empresa infractora","","","","","",""
"multiplechoice","LSDT","S3 Comite y RISST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Representantes de los trabajadores y del empleador de forma paritaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","De acuerdo con el material del curso, quienes deben ser elegidos para integrar el Comite de Seguridad y Salud en el Trabajo dentro de la estructura de participacion que exige la normativa peruana en las organizaciones?","D","Cualquier trabajador que voluntariamente quiera participar","Personal de recursos humanos de forma exclusiva","Solamente los directivos de la organizacion","Representantes de los trabajadores y del empleador de forma paritaria","","","","","",""
"multiplechoice","LSDT","S4 Matriz de Riesgos y Registros","Yes","¡Correcto! Segun el material del curso, lo correcto es: La sustitucion de los procesos o sustancias peligrosas por otras seguras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","De acuerdo con el material del curso, dentro de la jerarquia de controles, cual medida se considera de las mas efectivas para eliminar o reducir el peligro segun el enfoque de la gestion de riesgos del curso?","A","La sustitucion de los procesos o sustancias peligrosas por otras seguras","El uso del equipo de proteccion personal como unica medida","La formacion y capacitacion del personal por si sola","La aplicacion de procedimientos operativos sin otras medidas","","","","","",""
"multiplechoice","LSDT","S5 SUNAFIL y Sistema SGSST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Comprende actos de investigacion previos a la eventual sancion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LSDT.","1","De acuerdo con el material del curso, en relacion con las etapas del proceso de fiscalizacion, cual opcion describe correctamente el desarrollo de la actuacion de SUNAFIL dentro del sistema peruano de seguridad y salud?","C","Consiste en aplicar la sancion sin ninguna investigacion","Se limita a la publicidad de las empresas revisadas","Comprende actos de investigacion previos a la eventual sancion","Elimina cualquier verificacion del cumplimiento normativo","","","","","",""
