"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que el elemento de alcance contiene la descripcion precisa del alcance, proposito, autorizacion y reglas o tecnicas a usar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","Segun el material, uno de los seis elementos del ECP es el alcance. Que contiene ese elemento segun el curso?","B","El precio del equipo","La descripcion precisa del alcance, proposito, autorizacion y reglas o tecnicas a usar","El nombre del gerente","La fecha de compra","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que el elemento de control de energias contiene los pasos especificos para shutting down, isolating, blocking y securing las maquinas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","El material describe el tercer elemento del ECP, el control de energias. Que contiene segun el curso?","C","Solo el nombre del equipo","Solo la firma","Los pasos especificos para apagar, aislar, bloquear y asegurar las maquinas","El costo del mantenimiento","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que el elemento de aplicacion de bloqueos contiene los pasos especificos para colocacion, remocion y transferencia de los lockout/tagout devices y la responsabilidad por ellos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","Segun el material, el cuarto elemento del ECP se refiere a la aplicacion de bloqueos. Que contiene segun el curso?","D","El precio de los candados","La marca de la maquina","El horario","Los pasos para colocacion, remocion y transferencia de los dispositivos de bloqueo y etiquetado, y la responsabilidad por ellos","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que el sexto elemento (otros requisitos especificos) puede incluir cualquier requisito adicional necesario para el equipo especifico, como la cantidad de candados o la secuencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","El material describe el sexto elemento del ECP como otros requisitos especificos. Que puede incluir segun el curso?","A","Cualquier requisito adicional necesario para el equipo especifico, como la cantidad de candados o la secuencia","El salario del operario","El logo de la empresa","La fecha de la proxima venta","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que el orden de los seis pasos no es arbitrario: cada paso prepara el siguiente y su omision deja una brecha.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","Segun el material, la estructura recomendada de un procedimiento LOTO tiene un orden que no es arbitrario. Por que segun el curso?","C","Porque lo decide el operario","Porque asi lo pide el cliente","Porque cada paso prepara el siguiente y su omision deja una brecha","Porque reduce el costo","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que el paso de disipacion y verificacion consiste en liberar la energia almacenada y comprobar energia cero intentando arrancar el equipo con los controles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","El material describe el paso de disipacion y verificacion en la estructura LOTO. En que consiste la verificacion de energia cero segun el curso?","D","En medir la temperatura","En pesar la maquina","En contar los candados","En liberar la energia almacenada y comprobar energia cero intentando arrancar el equipo","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que la inspeccion periodica debe certificarse por escrito identificando el equipo cuyo procedimiento se inspecciono y los empleados involucrados, entre otros datos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","Segun el material, la inspeccion periodica del programa LOTO debe certificarse por escrito. Que debe identificar esa certificacion segun el curso?","A","El equipo, el procedimiento y los empleados involucrados","El precio del equipo","El color de los candados","La marca de la maquina","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que un ECP bien elaborado convierte un peligro abstracto en una secuencia clara, repetible y auditable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","El material afirma que un ECP bien elaborado convierte un peligro abstracto en algo concreto. En que segun el curso?","B","En un aumento de produccion","En una secuencia clara, repetible y auditable","En un ahorro de costos","En una etiqueta decorativa","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que el ECP identifica de donde proviene la energia, como se corta, que dispositivos se usan, que energia residual puede quedar atrapada y como se comprueba que el estado es seguro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","Segun el material, el ECP identifica varios aspectos del riesgo real de un equipo concreto. Cual de los siguientes menciona el curso?","C","El precio de venta","El nombre del proveedor","De donde proviene la energia, como se corta, que dispositivos se usan y que energia residual puede quedar atrapada","La agenda comercial","","","","","",""
"multiplechoice","LCEP","S3 Procedimiento ECP y Elementos","Yes","¡Correcto! El material indica que el ECP no es una formalidad administrativa, sino la traduccion operativa del riesgo real de un equipo concreto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","El material aclara que el ECP no es una formalidad administrativa. Como lo describe el curso?","D","Un tramite sin valor","Un documento decorativo","Un registro de ventas","La traduccion operativa del riesgo real de un equipo concreto","","","","","",""
"multiplechoice","LCEP","S4 Dispositivos Candados Etiquetas","Yes","¡Correcto! El material indica que OSHA exige que los dispositivos LOTO sean capaces de resistir el ambiente al que estan expuestos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","Segun el material, OSHA establece especificaciones para los dispositivos LOTO. Que caracteristica de durabilidad exige segun el curso?","C","Que sean desechables","Que sean livianos","Que sean capaces de resistir el ambiente al que estan expuestos","Que cambien de color","","","","","",""
"multiplechoice","LCEP","S4 Dispositivos Candados Etiquetas","Yes","¡Correcto! El material indica que el lockout device debe ser suficientemente robusto para evitar su retiro sin fuerza excesiva ni tecnicas inusuales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","El material indica que el dispositivo de bloqueo (lock) debe cumplir un requisito de sustancialidad. Cual es segun el curso?","A","Ser suficientemente robusto para evitar su retiro sin fuerza excesiva ni tecnicas inusuales","Poder retirarse a mano facilmente","Ser de papel","No tener gancho","","","","","",""
"multiplechoice","LCEP","S4 Dispositivos Candados Etiquetas","Yes","¡Correcto! El material indica que el metodo de fijacion de la etiqueta de tagout no debe poder removerse sin herramientas y con una fuerza minima de 50 libras (unos 22 kilogramos).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","Segun el material, la etiqueta de tagout debe resistir su retiro accidental. Que fuerza minima de fijacion menciona el curso?","D","5 kilogramos","1 kilogramo","No especifica","Una fuerza minima equivalente a unas 50 libras (unos 22 kilogramos)","","","","","",""
"multiplechoice","LCEP","S4 Dispositivos Candados Etiquetas","Yes","¡Correcto! El material indica que el candado impide fisicamente la operacion, mientras que la etiqueta informa y advierte pero no bloquea por si sola.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","El material distingue la funcion del candado (lock) de la de la etiqueta (tag). Cual es la diferencia segun el curso?","B","Ambos bloquean fisicamente","El candado impide fisicamente la operacion, mientras la etiqueta informa y advierte pero no bloquea por si sola","La etiqueta bloquea y el candado informa","Ninguno tiene funcion","","","","","",""
"multiplechoice","LCEP","S4 Dispositivos Candados Etiquetas","Yes","¡Correcto! El material indica que la etiqueta es personal e intransferible: solo quien la coloco puede retirarla, lo que garantiza que nadie reactive un equipo sin el conocimiento de quien la puso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso LCEP.","1","Segun el material, la etiqueta LOTO es personal e intransferible. Que garantiza esta caracteristica segun el curso?","C","Que cualquiera pueda retirarla","Que se pueda copiar","Que solo quien la coloco puede retirarla, de modo que nadie reactive el equipo sin su conocimiento","Que dure un dia","","","","","",""
